Name,Species,lambda,chi,loggf,EW,l_logepsX,logepsX
2MASS J18082002-5104378,Li I,6707.7,0.00,0.170,syn,,1.35
2MASS J18082002-5104378,C-H,4313,,,syn,,5.00
2MASS J18082002-5104378,C-H,4323,,,syn,,4.95
2MASS J18082002-5104378,N-H,3360,,,syn,<,3.67
2MASS J18082002-5104378,O I,7771.94,9.15,0.37,syn,,6.00:
2MASS J18082002-5104378,O I,7774.17,9.15,0.22,syn,,6.20:
2MASS J18082002-5104378,Na I,5889.95,0.00,0.11,39.73,,2.12
2MASS J18082002-5104378,Na I,5895.92,0.00,-0.19,21.15,,2.04
2MASS J18082002-5104378,Mg I,4057.51,4.35,-0.90,2.45,,4.09
2MASS J18082002-5104378,Mg I,4167.27,4.35,-0.74,3.71,,4.10
2MASS J18082002-5104378,Mg I,4702.99,4.33,-0.44,6.89,,4.04
2MASS J18082002-5104378,Mg I,5172.68,2.71,-0.36,81.18,,4.14
2MASS J18082002-5104378,Mg I,5183.60,2.72,-0.17,89.43,,4.10
2MASS J18082002-5104378,Mg I,5528.40,4.35,-0.55,6.26,,4.10
2MASS J18082002-5104378,Mg I,8806.76,4.35,-0.14,18.88,,4.10
2MASS J18082002-5104378,Al I,3944.00,0.00,-0.64,18.32,,1.62
2MASS J18082002-5104378,Al I,3961.52,0.01,-0.33,28.60,,1.58
2MASS J18082002-5104378,Si I,3905.52,1.91,-1.04,syn,,3.72
# This table is published in its entirety in the electronic edition of the paper. A portion is shown here for guidance regarding its form and content.
