Name,Species,Method,N,l_logepsX,logepsX,stddev,stderr,l_[X/H],[X/H],l_[X/Fe],[X/Fe],D_Teff,D_logg,D_Vmic,e_logepsX
J2050-6613,C,Syn,1,,+5.62,0.10,0.10,,-2.81,,+1.24,-0.16,-0.00,-0.00,0.17
J2050-6613,O,Syn,1,<,+6.19,,,<,-2.50,<,+1.55,,,,
J2050-6613,Na I,EW,2,,+1.93,0.08,0.07,,-4.31,,-0.26,-0.05,-0.02,-0.09,0.12
J2050-6613,Mg I,EW,6,,+4.12,0.09,0.04,,-3.48,,+0.57,-0.05,-0.06,-0.12,0.13
J2050-6613,Al I,Syn,1,,+1.73,0.10,0.10,,-4.72,,-0.67,-0.09,-0.00,-0.13,0.17
J2050-6613,Si I,Syn,1,,+3.60,0.10,0.10,,-3.91,,+0.14,-0.04,-0.01,-0.03,0.10
J2050-6613,Ca I,EW,3,,+2.56,0.09,0.06,,-3.78,,+0.27,-0.10,-0.03,-0.02,0.11
J2050-6613,Sc II,EW,3,,-1.34,0.09,0.05,,-4.49,,-0.44,-0.07,-0.08,-0.03,0.12
J2050-6613,Ti I,EW,3,,+1.35,0.13,0.05,,-3.60,,+0.45,-0.05,-0.02,-0.05,0.09
J2050-6613,Ti II,EW,10,,+1.11,0.16,0.05,,-3.84,,+0.21,-0.12,-0.07,-0.11,0.14
J2050-6613,Cr I,EW,3,,+1.27,0.07,0.04,,-4.37,,-0.32,-0.04,-0.04,-0.06,0.09
J2050-6613,Mn I,EW,2,,+0.20,0.05,0.05,,-5.23,,-1.18,-0.03,-0.02,-0.07,0.09
J2050-6613,Fe I,EW,56,,+3.45,0.16,0.02,,-4.05,,+0.00,-0.11,-0.02,-0.09,0.13
J2050-6613,Fe II,EW,3,,+3.46,0.05,0.04,,-4.04,,+0.01,-0.02,+0.08,-0.05,0.10
J2050-6613,Co I,EW,8,,+1.33,0.15,0.05,,-3.66,,+0.39,-0.02,-0.03,-0.04,0.07
J2050-6613,Ni I,EW,12,,+2.32,0.17,0.06,,-3.90,,+0.15,-0.01,-0.06,-0.03,0.08
J2050-6613,Zn I,Syn,1,,+1.35,0.10,0.10,,-3.21,,+0.95,-0.09,-0.09,-0.08,0.12
J2050-6613,Sr II,Syn,2,,-0.18,0.05,0.03,,-3.05,,+1.00,-0.10,-0.04,-0.07,0.14
J2050-6613,Ba II,Syn,1,,-2.95,0.10,0.10,,-5.13,,-1.08,-0.11,-0.08,-0.11,0.22








