Name,Species,N,l_logepsX,logepsX,e_logepsX,l_[X/Fe],[X/Fe]
TucIII-J000549,C-H,,,5.39,,,-0.43
TucIII-J000549,C-N,,<,7.22,,<,2.00
TucIII-J000549,Na I,,,,,,
TucIII-J000549,Mg I,9,,5.44,0.29,,0.45
TucIII-J000549,Al I,2,,3.48,0.39,,-0.36
TucIII-J000549,Si I,2,,5.29,0.33,,0.39
TucIII-J000549,K I,2,,3.13,0.25,,0.71
TucIII-J000549,Ca I,19,,4.13,0.28,,0.40
TucIII-J000549,Sc II,5,,0.69,0.28,,0.15
TucIII-J000549,Ti I,18,,2.41,0.31,,0.07
TucIII-J000549,Ti II,39,,2.80,0.29,,0.46
TucIII-J000549,V I,1,,1.16,,,-0.16
TucIII-J000549,V II,2,,1.39,0.23,,0.07
TucIII-J000549,Cr I,14,,2.65,0.32,,-0.38
TucIII-J000549,Cr II,2,,3.11,0.23,,0.08
TucIII-J000549,Mn I,6,,2.32,0.24,,-0.50
TucIII-J000549,Fe I,157,,4.89,0.17,,-2.61
TucIII-J000549,Fe II,20,,4.88,0.18,,-2.62
TucIII-J000549,Co I,3,,2.41,0.30,,0.03
TucIII-J000549,Ni I,11,,3.61,0.31,,0.00
TucIII-J000549,Cu I,1,<,1.28,,<,-0.5
TucIII-J000549,Zn I,1,,1.87,,,-0.08
TucIII-J000549,Sr II,2,,0.35,0.33,,0.09
TucIII-J000549,Y II,5,,-0.60,0.26,,-0.20
TucIII-J000549,Zr II,3,,0.02,0.26,,0.05
TucIII-J000549,Ba II,4,,-0.32,0.32,,0.11
TucIII-J000549,La II,2,,-1.30,0.23,,0.21
TucIII-J000549,Ce II,4,,-0.71,0.29,,0.32
TucIII-J000549,Pr II,,,-1.28,,,0.61
TucIII-J000549,Nd II,8,,-0.92,0.24,,0.27
TucIII-J000549,Sm II,,<,-1.15,,<,0.50
TucIII-J000549,Eu II,2,,-1.61,0.21,,0.49
TucIII-J000549,Gd II,,<,-0.84,,<,0.70
TucIII-J000549,Dy II,3,,-0.92,0.24,,0.59
TucIII-J000549,Er II,1,,-1.19,,,0.50
TucIII-J234351,C-H,,,5.46,,,-0.28
TucIII-J234351,C-N,,<,6.64,,<,1.5
TucIII-J234351,Na I,2,,3.87,0.35,,0.32
TucIII-J234351,Mg I,7,,5.41,0.37,,0.50
TucIII-J234351,Al I,2,,2.78,0.36,,-0.99
TucIII-J234351,Si I,2,,5.00,0.33,,0.18
TucIII-J234351,K I,1,,2.75,,,0.41
TucIII-J234351,Ca I,11,,4.00,0.28,,0.35
TucIII-J234351,Sc II,4,,0.55,0.27,,0.09
TucIII-J234351,Ti I,7,,2.43,0.34,,0.17
TucIII-J234351,Ti II,11,,2.57,0.29,,0.31
TucIII-J234351,V I,1,,1.30,,,0.06
TucIII-J234351,V II,2,,1.37,0.21,,0.13
TucIII-J234351,Cr I,7,,2.61,0.33,,-0.34
TucIII-J234351,Cr II,2,,3.24,0.30,,0.29
TucIII-J234351,Mn I,5,,2.32,0.25,,-0.42
TucIII-J234351,Fe I,90,,4.81,0.20,,-2.69
TucIII-J234351,Fe II,16,,4.80,0.17,,-2.70
TucIII-J234351,Co I,3,,2.44,0.29,,0.14
TucIII-J234351,Ni I,5,,3.66,0.32,,0.13
TucIII-J234351,Cu I,1,<,2.00,,<,0.5
TucIII-J234351,Zn I,2,,2.20,0.18,,0.33
TucIII-J234351,Sr II,2,,-0.08,0.32,,-0.26
TucIII-J234351,Y II,,<,-0.78,,<,-0.3
TucIII-J234351,Zr II,1,,-0.11,,,0.00
TucIII-J234351,Ba II,4,,-0.71,0.38,,-0.20
TucIII-J234351,La II,1,,-1.34,,,0.25
TucIII-J234351,Ce II,,<,-0.11,,<,1.0
TucIII-J234351,Pr II,,<,-0.97,,<,1.0
TucIII-J234351,Nd II,3,,-0.58,0.23,,0.69
TucIII-J234351,Sm II,,<,-0.93,,<,0.8
TucIII-J234351,Eu II,2,,-1.73,0.29,,0.44
TucIII-J234351,Gd II,,<,-0.32,,<,1.3
TucIII-J234351,Dy II,,<,-0.89,,<,0.7
TucIII-J234351,Er II,,<,-0.77,,<,1.0
TucIII-J235550,C-H,,,5.55,,,-0.19
TucIII-J235550,C-N,,<,6.14,,<,1.0
TucIII-J235550,Na I,,,,,,
TucIII-J235550,Mg I,8,,5.31,0.27,,0.40
TucIII-J235550,Al I,2,,,,,
TucIII-J235550,Si I,2,,5.21,0.31,,0.39
TucIII-J235550,K I,1,,3.05,,,0.71
TucIII-J235550,Ca I,13,,4.09,0.28,,0.44
TucIII-J235550,Sc II,6,,0.45,0.28,,-0.01
TucIII-J235550,Ti I,12,,2.41,0.36,,0.15
TucIII-J235550,Ti II,32,,2.76,0.31,,0.50
TucIII-J235550,V I,1,,6.44,,,-0.18
TucIII-J235550,V II,2,,6.72,0.25,,0.10
TucIII-J235550,Cr I,9,,2.69,0.34,,-0.26
TucIII-J235550,Cr II,2,,3.30,0.20,,0.35
TucIII-J235550,Mn I,6,,2.25,0.23,,-0.50
TucIII-J235550,Fe I,122,,4.81,0.21,,-2.69
TucIII-J235550,Fe II,13,,4.81,0.08,,-2.69
