
Name,Date Observed,Vel,e_Vel,Reference
#TucIII-J235532,57248,-103.4,0.3,Hansen+2017
#,57223.3,-102.32,1.23,Simon+2017
#,57632.8,-103.26,1.00,Simon+2017
#,57589,-102.89,0.51,Li+2018
TucIII-J235738,57605.69,-100.9,0.8,this work
,57220.8,-102.24,1.21,Simon+2017
,57223.3,-100.3,1.27,Simon+2017
,57312.2,-102.37,1.22,Simon+2017
,57630.9,-101.76,1.00,Simon+2017
,57589,-99.58,0.71,Li+2018
TucIII-J235550,57607.77,-102.9,0.8,this work
,57220.8,-102.88,1.21,Simon+2017
,57223.3,-101.81,2.90,Simon+2017
,57630.9,-101.92,1.00,Simon+2017
,57589,-101.94,0.40,Li+2018
TucIII-J000549,57605.78,-92.6,0.9,this work
,57589\tablenotemark{b},-92.01,0.70,Li+2018
TucIII-J234351,57606.82,-121.5,1.1,this work
,57589,-122.2,0.8,Li+2018
,57987,-99.4,1.4,Li+2018


