Name,Simbad_Identifier,RA_deg,DEC_deg,G0mag,e_G0mag,(BP-RP)0,e_(BP-RP)0,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,[Fe/H]_pristine,Note
C19-46528,Gaia DR3 1912706716827846528,352.0630548,35.6712458,19.282,0.004,0.737,0.082,0.653,0.305,0.863,0.319,-1.808,0.265,,
C19-41760,Gaia DR3 1911964791293941760,352.7665670,34.1962811,16.670,0.003,0.996,0.010,0.038,0.062,1.805,0.062,-1.431,0.050,-1.59,non-member
C19-92544,Gaia DR3 2826426202636892544,353.7994502,21.2648067,17.459,0.003,0.938,0.016,0.125,0.100,1.144,0.089,-3.244,0.073,-3.72,OSIRIS
C19-72224,Gaia DR3 2826300927030372224,353.8760338,20.3940474,19.067,0.004,0.792,0.044,0.210,0.297,1.163,0.329,-3.347,0.218,-3.90,
C19-30464,Gaia DR3 2872378543071230464,353.8805901,32.9557055,19.739,0.004,0.772,0.073,-0.349,0.427,1.381,0.489,-2.483,0.310,-1.06,non-member
C19-41888,Gaia DR3 1912600270359141888,353.9078460,36.1051041,19.132,0.004,0.841,0.064,0.169,0.302,1.385,0.418,-2.614,0.250,,
C19-83840,Gaia DR3 2826352947674483840,353.9983456,20.8001111,19.223,0.004,0.756,0.056,-0.352,0.272,1.305,0.310,-3.100,0.208,-3.91,
C19-42560,Gaia DR3 2826454824298642560,354.1179098,21.1058495,19.035,0.004,0.820,0.041,0.006,0.236,1.368,0.228,-3.184,0.185,-3.41,
C19-87136,Gaia DR3 2872357338815387136,354.1856575,32.7555069,19.792,0.005,0.564,0.083,-0.456,0.473,1.376,0.434,-2.141,0.370,-1.84,non-member
C19-81312,Gaia DR3 2826456439206381312,354.1924982,21.1427394,19.388,0.004,0.623,0.056,0.369,0.333,0.974,0.326,-3.211,0.260,-2.75,
C19-69056,Gaia DR3 2826010071845069056,354.3366907,19.5521098,19.169,0.004,0.721,0.049,-0.349,0.285,1.347,0.306,-3.228,0.237,-1.47,non-member
