Name,Simbad_Identifier,Pristine_Name,System,RA_deg,DEC_deg,Gmag,[Fe/H]_pristine,Texp,SNR4200,Vel,e_Vel,Obs,Com
C19-01984,Gaia DR3 2868052548930201984,Pristine 354.77+30.25,C-19,354.7701,+30.2509,15.69,-3.38,1x2400,50,-186.7,2.2,Gemini/GRACES,
C19-99008,Gaia DR3 2865368434887899008,Pristine 355.13+27.98,C-19,355.1327,+27.9819,15.39,-3.12,3x2400,100,-194.4,2.0,Gemini/GRACE,
C19-99008,Gaia DR3 2865368434887899008,Pristine 355.13+27.98,C-19,355.1327,+27.9819,15.39,-3.12,1x600,45,-198.,16.,GTC/OSIRIS,
C19-00352,Gaia DR3 2865256628300500352,Pristine 355.27+27.74,C-19,355.2755,+27.7483,15.82,-3.41,2x2400,55,-197.3,2.1,Gemini/GRACES,
C19-92544,Gaia DR3 2826426202636892544,Pristine 353.79+21.26,C-19,353.7994,+21.2648,17.63,-3.71,2x1500,47,-179.,17.,GTC/OSIRIS,
C19-41344,Gaia DR3 2828159930612041344,Pristine 354.63+23.79,C-19,354.6358,+23.7941,17.49,-3.25,2x1500,49,-178.,16.,GTC/OSIRIS,
C19-38656,Gaia DR3 2827849249857638656,Pristine 355.26+22.96,C-19,355.2671,+22.9677,17.60,-3.11,2x1500,44,-192.,17.,GTC/OSIRIS,
C19-71392,Gaia DR3 2865251577418971392,Pristine 355.32+27.59,C-19,355.3223,+27.5993,14.19,-2.63,1x300,62,-191.,14.,GTC/OSIRIS,
C19-71392,Gaia DR3 2865251577418971392,Pristine 355.32+27.59,C-19,355.3223,+27.5993,14.19,-2.63,1x300,40,-194.,,LAMOST,Li et al. 2018 (J/ApJS/238/16)
C19-28384,Gaia DR3 2852197625617728384,Pristine 355.40+24.28,C-19,355.4056,+24.2832,17.28,-3.78,2x1500,38,-184.,16.,GTC/OSIRIS,
#C19-83584,Gaia DR3 2871966806028483584,Pristine 354.77+32.68,C-19,354.7700,+32.6894,17.89,-0.55,2x1500,39,-49.,18.,GTC/OSIRIS,non-member
