Name,Species,N,l_[X/H],[X/H],e_[X/H],l_[X/Fe],[X/Fe],e_[X/Fe]
1336_6432,Fe I,84,,-1.671,0.033,,,
1336_6432,Fe II,10,,-1.692,0.027,,,
1336_6432,Na I,2,,-2.079,0.085,,-0.408,0.081
1336_6432,Mg I,6,,-1.563,0.039,,0.108,0.038
1336_6432,Si I,2,,-1.533,0.064,,0.137,0.065
1336_6432,Ca I,15,,-1.354,0.034,,0.316,0.032
1336_6432,Ti I,9,,-1.293,0.056,,0.378,0.044
1336_6432,Ti II,10,,-1.421,0.035,,0.271,0.034
1336_6432,Cr I,3,,-1.755,0.066,,-0.084,0.055
1336_6432,Mn I,2,,-1.968,0.055,,-0.297,0.046
1336_6432,Ni I,8,,-1.711,0.047,,-0.041,0.042
1336_6432,Zn I,2,,-1.654,0.048,,0.017,0.043
1336_6432,Y II,1,,-1.828,0.061,,-0.136,0.060
1336_6432,Ba II,4,,-2.074,0.052,,-0.382,0.049
2657_5888,Fe I,90,,-1.343,0.048,,,
2657_5888,Fe II,9,,-1.517,0.045,,,
2657_5888,Na I,4,,-1.522,0.071,,-0.179,0.076
2657_5888,Mg I,2,,-1.087,0.086,,0.256,0.082
2657_5888,Si I,4,,-1.025,0.035,,0.318,0.053
2657_5888,Ca I,13,,-0.947,0.067,,0.396,0.062
2657_5888,Ti I,16,,-1.110,0.113,,0.232,0.102
2657_5888,Ti II,8,,-1.273,0.059,,0.245,0.064
2657_5888,Cr I,3,,-1.343,0.134,,-0.001,0.123
2657_5888,Mn I,2,,-1.679,0.114,,-0.336,0.103
2657_5888,Ni I,22,,-1.464,0.057,,-0.121,0.063
2657_5888,Zn I,2,,-1.354,0.039,,-0.011,0.060
2657_5888,Y II,1,,-1.695,0.062,,-0.178,0.080
2657_5888,Ba II,3,,-1.709,0.050,,-0.192,0.063
2813_6032,Fe I,97,,-1.602,0.030,,,
2813_6032,Fe II,16,,-1.632,0.026,,,
2813_6032,Na I,4,,-1.936,0.063,,-0.334,0.062
2813_6032,Mg I,6,,-1.461,0.037,,0.141,0.036
