Name,Teff,e_Teff,logg,e_logg,Vmic,e_Vmic,Fe/H,e_Fe/H,rho_Teff_logg,rho_Teff_Vmic,rho_Teff_Fe/H,rho_logg_Vmic,rho_logg_Fe/H,rho_Vmic_Fe/H
1336_6432,6475,65,4.166,0.034,1.512,0.102,-1.691,0.030,0.485,0.269,0.280,0.108,0.448,-0.540
2657_5888,5317,152,4.314,0.056,0.784,0.530,-1.535,0.053,0.845,0.925,-0.751,0.749,-0.504,-0.807
2813_6032,6414,63,4.209,0.035,1.624,0.102,-1.662,0.029,0.425,0.435,0.206,0.071,0.468,-0.264
2870_9072,5815,60,3.788,0.046,1.272,0.066,-1.467,0.023,0.351,0.704,0.272,0.123,0.743,0.035
3336_0672,5575,148,4.471,0.051,1.062,0.427,-1.691,0.033,0.816,0.951,-0.542,0.738,-0.228,-0.625
3341_2720,6538,78,4.082,0.038,1.456,0.124,-1.831,0.031,0.537,0.355,0.355,0.169,0.525,-0.425
4587_5616,5481,80,4.496,0.033,1.329,0.235,-1.768,0.048,0.661,0.688,-0.304,0.343,0.009,-0.470
4850_5696,6448,65,4.194,0.033,1.415,0.107,-1.728,0.027,0.455,0.665,0.018,0.265,0.357,-0.287
G 90-36,5394,46,4.476,0.030,1.210,0.172,-1.670,0.045,0.262,0.553,-0.306,-0.069,0.236,-0.491
G 115-58,6187,69,4.012,0.041,1.361,0.069,-1.394,0.021,0.309,0.670,0.126,-0.023,0.770,-0.249
HIP 28104,6468,45,4.247,0.042,1.339,0.090,-1.986,0.027,0.255,0.507,0.143,0.073,0.539,-0.126
HIP 98492,5510,40,3.726,0.037,1.130,0.062,-1.272,0.021,0.199,0.526,-0.171,-0.170,0.713,-0.358
G 112-43,6125,54,4.086,0.031,1.412,0.070,-1.286,0.019,0.421,0.695,0.137,0.117,0.626,-0.214
CD-4802445,6446,58,4.205,0.036,1.457,0.111,-1.852,0.025,0.421,0.695,0.005,0.244,0.425,-0.310
HD 59392,6012,,3.954,,1.400,,-1.600,,,,,,,
