Name,Tel,Obs,Exp,Obs.Y,Obs.M,Obs.D,Obs.h,Obs.s,HJD,RVel
BPS CS 22166-016,Magellan-Clay/MIKE,GWP,1600,2004,Aug,12,10,19,2453229.934,-210.0
BPS CS 22169-008,Magellan-Clay/MIKE,IBT,4000,2004,Sep,23,08,55,2453271.874,+184.2
BPS CS 22169-035,Magellan-Baade/MIKE,GWP,1400,2003,Jan,18,04,22,2452657.684,+15.4
BPS CS 22169-035,Magellan-Baade/MIKE,GWP,2400,2003,Jan,20,02,05,2452659.589,+14.1
BPS CS 22169-035,Magellan-Clay/MIKE,GWP,1700,2007,Aug,24,09,56,2454336.914,+14.1
BPS CS 22171-031,Magellan-Clay/MIKE,GWP,2800,2008,Sep,10,07,59,2454719.837,+38.8
BPS CS 22171-037,Magellan-Clay/MIKE,IBT,7200,2003,Nov,01,05,53,2452944.750,-261.4
BPS CS 22171-037,Magellan-Clay/MIKE,IUR,7200,2012,Aug,26,06,12,2456165.762,-261.1
BPS CS 22172-029,Magellan-Clay/MIKE,GWP,4000,2008,Sep,10,09,20,2454719.892,-57.4
BPS CS 22172-029,Magellan-Clay/MIKE,GWP,3600,2008,Sep,11,08,06,2454720.840,-57.5
BPS CS 22174-020,Magellan-Clay/MIKE,GWP,3300,2005,Aug,20,06,38,2453602.780,+127.7
BPS CS 22174-020,Magellan-Clay/MIKE,GWP,1800,2005,Aug,21,08,19,2453603.850,+127.3
BPS CS 22177-009,Magellan-Baade/MIKE,GWP,3600,2003,Jan,15,04,09,2452654.675,-208.0
BPS CS 22177-009,Magellan-Clay/MIKE,GWP,3200,2007,Aug,21,08,54,2454333.871,-208.1
BPS CS 22177-010,Magellan-Baade/MIKE,GWP,2000,2003,Jan,18,03,22,2452657.642,+111.0
BPS CS 22177-010,Magellan-Baade/MIKE,GWP,3600,2003,Jan,19,04,05,2452658.672,+111.9
BPS CS 22177-010,Magellan-Clay/MIKE,GWP,4000,2008,Sep,12,07,27,2454721.812,+106.8
BPS CS 22180-014,Magellan-Clay/MIKE,GWP,2000,2008,Sep,10,07,15,2454719.807,+43.9
BPS CS 22182-033,Magellan-Clay/MIKE,GWP,7200,2003,Oct,12,07,36,2452924.820,+247.5
BPS CS 22182-047,Magellan-Clay/MIKE,GWP,1400,2008,Sep,11,08,53,2454720.872,+39.3
BPS CS 22183-031,Magellan-Clay/MIKE,GWP,1400,2006,Aug,03,10,23,2453950.935,+23.1
