Found,JINA_ID,Query_ID,RA_input,DEC_input,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,,BPS CS 22166-016,,,BPS CS 22166-0016,00 58 23.8415,-14 47 06.878,14,14,0.013,0.01,90,A,O,2020yCat.1350....0G,,13.34,12.75,12.324,11.898,11.222,10.799,10.763,ChemPec*,CEMP-no,00 58 23.8415,-14 47 06.878,30.98,-16.031,0.4729,-212.21,1
True,,BPS CS 22169-008,,,BPS CS 22169-0008,04 03 36.2820,-12 49 40.296,14,14,0.0196,0.0153,90,A,O,2020yCat.1350....0G,,15.52,14.99,15.15,,14.015,13.673,13.57,ChemPec*,,04 03 36.2820,-12 49 40.296,3.317,-26.488,0.5444,178.0,1
True,,BPS CS 22169-035,,,HE 0409-1212,04 12 13.8814,-12 05 05.075,14,14,0.0099,0.0094,90,A,O,2020yCat.1350....0G,,13.843,12.897,,11.764,11.002,10.48,10.353,ChemPec*,,04 12 13.8814,-12 05 05.075,7.986,-4.925,0.1927,15.92,1
True,,BPS CS 22169-035,,,HE 0409-1212,04 12 13.8814,-12 05 05.075,14,14,0.0099,0.0094,90,A,O,2020yCat.1350....0G,,13.843,12.897,,11.764,11.002,10.48,10.353,ChemPec*,,04 12 13.8814,-12 05 05.075,7.986,-4.925,0.1927,15.92,1
True,,BPS CS 22169-035,,,HE 0409-1212,04 12 13.8814,-12 05 05.075,14,14,0.0099,0.0094,90,A,O,2020yCat.1350....0G,,13.843,12.897,,11.764,11.002,10.48,10.353,ChemPec*,,04 12 13.8814,-12 05 05.075,7.986,-4.925,0.1927,15.92,1
True,,BPS CS 22171-031,,,BPS CS 22171-0031,02 09 24.5509,-10 34 16.266,14,14,0.0142,0.013,90,A,O,2020yCat.1350....0G,,14.38,13.95,13.94,,12.956,12.675,12.655,ChemPec*,,02 09 24.5509,-10 34 16.266,54.445,-20.817,1.0782,36.0,1
True,,BPS CS 22171-037,,,BPS CS 22171-0037,02 08 00.5823,-09 03 48.307,14,14,0.0207,0.0192,90,A,O,2020yCat.1350....0G,,15.38,14.94,15.07,,13.987,13.697,13.771,ChemPec*,,02 08 00.5823,-09 03 48.307,13.122,-34.68,0.4924,-234.0,1
True,,BPS CS 22171-037,,,BPS CS 22171-0037,02 08 00.5823,-09 03 48.307,14,14,0.0207,0.0192,90,A,O,2020yCat.1350....0G,,15.38,14.94,15.07,,13.987,13.697,13.771,ChemPec*,,02 08 00.5823,-09 03 48.307,13.122,-34.68,0.4924,-234.0,1
True,,BPS CS 22172-029,,,HE 0328-1047,03 30 45.3602,-10 37 09.843,14,14,0.0169,0.0143,90,A,O,2020yCat.1350....0G,,14.97,14.36,13.926,13.543,12.884,12.491,12.394,RGB*,,03 30 45.3602,-10 37 09.843,11.611,-16.065,0.1932,-75.0,1
True,,BPS CS 22172-029,,,HE 0328-1047,03 30 45.3602,-10 37 09.843,14,14,0.0169,0.0143,90,A,O,2020yCat.1350....0G,,14.97,14.36,13.926,13.543,12.884,12.491,12.394,RGB*,,03 30 45.3602,-10 37 09.843,11.611,-16.065,0.1932,-75.0,1
True,,BPS CS 22174-020,,,BPS CS 22174-0020,01 20 27.2774,-08 47 16.321,14,14,0.0264,0.0181,90,A,O,2020yCat.1350....0G,,15.52,15.04,15.09,,14.101,13.758,13.773,ChemPec*,,01 20 27.2774,-08 47 16.321,21.1,-19.176,0.7302,117.0,1
True,,BPS CS 22174-020,,,BPS CS 22174-0020,01 20 27.2774,-08 47 16.321,14,14,0.0264,0.0181,90,A,O,2020yCat.1350....0G,,15.52,15.04,15.09,,14.101,13.758,13.773,ChemPec*,,01 20 27.2774,-08 47 16.321,21.1,-19.176,0.7302,117.0,1
True,,BPS CS 22177-009,,,BPS CS 22177-0009,04 07 40.6490,-25 02 43.970,14,14,0.0078,0.0124,90,A,O,2020yCat.1350....0G,,14.67,14.27,,,13.22,12.986,12.953,ChemPec*,,04 07 40.6490,-25 02 43.970,22.156,-61.651,1.2189,-193.0,1
True,,BPS CS 22177-009,,,BPS CS 22177-0009,04 07 40.6490,-25 02 43.970,14,14,0.0078,0.0124,90,A,O,2020yCat.1350....0G,,14.67,14.27,,,13.22,12.986,12.953,ChemPec*,,04 07 40.6490,-25 02 43.970,22.156,-61.651,1.2189,-193.0,1
True,,BPS CS 22177-010,,,BPS CS 22177-0010,04 10 00.4858,-25 44 38.846,14,14,0.0081,0.0118,90,A,O,2020yCat.1350....0G,,14.74,14.33,14.45,,13.266,13.0,12.926,ChemPec*,,04 10 00.4858,-25 44 38.846,26.566,-24.091,1.158,93.0,1
True,,BPS CS 22177-010,,,BPS CS 22177-0010,04 10 00.4858,-25 44 38.846,14,14,0.0081,0.0118,90,A,O,2020yCat.1350....0G,,14.74,14.33,14.45,,13.266,13.0,12.926,ChemPec*,,04 10 00.4858,-25 44 38.846,26.566,-24.091,1.158,93.0,1
True,,BPS CS 22177-010,,,BPS CS 22177-0010,04 10 00.4858,-25 44 38.846,14,14,0.0081,0.0118,90,A,O,2020yCat.1350....0G,,14.74,14.33,14.45,,13.266,13.0,12.926,ChemPec*,,04 10 00.4858,-25 44 38.846,26.566,-24.091,1.158,93.0,1
True,,BPS CS 22180-014,,,G 272-44,01 34 02.5085,-12 41 55.010,14,14,0.015,0.0097,90,A,O,2020yCat.1350....0G,,14.01,13.58,,,12.489,12.21,12.148,ChemPec*,,01 34 02.5085,-12 41 55.010,127.119,-132.825,1.9868,44.4,1
True,,BPS CS 22182-033,,,BPS CS 22182-0033,04 23 10.4797,-30 37 04.189,14,14,0.0115,0.0161,90,A,O,2020yCat.1350....0G,,15.11,14.67,,,13.53,13.235,13.172,ChemPec*,,04 23 10.4797,-30 37 04.189,33.626,-6.802,0.555,237.0,1
True,,BPS CS 22182-047,,,BPS CS 22182-0047,04 22 30.1513,-27 34 50.461,14,14,0.0073,0.0093,90,A,O,2020yCat.1350....0G,,13.72,13.24,,,12.088,11.745,11.682,ChemPec*,,04 22 30.1513,-27 34 50.461,72.094,-64.817,1.1633,26.0,1
True,,BPS CS 22183-031,,,BPS CS 22183-0031,01 09 05.0900,-04 43 21.343,14,14,0.0155,0.0119,90,A,O,2020yCat.1350....0G,,14.24,13.62,13.178,12.724,12.111,11.654,11.582,ChemPec*,,01 09 05.0900,-04 43 21.343,21.383,-9.368,0.3435,23.2,1
True,,BPS CS 22185-007,,,HE 0315-1528,03 17 36.0539,-15 17 22.698,14,14,0.0129,0.0112,90,A,O,2020yCat.1350....0G,,14.05,13.34,12.853,12.372,11.665,11.199,11.13,ChemPec*,CEMP-no,03 17 36.0539,-15 17 22.698,16.03,-7.013,0.2675,100.78,1
True,,BPS CS 22186-002,,,BPS CS 22186-0002,04 13 57.2123,-36 46 25.311,14,14,0.0076,0.0097,90,A,O,2020yCat.1350....0G,,13.67,13.77,,,12.023,11.695,11.645,ChemPec*,,04 13 57.2123,-36 46 25.311,49.786,-0.871,0.99,343.32,1
True,,BPS CS 22186-002,,,BPS CS 22186-0002,04 13 57.2123,-36 46 25.311,14,14,0.0076,0.0097,90,A,O,2020yCat.1350....0G,,13.67,13.77,,,12.023,11.695,11.645,ChemPec*,,04 13 57.2123,-36 46 25.311,49.786,-0.871,0.99,343.32,1
True,,BPS CS 22186-017,,,BPS CS 22186-0017,04 16 22.2705,-34 17 57.675,14,14,0.0082,0.0114,90,A,O,2020yCat.1350....0G,,13.96,13.53,,,12.498,12.214,12.13,ChemPec*,,04 16 22.2705,-34 17 57.675,91.877,34.568,1.4253,307.0,1
True,,BPS CS 22186-017,,,BPS CS 22186-0017,04 16 22.2705,-34 17 57.675,14,14,0.0082,0.0114,90,A,O,2020yCat.1350....0G,,13.96,13.53,,,12.498,12.214,12.13,ChemPec*,,04 16 22.2705,-34 17 57.675,91.877,34.568,1.4253,307.0,1
True,,BPS CS 22186-023,,,BPS CS 22186-0023,04 19 45.5332,-36 51 35.980,14,14,0.0081,0.0097,90,A,O,2020yCat.1350....0G,,13.57,12.84,,11.925,11.35,10.905,10.816,RGB*,,04 19 45.5332,-36 51 35.980,8.53,-1.977,0.3091,51.9,1
