Name,Simbad_Identifier,RA_hms,DEC_dms,Tel,Obs,Exp,Obs.Y,Obs.M,Obs.D,Obs.h,Obs.s,HJD,RVel
CS 22166-016,BPS CS 22166-0016,00:58:23.8415,-14:47:06.878,Magellan-Clay/MIKE,GWP,1600,2004,Aug,12,10,19,2453229.934,-210.0
CS 22169-008,BPS CS 22169-0008,04:03:36.2820,-12:49:40.296,Magellan-Clay/MIKE,IBT,4000,2004,Sep,23,08,55,2453271.874,+184.2
CS 22169-035,HE 0409-1212,04:12:13.8814,-12:05:05.075,Magellan-Baade/MIKE,GWP,1400,2003,Jan,18,04,22,2452657.684,+15.4
CS 22169-035,HE 0409-1212,04:12:13.8814,-12:05:05.075,Magellan-Baade/MIKE,GWP,2400,2003,Jan,20,02,05,2452659.589,+14.1
CS 22169-035,HE 0409-1212,04:12:13.8814,-12:05:05.075,Magellan-Clay/MIKE,GWP,1700,2007,Aug,24,09,56,2454336.914,+14.1
CS 22171-031,BPS CS 22171-0031,02:09:24.5509,-10:34:16.266,Magellan-Clay/MIKE,GWP,2800,2008,Sep,10,07,59,2454719.837,+38.8
CS 22171-037,BPS CS 22171-0037,02:08:00.5823,-09:03:48.307,Magellan-Clay/MIKE,IBT,7200,2003,Nov,01,05,53,2452944.750,-261.4
CS 22171-037,BPS CS 22171-0037,02:08:00.5823,-09:03:48.307,Magellan-Clay/MIKE,IUR,7200,2012,Aug,26,06,12,2456165.762,-261.1
CS 22172-029,HE 0328-1047,03:30:45.3602,-10:37:09.843,Magellan-Clay/MIKE,GWP,4000,2008,Sep,10,09,20,2454719.892,-57.4
CS 22172-029,HE 0328-1047,03:30:45.3602,-10:37:09.843,Magellan-Clay/MIKE,GWP,3600,2008,Sep,11,08,06,2454720.840,-57.5
CS 22174-020,BPS CS 22174-0020,01:20:27.2774,-08:47:16.321,Magellan-Clay/MIKE,GWP,3300,2005,Aug,20,06,38,2453602.780,+127.7
CS 22174-020,BPS CS 22174-0020,01:20:27.2774,-08:47:16.321,Magellan-Clay/MIKE,GWP,1800,2005,Aug,21,08,19,2453603.850,+127.3
CS 22177-009,BPS CS 22177-0009,04:07:40.6490,-25:02:43.970,Magellan-Baade/MIKE,GWP,3600,2003,Jan,15,04,09,2452654.675,-208.0
CS 22177-009,BPS CS 22177-0009,04:07:40.6490,-25:02:43.970,Magellan-Clay/MIKE,GWP,3200,2007,Aug,21,08,54,2454333.871,-208.1
CS 22177-010,BPS CS 22177-0010,04:10:00.4858,-25:44:38.846,Magellan-Baade/MIKE,GWP,2000,2003,Jan,18,03,22,2452657.642,+111.0
CS 22177-010,BPS CS 22177-0010,04:10:00.4858,-25:44:38.846,Magellan-Baade/MIKE,GWP,3600,2003,Jan,19,04,05,2452658.672,+111.9
CS 22177-010,BPS CS 22177-0010,04:10:00.4858,-25:44:38.846,Magellan-Clay/MIKE,GWP,4000,2008,Sep,12,07,27,2454721.812,+106.8
CS 22180-014,G 272-44,01:34:02.5085,-12:41:55.010,Magellan-Clay/MIKE,GWP,2000,2008,Sep,10,07,15,2454719.807,+43.9
CS 22182-033,BPS CS 22182-0033,04:23:10.4797,-30:37:04.189,Magellan-Clay/MIKE,GWP,7200,2003,Oct,12,07,36,2452924.820,+247.5
CS 22182-047,BPS CS 22182-0047,04:22:30.1513,-27:34:50.461,Magellan-Clay/MIKE,GWP,1400,2008,Sep,11,08,53,2454720.872,+39.3
CS 22183-031,BPS CS 22183-0031,01:09:05.0900,-04:43:21.343,Magellan-Clay/MIKE,GWP,1400,2006,Aug,03,10,23,2453950.935,+23.1
CS 22185-007,HE 0315-1528,03:17:36.0539,-15:17:22.698,Magellan-Clay/MIKE,IUR,2000,2012,Aug,27,08,03,2456166.837,+102.0
CS 22186-002,BPS CS 22186-0002,04:13:57.2123,-36:46:25.311,Magellan-Baade/MIKE,GWP,2200,2003,Jan,20,02,43,2452659.614,+341.8
CS 22186-002,BPS CS 22186-0002,04:13:57.2123,-36:46:25.311,Magellan-Clay/MIKE,GWP,2400,2005,Aug,20,08,49,2453602.868,+341.8
CS 22186-017,BPS CS 22186-0017,04:16:22.2705,-34:17:57.675,Magellan-Baade/MIKE,GWP,3000,2003,Jan,16,02,46,2452655.617,+303.2
CS 22186-017,BPS CS 22186-0017,04:16:22.2705,-34:17:57.675,Magellan-Clay/MIKE,GWP,2000,2007,Aug,24,09,20,2454336.889,+303.3
CS 22186-023,BPS CS 22186-0023,04:19:45.5332,-36:51:35.980,Magellan-Baade/MIKE,GWP,2000,2003,Jan,20,03,29,2452659.646,+52.0
CS 22186-023,BPS CS 22186-0023,04:19:45.5332,-36:51:35.980,Magellan-Clay/MIKE,GWP,2400,2005,Aug,20,09,42,2453602.905,+52.0
CS 22189-009,HE 0239-1340,02:41:42.3721,-13:28:10.603,Magellan-Clay/MIKE,IBT,3000,2004,Sep,26,08,13,2453274.847,-20.4
CS 22191-029,BPS CS 22191-0029,04:47:42.4785,-39:07:26.463,Magellan-Baade/MIKE,GWP,3600,2003,Jan,16,03,50,2452655.661,+76.1
CS 22191-029,BPS CS 22191-0029,04:47:42.4785,-39:07:26.463,Magellan-Clay/MIKE,GWP,3200,2008,Sep,12,09,32,2454721.898,+76.4
CS 22871-104,BPS CS 22871-0104,14:50:53.0900,-20:48:37.754,Magellan-Baade/MIKE,GWP,3600,2003,Jun,12,03,01,2452802.631,-135.4
CS 22872-102,BPS CS 22872-0102,16:29:20.6944,-03:04:56.728,Magellan-Clay/MIKE,GWP,1800,2006,Aug,04,01,05,2453951.547,-59.1
CS 22873-072,BPS CS 22873-0072,19:52:05.4882,-61:37:39.170,Magellan-Baade/MIKE,SAS,4000,2003,Jun,25,05,25,2452815.730,-83.5
CS 22873-072,BPS CS 22873-0072,19:52:05.4882,-61:37:39.170,Magellan-Clay/MIKE,IBT,1800,2009,May,16,09,34,2454967.901,-84.4
CS 22873-128,HE 2002-5843,20:07:03.7915,-58:34:57.592,Magellan-Clay/MIKE,GWP,1400,2006,Aug,03,01,49,2453950.580,+205.7
CS 22874-123,BPS CS 22874-0123,14:48:57.7406,-24:21:15.576,Magellan-Clay/MIKE,SAS,4000,2003,Jul,19,00,51,2452839.538,+105.0
CS 22875-029,BPS CS 22875-0029,22:29:25.0902,-38:57:47.453,Magellan-Baade/MIKE,GWP,3600,2003,Jun,12,09,59,2452802.918,+73.1
CS 22875-029,BPS CS 22875-0029,22:29:25.0902,-38:57:47.453,Magellan-Clay/MIKE,GWP,3600,2003,Oct,12,04,25,2452924.687,+72.7
CS 22876-040,BPS CS 22876-0040,00:04:52.4533,-34:13:37.340,Magellan-Clay/MIKE,IBT,5800,2009,Jul,26,07,17,2455038.807,-189.9
CS 22877-001,BPS CS 22877-0001,13:13:55.3726,-12:11:41.666,Magellan-Baade/MIKE,GWP,1000,2003,Jan,14,06,58,2452653.790,+169.8
CS 22877-001,BPS CS 22877-0001,13:13:55.3726,-12:11:41.666,Magellan-Baade/MIKE,GWP,1600,2003,Jan,15,07,52,2452654.828,+167.0
CS 22877-001,BPS CS 22877-0001,13:13:55.3726,-12:11:41.666,Magellan-Baade/MIKE,GWP,1200,2003,Jan,20,08,31,2452659.856,+166.6
CS 22877-001,BPS CS 22877-0001,13:13:55.3726,-12:11:41.666,Magellan-Clay/MIKE,GWP,1800,2006,Aug,02,23,07,2453950.461,+166.7
CS 22877-011,BPS CS 22877-0011,13:14:40.1709,-09:35:46.570,Magellan-Baade/MIKE,GWP,2100,2003,Jan,16,08,36,2452655.859,+230.3
CS 22877-011,BPS CS 22877-0011,13:14:40.1709,-09:35:46.570,Magellan-Baade/MIKE,GWP,4000,2003,Jan,17,08,16,2452656.845,+230.2
CS 22877-011,BPS CS 22877-0011,13:14:40.1709,-09:35:46.570,Magellan-Clay/MIKE,GWP,2400,2006,Aug,03,23,19,2453951.469,+230.5
CS 22877-011,BPS CS 22877-0011,13:14:40.1709,-09:35:46.570,Magellan-Clay/MIKE,SAS,3600,2010,Jul,24,23,37,2455402.483,+230.7
CS 22877-015,BPS CS 22877-0015,13:13:45.2551,-09:15:43.056,Magellan-Baade/MIKE,GWP,2400,2003,Jan,14,07,43,2452653.822,+86.2
CS 22877-015,BPS CS 22877-0015,13:13:45.2551,-09:15:43.056,Magellan-Baade/MIKE,GWP,1800,2003,Jan,16,07,50,2452655.827,+85.1
CS 22877-051,BPS CS 22877-0051,13:23:31.1382,-12:35:13.049,Magellan-Baade/MIKE,GWP,3600,2003,Jan,18,08,27,2452657.852,+291.2
CS 22877-051,BPS CS 22877-0051,13:23:31.1382,-12:35:13.049,Magellan-Baade/MIKE,GWP,4000,2003,Jan,20,07,49,2452659.826,+291.8
CS 22877-051,BPS CS 22877-0051,13:23:31.1382,-12:35:13.049,Magellan-Clay/MIKE,GWP,2400,2006,Aug,04,00,12,2453951.507,+292.0
CS 22878-002,BPS CS 22878-0002,16:33:49.0310,+07:53:36.168,Magellan-Clay/MIKE,SAS,3600,2003,Jul,20,02,27,2452840.605,-190.2
CS 22878-002,BPS CS 22878-0002,16:33:49.0310,+07:53:36.168,Magellan-Clay/MIKE,SAS,3200,2003,Jul,21,02,31,2452841.608,-190.0
CS 22878-027,BPS CS 22878-0027,16:37:35.8437,+10:22:07.754,Magellan-Baade/MIKE,SAS,3600,2003,Jun,22,04,07,2452812.676,-91.1
CS 22878-027,BPS CS 22878-0027,16:37:35.8437,+10:22:07.754,Magellan-Baade/MIKE,SAS,3600,2003,Jun,23,03,15,2452813.640,-91.2
CS 22878-101,BPS CS 22878-0101,16:45:31.4513,+08:14:45.470,Magellan-Clay/MIKE,GWP,2400,2006,Aug,05,23,59,2453953.501,-128.8
CS 22879-012,BPS CS 22879-0012,20:37:14.0345,-41:02:33.500,Magellan-Clay/MIKE,GWP,2600,2004,Jun,28,04,19,2453184.685,-50.4
CS 22879-012,BPS CS 22879-0012,20:37:14.0345,-41:02:33.500,Magellan-Clay/MIKE,GWP,3600,2004,Jun,28,05,51,2453184.749,-50.3
CS 22879-029,BPS CS 22879-0029,20:38:51.8045,-38:36:46.780,Magellan-Clay/MIKE,GWP,7200,2005,Aug,24,01,34,2453606.570,-93.6
CS 22879-029,BPS CS 22879-0029,20:38:51.8045,-38:36:46.780,Magellan-Clay/MIKE,IBT,1350,2006,Jun,03,09,49,2453889.913,-167.3
CS 22879-029,BPS CS 22879-0029,20:38:51.8045,-38:36:46.780,Magellan-Clay/MIKE,IBT,1200,2006,Jul,19,06,49,2453935.790,-94.2
CS 22879-029,BPS CS 22879-0029,20:38:51.8045,-38:36:46.780,Magellan-Clay/MIKE,IBT,1500,2007,Aug,04,04,40,2454316.700,-139.5
CS 22879-029,BPS CS 22879-0029,20:38:51.8045,-38:36:46.780,Magellan-Clay/MIKE,IBT,1200,2009,Jul,25,05,48,2455037.747,-102.5
CS 22879-029,BPS CS 22879-0029,20:38:51.8045,-38:36:46.780,Magellan-Clay/MIKE,IBT,1200,2009,Jul,26,04,11,2455038.680,-114.5
CS 22879-029,BPS CS 22879-0029,20:38:51.8045,-38:36:46.780,Magellan-Clay/MIKE,GWP,800,2009,Sep,04,23,43,2455079.492,-171.5
CS 22879-029,BPS CS 22879-0029,20:38:51.8045,-38:36:46.780,Magellan-Clay/MIKE,GWP,1200,2009,Sep,05,23,43,2455080.492,-176.9
CS 22879-051,BPS CS 22879-0051,20:42:36.4763,-39:18:29.419,Magellan-Clay/MIKE,GWP,2000,2005,Aug,20,05,11,2453602.721,-43.0
CS 22879-094,BPS CS 22879-0094,20:50:08.3549,-38:42:55.824,Magellan-Clay/MIKE,GWP,6400,2005,Aug,25,00,18,2453607.517,+47.6
CS 22879-097,BPS CS 22879-0097,20:48:46.5523,-38:30:49.420,Magellan-Baade/MIKE,SAS,7200,2003,May,23,07,45,2452782.825,+26.4
CS 22879-103,BPS CS 22879-0103,20:47:10.1397,-37:26:52.506,Magellan-Baade/MIKE,GWP,4400,2003,Jun,15,06,56,2452805.793,-30.9
CS 22879-103,BPS CS 22879-0103,20:47:10.1397,-37:26:52.506,Magellan-Clay/MIKE,GWP,4200,2003,Oct,12,01,53,2452924.580,-31.0
CS 22880-067,BPS CS 22880-0067,20:49:07.8990,-21:34:54.927,Magellan-Clay/MIKE,SAS,4800,2003,Jul,20,06,42,2452840.785,-183.0
CS 22880-086,BPS CS 22880-0086,20:45:47.5279,-18:33:32.356,Magellan-Baade/MIKE,SAS,7200,2003,Jun,22,07,58,2452812.837,-112.2
