Name,Cl,Teff,e_Teff,logg,e_logg,E(B-V),e_E(B-V),BC,e_BC,M/H,e_M/H,Vmic,e_Vmic,
BD+10 2495,RG,5079,29,2.47,0.16,0.02,0.01,-0.09,0.01,-1.9,0.3,1.55,0.06,
BD+19 1185A,MS,5520,36,4.35,0.16,0.,0.01,0.02,0.01,-1.2,0.3,1.15,0.06,
BD+24 1676,MS,6515,36,4.05,0.15,0.02,0.01,-0.09,0.01,-2.3,0.3,1.65,0.06,
BD+26 3578,MS,6677,36,4.13,0.15,0.05,0.01,-0.14,0.01,-2.1,0.3,1.7,0.06,
BD+29 2356,RG,4913,29,1.71,0.19,0.01,0.01,-0.09,0.01,-1.5,0.3,1.68,0.06,
BD+44 493,SG,5463,29,3.2,0.15,0.03,0.01,-0.11,0.01,-3.7,0.3,1.45,0.06,
BD+80 245,SG,5545,29,3.53,0.15,0.01,0.01,-0.05,0.01,-1.8,0.3,1.2,0.06,
BD-01 2582,RG,5240,29,2.81,0.16,0.02,0.01,-0.08,0.01,-2.2,0.3,1.5,0.06,
BD-15 5781,RG,4834,29,1.74,0.16,0.04,0.01,-0.19,0.01,-2.5,0.3,1.9,0.06,
BD-18 5550,RG,4833,29,1.99,0.16,0.14,0.01,-0.45,0.01,-2.9,0.3,1.55,0.06,
BD-20 6008,RG,4819,29,1.59,0.16,0.04,0.01,-0.19,0.01,-2.6,0.3,1.9,0.06,
CD-24 1782,RG,5286,29,2.78,0.16,0.02,0.01,-0.08,0.01,-2.6,0.3,1.5,0.06,
CD-30 298,RG,5293,29,2.7,0.16,0.02,0.01,-0.1,0.01,-3.1,0.3,1.6,0.06,
CD-36 1052,HB,5959,29,2.66,0.15,0.02,0.01,-0.03,0.01,-1.8,0.3,3.35,0.06,
CD-38 245,RG,4889,29,1.63,0.18,0.01,0.01,-0.11,0.01,-3.9,0.3,1.95,0.06,
CS 22166-016,RG,5288,29,2.59,0.18,0.02,0.01,-0.09,0.01,-2.7,0.3,1.6,0.06,
CS 22169-008,SG,6304,36,3.97,0.18,0.05,0.01,-0.15,0.01,-2.4,0.3,1.65,0.06,
CS 22169-035,RG,4733,29,1.7,0.17,0.04,0.01,-0.21,0.01,-2.9,0.3,2.1,0.06,
CS 22171-031,MS,6392,36,4.19,0.16,0.02,0.01,-0.07,0.01,-2.2,0.3,1.55,0.06,
CS 22171-037,SG,6564,36,3.97,0.19,0.02,0.01,-0.08,0.01,-3.1,0.3,1.85,0.06,
CS 22172-029,RG,5374,29,2.5,0.19,0.05,0.01,-0.14,0.01,-2.1,0.3,1.5,0.06,
CS 22174-020,MS,6476,36,4.29,0.17,0.03,0.01,-0.13,0.01,-2.8,0.3,1.7,0.06,
CS 22177-009,MS,6448,36,4.39,0.15,0.04,0.01,-0.14,0.01,-2.9,0.3,1.4,0.06,
CS 22177-010,MS,6389,36,4.33,0.16,0.04,0.01,-0.15,0.01,-2.7,0.3,1.55,0.06,
CS 22180-014,MS,6093,36,4.48,0.16,0.02,0.01,-0.08,0.02,-2.6,0.3,1.3,0.06,
CS 22182-033,SG,6056,36,3.81,0.17,0.03,0.01,-0.1,0.01,-2.4,0.3,1.55,0.06,
CS 22182-047,SG,5971,36,3.8,0.16,0.04,0.01,-0.11,0.01,-1.9,0.3,1.4,0.06,
CS 22183-031,RG,5271,29,2.72,0.19,0.03,0.01,-0.13,0.01,-3.,0.3,1.6,0.06,
CS 22185-007,RG,5121,29,2.3,0.17,0.05,0.01,-0.18,0.01,-2.6,0.3,1.65,0.06,
CS 22186-002,SG,5755,29,3.64,0.16,0.01,0.01,-0.05,0.01,-2.4,0.3,1.4,0.06,
CS 22186-017,MS,6156,36,4.19,0.15,0.02,0.01,-0.07,0.01,-2.4,0.3,1.4,0.06,
CS 22186-023,RG,5137,29,2.28,0.16,0.02,0.01,-0.1,0.01,-2.6,0.3,1.7,0.06,
CS 22189-009,RG,4986,29,2.2,0.2,0.02,0.01,-0.13,0.01,-3.4,0.3,1.83,0.06,
CS 22191-029,HB,5977,29,2.61,0.18,0.02,0.01,-0.03,0.01,-2.5,0.3,3.05,0.06,
CS 22871-104,SG,6492,29,3.52,0.17,0.11,0.01,-0.29,0.01,-2.,0.3,1.6,0.06,
CS 22872-102,MS,6169,36,4.16,0.16,0.22,0.01,-0.62,0.01,-2.7,0.3,1.35,0.06,
CS 22873-072,MS,6488,36,4.27,0.16,0.06,0.01,-0.19,0.01,-2.7,0.3,1.55,0.06,
CS 22873-128,RG,5096,29,2.27,0.18,0.03,0.01,-0.14,0.01,-2.8,0.3,1.7,0.06,
CS 22874-123,SG,6376,36,3.95,0.18,0.1,0.01,-0.29,0.01,-2.6,0.3,1.7,0.06,
