Name,Num-FeI,loge(FeI),[FeI/H],e_[FeI/H],Num-FeII,loge(FeII),[FeII/H],e_[FeII/H],Num-O,loge(O),[O/Fe],e_[O/Fe],Num-Na,loge(Na),[Na/Fe],e_[Na/Fe],Num-Mg,loge(Mg),[Mg/Fe],e_[Mg/Fe],Num-Si,loge(Si),[Si/Fe],e_[Si/Fe],Num-K,loge(K),[K/Fe],e_[K/Fe],Num-Ca,loge(Ca),[Ca/Fe],e_[Ca/Fe],Num-TiI,loge(TiI),[TiI/Fe],e_[TiI/Fe],Num-TiII,loge(TiII),[TiII/Fe],e_[TiII/Fe],Num-CrI,loge(CrI),[CrI/Fe],e_[CrI/Fe],Num-CrII,loge(CrII),[CrII/Fe],e_[CrII/Fe],Num-Ni,loge(Ni),[Ni/Fe],e_[Ni/Fe],Num-Zn,loge(Zn),[Zn/Fe],e_[Zn/Fe]
BD+10 2495,81,5.54,-1.96,0.05,8,5.59,-1.91,0.15,3,7.36,0.55,0.1,1,4.01,-0.35,0.22,4,5.9,0.18,0.11,2,5.9,0.27,0.15,,,,,9,4.65,0.19,0.07,15,3.1,0.03,0.07,20,3.42,0.35,0.13,10,3.46,-0.3,0.07,3,3.74,-0.02,0.19,8,4.21,-0.13,0.08,1,2.65,-0.03,0.21
BD+19 1185A,54,6.34,-1.16,0.05,9,6.36,-1.14,0.15,3,8.16,0.61,0.1,2,4.92,-0.18,0.12,1,6.91,0.45,0.17,4,6.6,0.23,0.11,1,4.54,0.65,0.18,5,5.47,0.27,0.16,12,3.94,0.13,0.09,16,4.12,0.31,0.11,9,4.43,-0.07,0.09,3,4.5,0.,0.2,8,4.98,-0.1,0.08,2,3.44,0.02,0.14
BD+24 1676,85,5.1,-2.4,0.05,11,5.14,-2.36,0.17,2,6.99,0.61,0.12,2,3.78,-0.15,0.13,7,5.46,0.17,0.11,1,5.31,0.11,0.29,1,3.12,0.4,0.17,10,4.36,0.33,0.08,6,3.12,0.48,0.12,21,3.01,0.37,0.12,4,3.16,-0.17,0.11,2,3.26,-0.07,0.27,4,3.94,0.03,0.13,2,2.35,0.1,0.27
BD+26 3578,76,5.35,-2.15,0.05,10,5.32,-2.18,0.17,3,6.99,0.36,0.11,,,,,6,5.71,0.17,0.11,1,5.62,0.17,0.3,,,,,12,4.58,0.3,0.07,9,3.36,0.47,0.1,18,3.26,0.37,0.13,4,3.41,-0.17,0.12,1,3.37,-0.21,0.35,2,4.09,-0.07,0.16,2,2.55,0.05,0.26
BD+29 2356,87,5.97,-1.53,0.05,8,5.79,-1.71,0.18,1,7.96,0.71,0.16,2,4.56,-0.24,0.16,3,6.42,0.26,0.14,4,6.35,0.28,0.13,1,4.26,0.67,0.16,7,5.19,0.29,0.1,15,3.57,0.06,0.09,14,3.8,0.29,0.15,9,3.98,-0.22,0.1,1,3.93,-0.27,0.32,7,4.7,-0.08,0.09,2,3.02,-0.1,0.19
BD+44 493,61,3.71,-3.79,0.05,2,3.74,-3.76,0.24,,,,,,,,,7,4.44,0.57,0.1,1,3.96,0.18,0.23,,,,,7,2.89,0.28,0.09,3,1.4,0.18,0.22,9,1.31,0.09,0.14,2,1.48,-0.43,0.16,,,,,2,2.65,0.16,0.17,,,,
BD+80 245,66,5.66,-1.84,0.05,10,5.69,-1.81,0.16,2,7.45,0.57,0.13,,,,,4,5.43,-0.36,0.13,,,,,,,,,11,4.23,-0.3,0.07,13,2.79,-0.35,0.09,17,3.,-0.14,0.14,11,3.62,-0.21,0.08,3,3.79,-0.04,0.22,8,4.31,-0.1,0.1,1,2.2,-0.55,0.37
BD-01 2582,94,5.23,-2.27,0.05,11,5.28,-2.22,0.15,,,,,2,4.1,0.03,0.16,3,5.72,0.29,0.11,2,5.93,0.59,0.16,1,3.3,0.44,0.16,7,4.47,0.3,0.08,15,2.92,0.14,0.07,20,3.17,0.39,0.14,11,3.21,-0.26,0.07,2,3.56,0.09,0.22,6,3.95,-0.1,0.09,2,2.52,0.13,0.15
BD-15 5781,117,4.84,-2.66,0.04,8,4.98,-2.52,0.15,3,7.02,0.83,0.11,,,,,6,5.3,0.2,0.1,2,5.32,0.31,0.17,1,2.82,0.29,0.16,10,3.98,0.14,0.07,17,2.47,0.02,0.06,27,2.76,0.31,0.12,9,2.76,-0.38,0.07,3,3.11,-0.03,0.19,9,3.59,-0.13,0.08,2,2.17,0.11,0.14
BD-18 5550,107,4.48,-3.02,0.04,12,4.72,-2.78,0.15,,,,,,,,,6,4.97,0.27,0.09,1,5.24,0.63,0.24,,,,,10,3.72,0.28,0.07,18,2.09,0.04,0.06,26,2.44,0.39,0.12,11,2.37,-0.37,0.08,2,2.81,0.07,0.22,6,3.27,-0.05,0.09,2,1.86,0.2,0.17
BD-20 6008,86,4.75,-2.75,0.05,8,4.79,-2.71,0.16,,,,,,,,,7,5.28,0.23,0.1,,,,,1,2.84,0.36,0.16,11,3.94,0.15,0.07,18,2.38,-0.02,0.07,29,2.65,0.25,0.13,10,2.65,-0.44,0.08,2,2.88,-0.21,0.25,7,3.48,-0.19,0.1,2,1.96,-0.05,0.2
CD-24 1782,127,4.81,-2.69,0.04,9,4.87,-2.63,0.15,,,,,,,,,8,5.28,0.27,0.09,,,,,1,2.98,0.54,0.16,11,4.01,0.26,0.07,16,2.58,0.22,0.07,29,2.75,0.39,0.12,12,2.8,-0.25,0.08,3,2.98,-0.07,0.21,13,3.66,0.03,0.09,3,2.09,0.12,0.17
CD-30 298,115,4.24,-3.26,0.05,8,4.3,-3.2,0.17,,,,,1,3.05,-0.06,0.16,9,4.47,0.,0.1,1,4.68,0.3,0.25,,,,,13,3.25,0.04,0.08,6,1.84,0.02,0.12,23,1.93,0.11,0.14,5,2.04,-0.47,0.11,1,2.22,-0.29,0.35,15,3.09,0.,0.1,2,1.61,0.18,0.28
CD-36 1052,99,5.59,-1.91,0.04,8,5.85,-1.65,0.15,3,8.16,1.28,0.09,,,,,7,6.1,0.31,0.08,1,5.74,0.04,0.17,1,3.67,0.45,0.15,12,4.82,0.29,0.06,7,3.24,0.1,0.09,24,3.87,0.73,0.13,7,3.63,-0.2,0.09,3,4.02,0.19,0.18,4,4.25,-0.16,0.14,2,2.79,0.04,0.17
CD-38 245,71,3.38,-4.12,0.05,3,3.41,-4.09,0.23,,,,,,,,,7,3.81,0.15,0.1,1,3.63,0.06,0.25,,,,,5,2.45,0.05,0.12,5,1.21,0.2,0.15,19,1.38,0.37,0.14,4,1.03,-0.67,0.12,,,,,12,2.03,-0.25,0.1,2,1.28,0.66,0.26
CS 22166-016,96,4.69,-2.81,0.05,11,4.78,-2.72,0.18,,,,,,,,,5,5.31,0.43,0.12,,,,,,,,,11,3.99,0.37,0.07,15,2.5,0.27,0.08,24,2.56,0.33,0.16,6,2.65,-0.27,0.11,2,2.75,-0.17,0.34,7,3.46,-0.04,0.13,,,,
CS 22169-008,99,5.04,-2.46,0.05,8,5.12,-2.38,0.2,2,7.22,0.95,0.13,,,,,7,5.49,0.31,0.13,1,5.29,0.2,0.38,,,,,13,4.25,0.33,0.08,7,3.02,0.49,0.14,25,3.06,0.53,0.13,5,3.1,-0.12,0.15,1,3.28,0.06,0.43,13,3.73,-0.07,0.13,,,,
CS 22169-035,109,4.49,-3.01,0.04,9,4.73,-2.77,0.16,,,,,,,,,6,4.73,0.04,0.1,1,4.99,0.39,0.23,1,2.68,0.56,0.16,11,3.43,0.,0.07,13,1.84,-0.2,0.07,29,2.09,0.05,0.12,11,2.35,-0.38,0.08,2,2.75,0.02,0.24,8,3.12,-0.19,0.09,2,1.9,0.25,0.17
CS 22171-031,95,5.26,-2.24,0.05,8,5.32,-2.18,0.2,3,7.28,0.73,0.12,,,,,7,5.63,0.17,0.13,,,,,,,,,13,4.5,0.3,0.08,6,3.17,0.36,0.14,20,3.31,0.5,0.13,6,3.34,-0.16,0.14,1,3.43,-0.07,0.42,7,4.16,0.08,0.16,,,,
CS 22171-037,43,4.27,-3.23,0.06,3,4.4,-3.1,0.25,,,,,2,2.86,-0.33,0.13,4,4.53,-0.02,0.12,1,4.21,-0.25,0.28,,,,,7,3.52,0.23,0.12,2,2.75,0.85,0.24,12,2.12,0.22,0.18,3,2.85,0.26,0.18,,,,,3,3.14,-0.03,0.19,,,,
CS 22172-029,106,5.24,-2.26,0.05,11,5.05,-2.45,0.18,3,7.01,0.44,0.11,,,,,4,5.68,0.2,0.12,,,,,1,3.38,0.47,0.16,10,4.45,0.23,0.07,18,2.95,0.12,0.07,25,2.88,0.05,0.16,13,3.17,-0.35,0.08,3,3.16,-0.36,0.25,11,4.05,-0.05,0.09,2,2.3,-0.14,0.21
CS 22174-020,60,4.72,-2.78,0.08,2,4.87,-2.63,0.31,,,,,,,,,7,5.09,0.26,0.15,1,4.89,0.15,0.4,,,,,10,3.95,0.38,0.12,2,2.89,0.71,0.35,10,2.66,0.48,0.17,3,2.67,-0.2,0.22,,,,,9,3.32,-0.13,0.17,,,,
