Name,Species,l_[X/Fe],[X/Fe]
HD 361,C,,-0.039
HD 1461,C,,-0.032
HD 2071,C,,-0.020
HD 4915,C,,0.020
HD 6204,C,,-0.129
HD 7134,C,,0.029
HD 8406,C,,-0.036
HD 11505,C,,0.132
HD 12264,C,,-0.065
HD 12387,C,,0.207
HD 13724,C,,-0.081
HD 19467,C,,0.141
HD 20619,C,,0.000
HD 20766,C,,0.019
HD 20782,C,,-0.014
HD 20807,C,,0.049
HD 27063,C,,-0.084
HD 28471,C,,-0.021
HD 28821,C,,0.014
HD 31527,C,,0.019
HD 38277,C,,-0.011
HD 38858,C,,0.029
HD 45184,C,,-0.068
HD 45289,C,,0.056
HD 59711,C,,0.015
HD 59967,C,,-0.076
HD 66428,C,,0.004
HD 67458,C,,-0.062
HD 71334,C,,-0.020
HD 75302,C,,-0.108
HD 78429,C,,-0.025
HD 88084,C,,0.021
HD 89454,C,,-0.098
HD 92719,C,,-0.055
HD 95521,C,,-0.013
HD 96116,C,,-0.086
HD 96423,C,,-0.058
HD 102117,C,,-0.066
HD 102365,C,,0.130
HD 104982,C,,0.015
HD 106116,C,,-0.038
HD 108309,C,,-0.002
HD 109271,C,,-0.093
HD 111031,C,,-0.030
HD 114853,C,,0.003
HD 115674,C,,0.021
HD 117105,C,,0.032
HD 117207,C,,-0.019
HD 126525,C,,0.037
HD 134606,C,,-0.001
HD 134664,C,,-0.115
HD 134987,C,,0.013
HD 145927,C,,0.023
HD 146233,C,,-0.064
HD 160691,C,,-0.023
HD 177409,C,,-0.106
HD 183658,C,,-0.002
HD 186408,C,,-0.053
HD 186427,C,,-0.027
HD 189567,C,,0.077
HD 189625,C,,-0.103
HD 190647,C,,0.029
HD 196390,C,,-0.132
HD 198075,C,,-0.038
HD 200633,C,,-0.070
HD 202628,C,,-0.106
HD 204313,C,,0.009
HD 208704,C,,-0.003
HD 210918,C,,0.056
HD 211415,C,,0.030
HD 220507,C,,0.097
HD 222582,C,,0.001
HD 361,O,,0.010
HD 1461,O,,-0.108
HD 2071,O,,-0.022
HD 4915,O,,0.039
HD 6204,O,,-0.097
HD 7134,O,,0.094
HD 8406,O,,-0.028
HD 11505,O,,0.280
HD 12264,O,,0.004
HD 12387,O,,0.301
HD 13724,O,,-0.093
HD 19467,O,,0.246
HD 20619,O,,0.055
HD 20766,O,,0.103
HD 20782,O,,0.020
HD 20807,O,,0.096
HD 27063,O,,-0.075
HD 28471,O,,0.004
HD 28821,O,,0.087
HD 31527,O,,0.070
HD 38277,O,,0.040
HD 38858,O,,0.058
HD 45184,O,,-0.054
HD 45289,O,,0.142
HD 59711,O,,-0.010
HD 59967,O,,-0.077
HD 66428,O,,-0.095
HD 67458,O,,0.036
HD 71334,O,,0.030
HD 75302,O,,-0.128
HD 78429,O,,0.001
HD 88084,O,,-0.014
HD 89454,O,,-0.101
HD 92719,O,,-0.010
HD 95521,O,,0.014
HD 96116,O,,-0.046
HD 96423,O,,-0.075
HD 102117,O,,-0.125
HD 102365,O,,0.203
HD 104982,O,,0.032
HD 106116,O,,-0.033
HD 108309,O,,0.015
HD 109271,O,,-0.028
HD 111031,O,,-0.091
HD 114853,O,,0.081
HD 115674,O,,0.049
HD 117105,O,,0.129
HD 117207,O,,-0.124
HD 126525,O,,0.043
HD 134606,O,,-0.083
HD 134664,O,,-0.084
HD 134987,O,,-0.071
HD 145927,O,,0.033
HD 146233,O,,-0.027
HD 160691,O,,-0.096
HD 177409,O,,0.000
HD 183658,O,,-0.041
HD 186408,O,,-0.067
HD 186427,O,,-0.063
HD 189567,O,,0.153
HD 189625,O,,9.999
HD 190647,O,,0.069
HD 196390,O,,-0.080
HD 198075,O,,9.999
HD 200633,O,,-0.093
HD 202628,O,,-0.098
HD 204313,O,,-0.080
HD 208704,O,,0.027
HD 210918,O,,0.137
HD 211415,O,,0.057
HD 220507,O,,0.153
HD 222582,O,,0.042
HD 361,Na,,-0.072
HD 1461,Na,,0.103
HD 2071,Na,,-0.032
HD 4915,Na,,-0.039
HD 6204,Na,,-0.107
HD 7134,Na,,-0.033
HD 8406,Na,,-0.060
HD 11505,Na,,0.024
HD 12264,Na,,-0.063
HD 12387,Na,,0.077
HD 13724,Na,,0.038
HD 19467,Na,,0.052
HD 20619,Na,,-0.031
HD 20766,Na,,-0.032
HD 20782,Na,,-0.083
HD 20807,Na,,-0.027
HD 27063,Na,,-0.045
HD 28471,Na,,-0.010
HD 28821,Na,,-0.067
HD 31527,Na,,0.006
HD 38277,Na,,-0.070
HD 38858,Na,,-0.033
HD 45184,Na,,-0.031
HD 45289,Na,,-0.005
HD 59711,Na,,-0.023
HD 59967,Na,,-0.086
HD 66428,Na,,0.143
HD 67458,Na,,-0.072
HD 71334,Na,,-0.032
HD 75302,Na,,-0.079
HD 78429,Na,,-0.053
HD 88084,Na,,0.007
HD 89454,Na,,-0.050
HD 92719,Na,,-0.048
HD 95521,Na,,-0.043
HD 96116,Na,,-0.103
HD 96423,Na,,0.008
HD 102117,Na,,0.052
HD 102365,Na,,0.002
HD 104982,Na,,-0.009
HD 106116,Na,,0.037
HD 108309,Na,,0.016
HD 109271,Na,,-0.105
HD 111031,Na,,0.101
HD 114853,Na,,-0.076
HD 115674,Na,,-0.045
HD 117105,Na,,-0.028
HD 117207,Na,,0.054
HD 126525,Na,,0.020
HD 134606,Na,,0.116
HD 134664,Na,,-0.061
HD 134987,Na,,0.141
HD 145927,Na,,0.014
HD 146233,Na,,-0.028
HD 160691,Na,,0.117
HD 177409,Na,,-0.058
HD 183658,Na,,0.024
HD 186408,Na,,0.009
HD 186427,Na,,0.014
HD 189567,Na,,-0.029
HD 189625,Na,,0.002
HD 190647,Na,,0.050
HD 196390,Na,,-0.096
HD 198075,Na,,-0.039
HD 200633,Na,,-0.020
HD 202628,Na,,-0.080
HD 204313,Na,,0.096
HD 208704,Na,,-0.055
HD 210918,Na,,-0.051
HD 211415,Na,,0.001
HD 220507,Na,,0.040
HD 222582,Na,,0.018
HD 361,Mg,,-0.014
HD 1461,Mg,,0.007
HD 2071,Mg,,0.001
HD 4915,Mg,,0.048
HD 6204,Mg,,-0.062
HD 7134,Mg,,0.037
HD 8406,Mg,,0.000
HD 11505,Mg,,0.182
HD 12264,Mg,,-0.038
HD 12387,Mg,,0.191
HD 13724,Mg,,-0.001
HD 19467,Mg,,0.168
HD 20619,Mg,,0.027
HD 20766,Mg,,0.073
HD 20782,Mg,,0.008
HD 20807,Mg,,0.055
HD 27063,Mg,,-0.017
HD 28471,Mg,,0.034
HD 28821,Mg,,0.085
HD 31527,Mg,,0.024
HD 38277,Mg,,0.010
HD 38858,Mg,,0.022
HD 45184,Mg,,-0.007
HD 45289,Mg,,0.098
HD 59711,Mg,,0.018
HD 59967,Mg,,-0.061
HD 66428,Mg,,0.033
HD 67458,Mg,,0.017
HD 71334,Mg,,0.036
HD 75302,Mg,,-0.029
HD 78429,Mg,,0.020
HD 88084,Mg,,0.027
HD 89454,Mg,,-0.030
HD 92719,Mg,,0.003
HD 95521,Mg,,0.014
HD 96116,Mg,,-0.039
HD 96423,Mg,,0.022
HD 102117,Mg,,0.035
HD 102365,Mg,,0.153
HD 104982,Mg,,0.061
