Name,RA_hms,DEC_dms,Simbad_Identifier
HD 361,00:08:16.3616,-14:49:28.168,HD    361
HD 1461,00:18:41.8676,-08:03:10.803,HD   1461
HD 2071,00:24:42.5482,-53:59:02.393,HD   2071
HD 4915,00:51:10.8478,-05:02:21.401,HD   4915
HD 6204,01:02:57.4203,-09:51:40.459,HD   6204
HD 7134,01:11:32.0804,-12:50:35.095,HD   7134
HD 8406,01:23:00.8737,-16:29:14.860,HD   8406
HD 11505,01:53:06.1988,-01:19:36.989,HD  11505
HD 12264,02:00:05.3379,-13:32:46.000,HD  12264
HD 12387,02:00:32.1252,-40:43:52.490,HD  12387
HD 13724,02:12:20.6772,-46:48:58.954,HD  13724
HD 19467,03:07:18.5750,-13:45:42.417,HD  19467
HD 20619,03:19:01.8943,-02:50:35.493,HD  20619
HD 20766,03:17:46.1634,-62:34:31.152,* zet01 Ret
HD 20782,03:20:03.5777,-28:51:14.660,HD  20782
HD 20807,03:18:12.8188,-62:30:22.904,* zet02 Ret
HD 27063,04:16:30.2412,-00:34:22.092,HD  27063
HD 28471,04:25:09.1505,-64:04:48.251,HD  28471
HD 28821,04:32:21.4722,-05:02:20.418,HD  28821
HD 31527,04:55:38.3826,-23:14:30.761,HD  31527
HD 38277,05:44:17.5968,-10:01:00.233,HD  38277
HD 38858,05:48:34.9402,-04:05:40.721,HD  38858
HD 45184,06:24:43.8795,-28:46:48.415,HD  45184
HD 45289,06:24:24.3502,-42:50:51.065,HD  45289
HD 59711,07:30:40.0131,-15:59:40.506,HD  59711
HD 59967,07:30:42.5117,-37:20:21.706,HD  59967
HD 66428,08:03:28.6676,-01:09:45.758,HD  66428
HD 67458,08:07:00.5223,-29:24:10.577,HD  67458
HD 71334,08:25:49.5155,-29:55:50.133,HD  71334
HD 75302,08:49:12.5288,+03:29:05.117,HD  75302
HD 78429,09:06:38.8310,-43:29:31.119,HD  78429
HD 88084,10:09:08.2459,-15:29:40.194,HD  88084
HD 89454,10:19:16.2817,-11:22:42.644,HD  89454
HD 92719,10:42:13.3208,-13:47:15.771,HD  92719
HD 95521,11:00:50.2624,-49:01:11.414,HD  95521
HD 96116,11:04:13.6519,-57:45:54.477,HD  96116
HD 96423,11:06:19.7446,-44:22:23.941,HD  96423
HD 102117,11:44:50.4608,-58:42:13.357,HD 102117
HD 102365,11:46:31.0725,-40:30:01.285,HD 102365
HD 104982,12:05:13.4085,-28:43:02.029,HD 104982
HD 106116,12:12:28.8425,-03:05:04.109,HD 106116
HD 108309,12:26:48.1417,-48:54:47.499,HD 108309
HD 109271,12:33:35.5545,-11:37:18.728,HD 109271
HD 111031,12:46:30.8420,-11:48:44.790,HD 111031
HD 114853,13:13:52.2256,-45:11:08.884,HD 114853
HD 115674,13:23:00.0726,-81:18:36.411,HD 115674
HD 117105,13:28:30.5527,-27:23:30.646,HD 117105
HD 117207,13:29:21.1129,-35:34:15.587,HD 117207
HD 126525,14:27:32.9719,-51:55:59.106,HD 126525
HD 134606,15:15:15.0446,-70:31:10.644,HD 134606
HD 134664,15:12:10.3537,-30:53:10.652,HD 134664
HD 134987,15:13:28.6669,-25:18:33.653,*  23 Lib
HD 145927,16:16:06.4203,-52:48:52.367,HD 145927
HD 146233,16:15:37.2702,-08:22:09.982,*  18 Sco
HD 160691,17:44:08.7031,-51:50:02.591,* mu. Ara
HD 177409,19:09:54.5555,-68:17:58.887,HD 177409
HD 183658,19:30:52.7192,-06:30:51.925,HD 183658
HD 186408,19:41:48.9534,+50:31:30.219,*  16 Cyg A
HD 186427,19:41:51.9726,+50:31:03.089,*  16 Cyg B
HD 189567,20:05:32.7654,-67:19:15.226,HD 189567
HD 189625,20:01:32.8001,-16:52:08.392,HD 189625
HD 190647,20:07:19.6699,-35:32:19.077,HD 190647
HD 196390,20:39:02.5204,-49:19:53.123,HD 196390
HD 198075,20:48:15.1894,-12:27:15.484,HD 198075
HD 200633,21:04:44.1476,-04:49:44.026,HD 200633
HD 202628,21:18:27.2696,-43:20:04.743,HD 202628
HD 204313,21:28:12.2060,-21:43:34.518,HD 204313
HD 208704,21:58:24.3257,-12:39:52.770,HD 208704
HD 210918,22:14:38.6528,-41:22:53.994,HD 210918
HD 211415,22:18:15.6133,-53:37:37.466,HD 211415
HD 220507,23:24:42.1153,-52:42:06.759,HD 220507
HD 222582,23:41:51.5300,-05:59:08.729,HD 222582
