Name      , RAh, RAm, RAs , DE-, DEd, DEm, DEs   , Bmag  , Vmag    , SpType  , Inst    , Inst2
BD-21 3420,  11,  55, 28.5, -22,  23,  13, 10.67 , 10.15 , F5      , VLT/UVES,         ,
CD-33 3337,  06,  54, 47.8, -33,  44,  49,  9.56 ,  9.03 , F5      , VLT/UVES,         ,
CD-43 6810,  11,  08, 40.1, -44,  15,  34, 10.38 ,  9.82 , F8      , VLT/UVES,         ,
CD-45 3283,  07,  34, 18.6, -45,  16,  43, 11.08 , 10.43 , G8V-VI  , VLT/UVES,         ,
CD-51 4628,  10,  17, 14.9, -52,  29,  19, 10.46 , 10.03 , sdF5    , VLT/UVES,         ,
CD-57 1633,  07,  06, 29.0, -57,  27,  29, 10.04 ,  9.54 , F8      , VLT/UVES,         ,
CD-61 0282,  01,  36, 05.8, -61,  05,  03, 10.63 , 10.10 , G0      , VLT/UVES,         ,
G05-19    ,  03,  11, 26.5, +12,  37,  10, 11.77 , 11.12 , G:      , VLT/UVES,         ,
G05-36    ,  03,  26, 59.8, +23,  46,  36, 11.36 , 10.83 , F5      , NOT/FIES,         ,
G05-40    ,  03,  27, 39.4, +21,  02,  35, 11.36 , 10.79 , G0      , VLT/UVES,         ,
G18-28    ,  22,  05, 40.7, +12,  22,  36, 10.19 ,  9.55 , G3      , VLT/UVES,         ,
G18-39    ,  22,  18, 36.5, +08,  26,  45, 10.84 , 10.38 , G0      , VLT/UVES,         ,
G20-15    ,  17,  47, 28.0, -08,  46,  48, 11.18 , 10.59 , F8      , VLT/UVES,         ,
G46-31    ,  09,  17, 04.0, +03,  01,  30, 11.39 , 10.86 ,         , VLT/UVES,         ,
G63-26    ,  13,  24, 30.6, +20,  27,  22, 12.62 , 12.18 , sd:F    , VLT/UVES,         ,
G66-22    ,  14,  43, 18.0, +05,  49,  40, 11.18 , 10.47 , G6V     , VLT/UVES,         ,
G82-05    ,  04,  14, 58.1, -05,  37,  49, 11.27 , 10.60 , G::     , VLT/UVES,         ,
G112-43   ,  07,  43, 44.0, -00,  04,  01, 10.65 , 10.20 , sd:F    , VLT/UVES,         ,
G112-44   ,  07,  43, 44.1, -00,  03,  49, 11.74 , 11.25 , sd:F    , VLT/UVES,         ,
G114-42   ,  09,  10, 44.9, -03,  48,  09, 13.28 , 12.74 , G:      , VLT/UVES,         ,
G121-12   ,  11,  44, 35.7, +25,  32,  12, 10.82 , 10.35 , F6      , VLT/UVES,         ,
G188-22   ,  21,  43, 57.1, +27,  23,  24, 10.52 , 10.15 , F8      , VLT/UVES,         ,
G159-50   ,  02,  14, 40.3, -01,  12,  05,  9.631,  9.066, G1V     , VLT/UVES,         ,
G15-23    ,  15,  29, 31.7, +06,  08,  50, 11.67 , 10.96 , K:...   , NOT/FIES,         ,
G21-22    ,  18,  39, 09.7, +00,  07,  14, 11.28 , 10.77 , G4      , NOT/FIES,         ,
G24-13    ,  20,  20, 24.6, +06,  01,  53, 10.75 , 10.08 , G4      , NOT/FIES,         ,
G31-55    ,  00,  29, 26.7, -02,  20,  57, 11.15 , 10.60 , G:      , NOT/FIES,         ,
G49-19    ,  09,  38, 50.6, +28,  24,  09, 11.19 , 10.58 , G5      , NOT/FIES,         ,
G53-41    ,  10,  27, 24.2, +01,  24,  00, 11.55 , 11.09 , sd:F8   , NOT/FIES,         ,
G56-30    ,  11,  21, 35.1, +18,  11,  45, 11.50 , 10.98 , G0      , NOT/FIES,         ,
G56-36    ,  11,  23, 16.2, +19,  53,  38, 10.51 , 10.02 , G0      , NOT/FIES,         ,
G57-07    ,  11,  32, 34.1, +10,  54,  11, 10.73 , 10.13 , G0V     , NOT/FIES,         ,
G74-32    ,  02,  34, 13.2, +33,  00,  05, 11.13 , 10.53 , G0      , NOT/FIES,         ,
G75-31    ,  02,  38, 21.5, +02,  26,  44, 10.99 , 10.53 , F8      , NOT/FIES,         ,
G81-02    ,  04,  03, 55.3, +39,  44,  19, 11.27 , 10.71 , F8      , NOT/FIES,         ,
G85-13    ,  04,  44, 42.1, +25,  56,  10, 10.78 , 10.15 , G0      , NOT/FIES,         ,
G87-13    ,  06,  54, 56.3, +35,  30,  59, 11.55 , 11.07 , sd:F2   , NOT/FIES,         ,
G96-20    ,  05,  05, 28.7, +40,  15,  26, 10.08 ,  9.66 , F8      , NOT/FIES,         ,
