Star,Teff,logg,[Fe/H]1D,Vturb,
BD-21 3420,5909,4.30,-1.14,1.12,
CD-33 3337,6112,3.86,-1.37,1.56,
CD-43 6810,6059,4.32,-0.44,1.24,
CD-45 3283,5685,4.61,-0.93,0.95,
CD-51 4628,6296,4.29,-1.32,1.31,
CD-57 1633,5981,4.29,-0.91,1.08,
CD-61 0282,5869,4.34,-1.25,1.19,
G05-19,5970,4.28,-1.19,1.17,
G05-36,6139,4.22,-1.25,1.29,
G05-40,5892,4.20,-0.83,1.12,
G15-23,5373,4.63,-1.12,0.90,
G18-28,5443,4.49,-0.85,0.88,
G18-39,6112,4.23,-1.41,1.44,
G20-15,6162,4.32,-1.50,1.50,
G21-22,6021,4.27,-1.10,1.30,
G24-13,5764,4.38,-0.73,0.86,
G31-55,5731,4.35,-1.12,1.26,
G46-31,6017,4.29,-0.83,1.30,
G49-19,5863,4.32,-0.55,1.12,
G53-41,5956,4.34,-1.21,1.35,
G56-30,5935,4.29,-0.90,1.22,
G56-36,6067,4.33,-0.94,1.33,
G57-07,5755,4.33,-0.48,0.99,
G63-26,6175,4.17,-1.58,1.65,
G66-22,5297,4.46,-0.88,0.78,
G74-32,5864,4.41,-0.74,1.04,
G75-31,6135,4.02,-1.04,1.28,
G81-02,5967,4.24,-0.69,1.21,
G82-05,5338,4.51,-0.78,0.80,
G85-13,5709,4.46,-0.60,0.87,
G87-13,6217,4.11,-1.10,1.42,
G96-20,6445,4.46,-0.90,1.42,
G98-53,5954,4.26,-0.89,1.20,
G99-21,5559,4.46,-0.68,0.79,
G112-43,6209,4.02,-1.27,1.17,
G112-44,5936,4.28,-1.31,1.10,
G114-42,5721,4.40,-1.12,1.19,
G119-64,6333,4.14,-1.50,1.40,
G121-12,6041,4.25,-0.94,1.26,
G127-26,5886,4.20,-0.53,1.11,
G150-40,6080,4.11,-0.82,1.31,
G159-50,5713,4.44,-0.94,1.03,
G161-73,6108,3.99,-1.01,1.26,
G170-56,6112,4.11,-0.94,1.39,
G176-53,5615,4.52,-1.36,0.90,
G180-24,6137,4.20,-1.41,1.45,
G187-18,5691,4.46,-0.68,1.05,
G188-22,6116,4.20,-1.33,1.42,
HD3567,6180,4.01,-1.17,1.40,
HD17820,5873,4.28,-0.68,1.27,
HD22879,5859,4.29,-0.86,1.20,
HD25704,5974,4.30,-0.86,1.33,
HD51754,5857,4.35,-0.58,1.30,
HD59392,6137,3.88,-1.62,1.73,
HD76932,5977,4.17,-0.87,1.30,
HD97320,6136,4.20,-1.18,1.46,
HD103723,6050,4.20,-0.81,1.11,
HD105004,5852,4.35,-0.83,1.09,
HD106516,6327,4.43,-0.69,1.18,
HD111980,5878,3.98,-1.09,1.39,
HD113679,5761,4.05,-0.66,1.37,
HD114762A,5956,4.24,-0.72,1.37,
HD120559,5486,4.58,-0.91,1.05,
HD121004,5755,4.43,-0.71,1.16,
HD126681,5594,4.50,-1.20,1.08,
HD132475,5750,3.77,-1.51,1.37,
HD148816,5923,4.17,-0.74,1.33,
HD159482,5829,4.37,-0.74,1.21,
HD160693,5809,4.35,-0.48,1.02,
HD163810,5592,4.61,-1.22,1.17,
HD175179,5804,4.40,-0.66,1.08,
HD179626,5925,4.14,-1.06,1.49,
HD189558,5707,3.83,-1.14,1.29,
HD193901,5729,4.43,-1.11,1.31,
HD194598,6018,4.34,-1.11,1.40,
HD199289,5915,4.30,-1.05,1.21,
HD205650,5793,4.35,-1.19,1.17,
HD219617,5983,4.28,-1.46,1.42,
HD222766,5423,4.38,-0.70,0.75,
HD230409,5386,4.61,-0.87,1.01,
HD233511,6125,4.21,-1.58,1.20,
HD237822,5675,4.41,-0.47,0.99,
HD241253,5940,4.34,-1.11,1.17,
HD250792A,5572,4.50,-1.03,0.98,
HD284248,6271,4.21,-1.59,1.51,
