Name,Species,N,l_logepsX,logepsX,e_logepsX,l_[X/Fe],[X/Fe]
Boo-1137,C-H,syn,,4.98,0.20,,0.25
Boo-1137,N-H,syn,,5.22,0.30,,1.10
Boo-1137,O I,1,<,6.94,,<,1.94
Boo-1137,Na I,2,,2.45,0.05,,-0.06
Boo-1137,Mg I,8,,4.34,0.10,,0.47
Boo-1137,Al I,2,,2.10,0.11,,-0.61
Boo-1137,Si I,1,,4.62,,,0.77
Boo-1137,Ca I,9,,3.17,0.08,,0.52
Boo-1137,Sc II,3,,-0.77,0.12,,-0.16
Boo-1137,Ti I,5,,1.84,0.04,,0.60
Boo-1137,Ti II,19,,1.76,0.05,,0.52
Boo-1137,Cr I,6,,1.57,0.10,,-0.41
Boo-1137,Mn I,3,,1.17,0.02,,-0.56
Boo-1137,Fe I,81,,3.79,0.02,,
Boo-1137,Fe II,2,,3.73,0.08,,-0.06
Boo-1137,Co I,4,,1.51,0.02,,0.25
Boo-1137,Ni I,4,,2.39,0.05,,-0.18
Boo-1137,Zn I,1,<,1.64,,<,0.70
Boo-1137,Sr II,2,,-2.16,0.02,,-1.42
Boo-1137,Ba II,3,,-2.08,0.08,,-0.59
Boo-1137,Eu II,1,<,-2.65,,<,0.49
