Name,Species,e_Teff,e_logg,e_[M/H],e_Vmic,e_[X/Fe]
Boo-1137,C-H,0.28,-0.08,0.00,0.00,0.29
Boo-1137,N-H,0.38,-0.08,0.00,0.00,0.39
Boo-1137,Na I,-0.02,0.00,0.00,-0.03,0.03
Boo-1137,Mg I,-0.10,0.01,0.00,0.00,0.10
Boo-1137,Al I,0.02,-0.01,0.00,-0.06,0.06
Boo-1137,Si I,0.00,-0.07,-0.02,-0.14,0.16
Boo-1137,Ca I,-0.10,0.00,0.00,-0.01,0.10
Boo-1137,Sc II,-0.08,0.10,0.01,-0.01,0.13
Boo-1137,Ti I,0.04,-0.01,-0.01,-0.01,0.04
Boo-1137,Ti II,-0.12,0.11,0.01,0.00,0.16
Boo-1137,Cr I,0.02,0.00,0.00,0.00,0.02
Boo-1137,Mn I,0.08,-0.01,-0.01,-0.01,0.08
Boo-1137,Fe I,0.11a,-0.02,0.00a,0.00,0.11
Boo-1137,Fe II,-0.20,0.10,0.00,-0.02,0.22
Boo-1137,Co I,0.06,0.00,0.00,-0.01,0.06
Boo-1137,Ni I,0.02,0.00,0.00,0.00,0.02
Boo-1137,Sr II,-0.06,0.10,0.01,-0.03,0.12
Boo-1137,Ba II,-0.06,0.10,0.01,-0.01,0.12
