ID,Name,Simbad_Identifier,Reference,System,RA_hms,DEC_dms,gmag,imag,(g-r)0,(r-z)0,K',Xpix,Ypix,Rad,Vel,Teff,logg,[Fe/H],[C/H],[C/Fe]
7,BooI-7,[NWG2010] BooI 7,Norris+2010c,Bootes I,13:59:35.53,+14:20:23.7,18.31,17.29,0.693,0.450,7.49,-7.4,-9.6,12.1,106,4800,1.6,-2.32,-2.82,-0.5
8,BooI-8,[NWG2010] BooI 8,Norris+2010c,Bootes I,13:59:38.62,+14:19:15.9,19.03,18.2,0.551,0.349,4.53,-6.6,-10.7,12.6,106,5090,2.3,-2.75,-2.15,0.6
9,BooI-9,[NWG2010] BooI 9,Norris+2010c,Bootes I,13:59:48.81,+14:19:42.9,17.92,16.75,0.803,0.538,6.62,-4.2,-10.3,11.1,112,4630,1.1,-2.67,-3.22,-0.55
33,BooI-33,[NWG2010] BooI 33,Gilmore+2013,Bootes I,14:00:11.73,+14:25:01.4,18.23,17.16,0.736,0.474,5.17,1.4,-5,5.2,107,4730,1.4,-2.29,-1.99,0.3
34,BooI-34,[NWG2010] BooI 34,Norris+2010c,Bootes I,14:00:21.11,+14:17:27.9,18.74,17.75,0.647,0.452,4.94,3.7,-12.5,13.1,111,4840,1.6,-3.1,-2.55,0.55
41,BooI-41,[NWG2010] BooI 41,Gilmore+2013,Bootes I,14:00:25.83,+14:26:07.6,18.38,17.37,0.697,0.475,8.13,4.8,-3.9,6.2,105,4750,1.6,-1.93,-2.58,-0.65
78,BooI-78,[NWG2010] BooI 78,Norris+2010c,Bootes I,14:00:14.73,+14:13:13.9,19.3,18.36,0.619,0.391,6.10,2.1,-16.8,16.9,105,4950,1.9,-2.46,-2.61,-0.15
94,BooI-94,[NWG2010] BooI 94,Gilmore+2013,Bootes I,14:00:31.51,+14:34:03.6,17.53,16.26,0.872,0.575,6.63,6.2,4.1,7.4,94,4570,0.8,-2.9,-3.35,-0.45
117,BooI-117,[NWG2010] BooI 117,Gilmore+2013,Bootes I,14:00:10.49,+14:31:45.5,18.19,17.13,0.746,0.492,8.78,1.1,1.8,2.1,96,4700,1.4,-2.25,-2.55,-0.3
121,BooI-121,[NWG2010] BooI 121,Norris+2010c,Bootes I,14:00:36.52,+14:39:27.3,17.92,16.72,0.811,0.525,7.62,7.4,9.5,12,112,4630,1.1,-2.37,-2.62,-0.25
127,BooI-127,[NWG2010] BooI 127,Gilmore+2013,Bootes I,14:00:14.57,+14:35:52.7,18.15,17,0.773,0.493,9.47,2.1,5.9,6.2,99,4670,1.4,-2.08,-2.33,-0.25
130,BooI-130,[NWG2010] BooI 130,Gilmore+2013,Bootes I,13:59:48.98,+14:30:06.2,18.21,17.15,0.707,0.475,6.60,-4.1,0.1,4.1,111,4750,1.4,-2.29,-2.69,-0.4
911,BooI-911,[NWG2010] BooI 911,Norris+2010c,Bootes I,14:00:01.08,+14:36:51.5,17.94,16.82,0.793,0.597,8.47,-1.2,6.9,7,94,4540,1.1,-1.98,-2.53,-0.55
980,BooI-980,[NWG2010] BooI 980,Norris+2010c,Bootes I,13:59:12.68,+13:42:55.8,18.51,17.6,0.610,0.437,4.14,-12.9,-47.1,48.8,106,4890,1.7,-3.09,-3.09,0
1069,BooI-1069,[NWG2010] BooI 1069,Norris+2010c,Bootes I,13:58:53.22,+14:06:57.8,19.05,18.23,0.553,0.371,5.57,-17.6,-23,29,113,5050,2.2,-2.51,-2.86,-0.35
7,Seg1-7,[NWG2010] Seg1 7,Norris+2010c,Segue 1,10:08:14.45,+16:05:01.2,18.05,17.3,0.596,0.354,1.86,16.9,0.1,16.9,194,4960,1.9,-3.5,-1.2,2.3
31,Seg1-31,[NWG2010] Seg1 31,Norris+2010c,Segue 1,10:07:42.72,+16:01:06.9,18.59,17.91,0.436,0.293,6.00,9.3,-3.8,10,211,5420,3.3,-1.9,-1.9,0
#42,Seg1-42,[NWG2010] Seg1 42,Norris+2010c,Segue 1,10:07:33.00,+15:58:34.6,18.73,18.08,0.441,0.204,7.71,7,-6.3,9.4,195,5570,3.7,-1.5,,
71,Seg1-71,[NWG2010] Seg1 71,Norris+2010c,Segue 1,10:07:02.46,+15:50:55.3,18.46,17.72,0.527,0.282,6.77,-0.4,-14,14,212,5200,2.6,-2.2,-2.4,-0.2
#98,Seg1-98,[NWG2010] Seg1 98,Norris+2010c,Segue 1,10:07:14.58,+16:01:54.5,18.84,18.07,0.528,0.284,0.65,2.5,-3,3.9,199,5150,2.4,,,

