ID,Name,Simbad_Identifier,RA_hms,DEC_dms,gmag,imag,Xpix,Ypix,Rad,Vel,System
2,BooI-2,[NWG2010] BooI 2,13:59:02.33,+14:30:23.2,18.33,17.34,-15.4,0.4,15.4,123,Bootes I
7,BooI-7,[NWG2010] BooI 7,13:59:35.53,+14:20:23.7,18.31,17.29,-7.4,-9.6,12.1,106,Bootes I
8,BooI-8,[NWG2010] BooI 8,13:59:38.62,+14:19:15.9,19.03,18.20,-6.6,-10.7,12.6,106,Bootes I
9,BooI-9,[NWG2010] BooI 9,13:59:48.81,+14:19:42.9,17.92,16.75,-4.2,-10.3,11.1,112,Bootes I
23,BooI-23,[NWG2010] BooI 23,14:00:01.54,+14:21:54.2,19.89,19.06,-1.1,-8.1,8.2,105,Bootes I
32,BooI-32,[NWG2010] BooI 32,14:00:07.06,+14:20:27.0,20.08,19.28,0.3,-9.6,9.6,105,Bootes I
33,BooI-33,[NWG2010] BooI 33,14:00:11.73,+14:25:01.4,18.23,17.16,1.4,-5.0,5.2,107,Bootes I
34,BooI-34,[NWG2010] BooI 34,14:00:21.11,+14:17:27.9,18.74,17.75,3.7,-12.5,13.1,111,Bootes I
41,BooI-41,[NWG2010] BooI 41,14:00:25.83,+14:26:07.6,18.38,17.37,4.8,-3.9,6.2,105,Bootes I
63,BooI-63,[NWG2010] BooI 63,14:00:32.00,+14:43:02.5,18.22,17.13,6.3,13.0,14.5,97,Bootes I
71,BooI-71,[NWG2010] BooI 71,13:59:36.79,+14:11:40.8,19.59,18.84,-7.1,-18.3,19.6,91,Bootes I
76,BooI-76,[NWG2010] BooI 76,14:00:03.02,+14:12:36.0,20.08,19.23,-0.7,-17.4,17.4,95,Bootes I
78,BooI-78,[NWG2010] BooI 78,14:00:14.73,+14:13:13.9,19.30,18.36,2.1,-16.8,16.9,105,Bootes I
94,BooI-94,[NWG2010] BooI 94,14:00:31.51,+14:34:03.6,17.53,16.26,6.2,4.1,7.4,94,Bootes I
105,BooI-105,[NWG2010] BooI 105,14:00:12.92,+14:33:11.8,19.54,18.72,1.7,3.2,3.6,98,Bootes I
117,BooI-117,[NWG2010] BooI 117,14:00:10.49,+14:31:45.5,18.19,17.13,1.1,1.8,2.1,96,Bootes I
121,BooI-121,[NWG2010] BooI 121,14:00:36.52,+14:39:27.3,17.92,16.72,7.4,9.5,12.0,112,Bootes I
127,BooI-127,[NWG2010] BooI 127,14:00:14.57,+14:35:52.7,18.15,17.00,2.1,5.9,6.2,99,Bootes I
130,BooI-130,[NWG2010] BooI 130,13:59:48.98,+14:30:06.2,18.21,17.15,-4.1,0.1,4.1,111,Bootes I
161,BooI-161,[NWG2010] BooI 161,13:59:39.37,+14:26:38.4,20.38,19.67,-6.4,-3.4,7.3,127,Bootes I
162,BooI-162,[NWG2010] BooI 162,13:59:46.34,+14:25:11.8,20.36,19.66,-4.8,-4.8,6.8,91,Bootes I
229,BooI-229,[NWG2010] BooI 229,13:59:29.95,+14:14:56.7,20.57,19.83,-8.7,-15.1,17.4,126,Bootes I
244,BooI-244,[NWG2010] BooI 244,13:59:09.10,+14:33:11.3,20.69,19.93,-13.8,3.2,14.1,113,Bootes I
