Name,[Fe/H],l_O,O,l_Na,Na,Mg,l_Al,Al,Si,Ca,Sc,TiI,TiII,V,Cr,Mn,FeII,Co,Ni,Cu,Ba,La,Nd,Eu,e_[Fe/H],e_O,e_Na,e_Mg,e_Al,e_Si,e_Ca,e_Sc,e_TiI,e_TiII,e_V,e_Cr,e_Mn,e_FeII,e_Co,e_Ni,e_Cu,e_Ba,e_La,e_Nd,e_Eu,o_[Fe/H],o_O,o_Na,o_Mg,o_Al,o_Si,o_Ca,o_Sc,o_TiI,o_TiII,o_V,o_Cr,o_Mn,o_FeII,o_Co,o_Ni,o_Cu,o_Ba,o_La,o_Nd,o_Eu
CC06122,-1.43,,0.32,,-0.2,0.31,<,0.36,0.21,0.09,0.17,0.15,0.34,-0.07,-0.01,-0.32,0.09,-0.03,-0.08,-0.63,0.44,0.49,,,0.14,0.21,0.19,0.18,0.2,0.22,0.04,0.18,0.1,0.13,0.16,0.1,0.07,0.17,0.19,0.09,0.19,0.14,0.13,,,74,1,1,2,1,1,19,5,8,2,10,4,5,8,1,10,1,3,3,,
CC06486,-2.03,<,0.8,,0.19,0.17,<,1.28,,0.11,0.14,,,,-0.16,,0.42,,0.08,,-0.45,,,,0.16,0.29,0.28,0.12,0.28,,0.09,0.29,,,,0.13,,0.3,,0.11,,0.23,,,,42,1,1,2,1,,13,1,,,,3,,1,,5,,3,,,
CC06975,-1.84,<,0.81,<,-0.02,0.27,<,1.17,,0.14,0.39,,0.17,,-0.03,-0.13,0.55,,0.1,,0.39,,0.41,,0.14,0.25,0.24,0.05,0.24,,0.06,0.4,,0.18,,0.09,0.23,0.34,,0.15,,0.12,,0.24,,53,1,1,2,1,,14,2,,2,,2,1,2,,5,,3,,1,
CC07452,-1.29,,,,-0.69,-0.38,<,0.06,,-0.32,-0.9,-0.32,-0.15,-0.69,-0.13,-0.33,0.24,,-0.43,,-0.74,,,,0.13,,0.19,0.2,0.2,,0.06,0.21,0.15,0.16,0.22,0.09,0.08,0.17,,0.08,,0.11,,,,82,,1,2,1,,19,1,5,4,5,4,5,12,,7,,3,,,
CC07889,-2.29,<,1.23,<,0.77,0.82,<,1.72,,0.16,0.12,,0.33,,-0.42,,0.65,,0.43,,-0.79,,,,0.13,0.23,0.23,0.23,0.23,,0.09,0.24,,0.24,,0.16,,0.35,,0.23,,0.12,,,,27,1,1,1,1,,8,1,,1,,2,,2,,1,,2,,,
CC08447,-1.48,,,,-0.21,0.28,,,0.1,0.08,0.01,0.13,0.55,0.02,-0.07,-0.29,0.32,,-0.27,-0.48,0.11,,,,0.13,,0.2,0.23,,0.22,0.04,0.16,0.1,0.13,0.16,0.1,0.14,0.19,,0.09,0.2,0.14,,,,72,,1,2,,1,18,6,4,3,7,4,4,9,,6,1,3,,,
CC08469,-1.34,,0.3,,-0.44,-0.02,<,0.31,0.42,0.01,-0.03,0.13,-0.01,-0.13,-0.25,-0.43,0.22,,-0.1,-0.56,0.15,0.24,,,0.14,0.26,0.24,0.07,0.24,0.16,0.04,0.13,0.09,0.25,0.14,0.17,0.11,0.19,,0.05,0.24,0.11,0.14,,,68,1,1,2,1,3,19,6,9,2,4,4,4,9,,8,1,3,2,,
CC08615,-1.73,,0.55,,-0.06,0.52,<,0.92,0.56,0.18,0.05,0.45,0.05,,-0.19,,0.38,,0.14,,0.26,0.64,,,0.11,0.24,0.23,0.24,0.23,0.24,0.05,0.24,0.25,0.25,,0.04,,0.16,,0.15,,0.33,0.24,,,56,1,1,2,1,1,18,2,2,3,,3,,5,,6,,3,1,,
CC08695,-1.29,,0.21,,-0.14,0.12,,,0.14,0.05,-0.08,0.08,0.32,-0.19,-0.37,-0.59,0.21,-0.27,-0.24,-0.78,0.22,0.25,0.1,0.55,0.14,0.23,0.2,0.14,,0.22,0.06,0.14,0.11,0.21,0.16,0.13,0.09,0.18,0.21,0.09,0.21,0.09,0.22,0.2,0.22,71,1,1,2,,1,18,5,8,3,8,4,6,9,1,8,1,3,1,1,1
CC08788,-1.48,,,,-0.13,0.26,<,0.69,0.06,0.14,0.36,0.38,0.05,0.39,-0.19,0.01,0.33,,0.01,,0.04,,,0.8,0.13,,0.24,0.14,0.23,0.24,0.07,0.21,0.34,0.1,0.29,0.07,0.11,0.17,,0.13,,0.13,,,0.25,52,,1,2,1,1,15,4,2,2,3,3,2,7,,8,,2,,,1
CC09000,-1.82,,,<,-0.48,-0.23,<,0.6,,-0.22,-0.25,-0.08,0.46,-0.18,-0.19,-0.44,0.42,,-0.25,,0.28,0.48,0.53,0.84,0.13,,0.18,0.16,0.18,,0.04,0.16,0.09,0.21,0.33,0.09,0.06,0.15,,0.06,,0.1,0.19,0.17,0.2,68,,1,2,1,,16,3,3,2,2,4,3,9,,9,,3,1,1,1
CC09179,-1.78,<,0.57,<,-0.26,0.03,<,0.81,0.84,-0.14,-0.22,,-0.08,0.29,-0.13,,0.31,,-0.28,,0.41,,,0.95,0.15,0.25,0.23,0.38,0.23,0.24,0.08,0.17,,0.12,0.22,0.12,,0.16,,0.1,,0.16,,,0.25,59,1,1,2,1,1,14,2,,2,1,3,,7,,3,,3,,,1
CC09225,-1.57,,0.48,,-0.34,0.36,<,0.51,0.08,0.08,0.05,0.23,0.51,-0.05,-0.26,-0.32,0.16,0.08,0.0,,0.3,0.73,0.21,,0.13,0.21,0.19,0.07,0.19,0.21,0.07,0.13,0.14,0.18,0.2,0.1,0.09,0.17,0.19,0.07,,0.13,0.2,0.2,,69,1,1,2,1,1,20,6,2,3,6,4,3,8,1,8,,3,1,1,
CC09226,-1.56,,0.45,,-0.22,0.18,<,0.62,0.34,0.11,0.1,,0.24,0.58,-0.06,-0.17,0.15,,-0.09,,0.45,1.15,,,0.13,0.27,0.26,0.15,0.26,0.29,0.06,0.16,,0.18,0.19,0.13,0.25,0.17,,0.07,,0.21,0.26,,,65,1,1,2,1,2,15,4,,3,2,4,1,6,,7,,3,1,,
CC09430,-2.13,<,0.79,<,0.07,0.75,<,1.26,,0.14,0.38,,0.37,,-0.28,0.44,0.37,,-0.03,,-0.13,,,,0.15,0.22,0.21,0.22,0.21,,0.09,0.12,,0.21,,0.07,0.09,0.24,,0.07,,0.12,,,,46,1,1,2,1,,13,4,,3,,3,2,3,,4,,2,,,
CC09507,-1.72,<,0.58,<,-0.27,-0.12,<,0.92,,-0.11,-0.08,,-0.14,0.51,0.17,0.24,0.2,,-0.27,,0.51,0.72,0.31,,0.12,0.25,0.23,0.07,0.24,,0.06,0.19,,0.24,0.23,0.13,0.23,0.16,,0.1,,0.13,0.24,0.24,,58,1,1,2,1,,15,5,,1,1,3,1,4,,6,,2,1,1,
CC09633,-2.5,<,1.14,<,0.53,0.15,<,1.72,,0.11,0.45,,0.09,,-0.26,0.21,0.48,,-0.08,,-1.0,,,,0.15,0.25,0.24,0.24,0.25,,0.09,0.16,,0.16,,0.04,0.24,0.14,,0.23,,0.24,,,,34,1,1,1,1,,10,2,,2,,3,1,2,,1,,1,,,
CC09869,-1.26,,,,-0.19,0.19,<,0.3,0.13,0.06,0.14,0.05,0.29,-0.28,0.04,-0.34,0.09,,-0.12,,0.13,0.41,,,0.15,,0.22,0.04,0.23,0.14,0.06,0.14,0.1,0.23,0.16,0.13,0.07,0.18,,0.08,,0.17,0.13,,,66,,1,2,1,2,18,5,3,4,5,4,4,6,,9,,3,2,,
CC09929,-1.5,,0.76,,-0.39,0.16,<,0.69,0.21,0.24,0.2,,0.21,0.16,0.0,-0.32,0.29,,0.03,,0.4,0.73,,0.85,0.15,0.26,0.24,0.08,0.24,0.26,0.08,0.22,,0.17,0.11,0.1,0.16,0.19,,0.1,,0.14,0.12,,0.26,40,1,1,2,1,1,16,4,,3,2,4,4,3,,7,,2,3,,1
CC10038,-1.3,,0.54,,-0.29,0.24,<,0.46,0.33,-0.02,0.03,-0.03,0.35,-0.15,-0.02,-0.42,0.06,-0.04,-0.2,,0.1,,,,0.15,0.23,0.21,0.25,0.21,0.18,0.08,0.1,0.2,0.17,0.12,0.09,0.13,0.16,0.21,0.08,,0.17,,,,63,1,1,2,1,3,17,6,3,3,2,4,5,9,1,8,,3,,,
CC10194,-1.42,,0.17,,-0.31,0.15,<,0.42,0.18,0.01,-0.27,0.21,0.23,-0.25,0.0,-0.9,-0.01,,-0.25,,0.13,0.24,-0.31,,0.15,0.27,0.24,0.14,0.25,0.27,0.08,0.15,0.19,0.16,0.19,0.23,0.17,0.21,,0.12,,0.22,0.26,0.25,,53,1,1,2,1,1,16,4,5,2,5,4,3,5,,7,,3,1,1,
CC10318,-1.59,,0.65,<,-0.42,0.1,<,0.58,0.31,0.02,0.48,0.19,0.57,-0.31,-0.18,-0.36,0.27,0.15,-0.01,,0.28,0.49,0.33,,0.14,0.23,0.21,0.21,0.21,0.16,0.06,0.14,0.11,0.26,0.21,0.11,0.09,0.19,0.21,0.08,,0.35,0.22,0.21,,59,1,1,2,1,2,15,5,4,2,3,4,4,7,1,8,,3,1,1,
CC10414,-1.35,,0.57,,-0.76,0.1,,,0.29,0.12,0.0,0.08,0.04,-0.04,-0.22,-0.32,0.11,,-0.13,-0.32,-0.26,0.34,0.36,0.62,0.14,0.26,0.24,0.25,,0.14,0.07,0.18,0.09,0.12,0.34,0.18,0.15,0.17,,0.09,0.23,0.21,0.25,0.24,0.25,57,1,1,2,,2,18,4,3,3,3,4,5,8,,8,1,3,1,1,1
CC10686,-1.68,,0.56,,-0.21,0.3,<,0.52,0.24,0.07,0.13,0.1,0.32,-0.29,-0.19,-0.56,0.17,0.07,-0.06,-0.64,0.27,0.38,,0.44,0.13,0.21,0.19,0.19,0.19,0.21,0.03,0.14,0.09,0.16,0.15,0.08,0.11,0.16,0.19,0.06,0.19,0.12,0.15,,0.21,75,1,1,2,1,1,17,6,6,3,4,4,3,8,1,8,1,3,2,,1
CC10690,-1.96,<,0.64,<,-0.13,-0.42,<,1.05,,-0.24,-0.27,,0.3,,-0.39,,0.34,,-0.37,,-0.22,,,,0.14,0.21,0.2,0.19,0.2,,0.07,0.21,,0.3,,0.12,,0.15,,0.13,,0.11,,,,55,1,1,1,1,,14,1,,3,,3,,6,,3,,3,,,
CC10802,-1.27,,,,-0.5,-0.05,<,0.6,0.45,0.13,-0.09,0.63,0.31,-0.16,0.09,-0.3,0.42,0.42,-0.11,,0.19,,,,0.14,,0.24,0.43,0.24,0.25,0.13,0.13,0.36,0.25,0.11,0.2,0.22,0.2,0.23,0.17,,0.25,,,,48,,1,2,1,1,12,3,3,1,2,3,1,4,1,5,,3,,,
