Element,N,mu,sigma_dispersion,sigma_err,N_MW,mu_MW,sigma_MW
[C/Fe],7,0.16,0.33,0.20,57,0.33,0.3
[N/Fe],1,1.70,0.00,0.11,13,0.53,0.74
[O/Fe],3,1.00,0.13,0.18,14,0.69,0.17
[Na/Fe],7,0.27,0.45,0.11,63,0.28,0.31
[Mg/Fe],7,0.28,0.15,0.06,67,0.27,0.14
[Al/Fe],7,-0.27,0.20,0.17,44,-0.68,0.21
[Si/Fe],7,0.47,0.31,0.13,26,0.53,0.16
[Ca/Fe],7,0.25,0.09,0.06,69,0.28,0.11
[Sc/Fe],7,0.14,0.20,0.17,37,0.36,0.20
[Ti I/Fe],7,0.20,0.11,0.06,66,0.26,0.16
[Ti II/Fe],7,0.33,0.14,0.17,69,0.30,0.16
[Cr/Fe],7,-0.24,0.07,0.07,69,-0.35,0.15
[Mn/Fe],7,-0.39,0.26,0.20,70,-0.40,0.18
[Fe I/H],7,-2.86,0.24,0.09,69,-2.89,0.17
[Fe II/H],7,-2.83,0.20,0.09,68,-2.86,0.18
[Co/Fe],7,0.25,0.08,0.09,71,0.14,0.26
[Ni/Fe],7,-0.09,0.11,0.16,68,-0.04,0.16
[Zn/Fe],7,0.33,0.24,0.06,21,0.20,0.18
[Sr/Fe],7,-0.57,0.43,0.17,68,-0.43,0.60
[Y/Fe],6,-0.24,0.26,0.19,14,-0.37,0.21
[Zr/Fe],7,0.04,0.27,0.07,15,0.12,0.17
[Ba/Fe],7,-0.54,0.47,0.17,67,-0.62,0.50
[La/Fe],2,0.39,0.16,0.07,0,,
[Nd/Fe],2,0.58,0.21,0.07,0,,
[Sm/Fe],2,0.70,0.14,0.09,0,,
[Eu/Fe],2,0.91,0.16,0.07,15,0.31,0.41
[Dy/Fe],2,0.93,0.11,0.08,0,,
