source_id,ra,dec,[Eu II/Mg I],e_[Eu II/Mg I],[Eu II/Fe II],e_[Eu II/Fe II],[Sr II/Ba II],e_[Sr II/Ba II],[Sr II/Mg I],e_[Sr II/Mg I],[Eu II/Ba II],e_[Eu II/Ba II],[C/Fe],e_[C/Fe],[Na I/Fe],e_[Na I/Fe],[Mg I/Fe],e_[Mg I/Fe],[Al I/Fe],e_[Al I/Fe],[Si I/Fe],e_[Si I/Fe],[Ca I/Fe],e_[Ca I/Fe],[Sc II/Fe],e_[Sc II/Fe],[Ti II/Fe],e_[Ti II/Fe],[Cr I/Fe],e_[Cr I/Fe],[Cr II/Fe],e_[Cr II/Fe],[Mn I/Fe],e_[Mn I/Fe],[Co I/Fe],e_[Co I/Fe],[Ni I/Fe],e_[Ni I/Fe],[Zn I/Fe],e_[Zn I/Fe],[Sr II/Fe],e_[Sr II/Fe],[Y II/Fe],e_[Y II/Fe],[Zr II/Fe],e_[Zr II/Fe],[Ba II/Fe],e_[Ba II/Fe],[La II/Fe],e_[La II/Fe],[Eu II/Fe],e_[Eu II/Fe],[Dy II/Fe],e_[Dy II/Fe],[Fe/H],e_[Fe/H],[C/H],e_[C/H],[Na I/H],e_[Na I/H],[Mg I/H],e_[Mg I/H],[Al I/H],e_[Al I/H],[Si I/H],e_[Si I/H],[Ca I/H],e_[Ca I/H],[Sc II/H],e_[Sc II/H],[Ti II/H],e_[Ti II/H],[Cr I/H],e_[Cr I/H],[Cr II/H],e_[Cr II/H],[Mn I/H],e_[Mn I/H],[Co I/H],e_[Co I/H],[Ni I/H],e_[Ni I/H],[Zn I/H],e_[Zn I/H],[Sr II/H],e_[Sr II/H],[Y II/H],e_[Y II/H],[Zr II/H],e_[Zr II/H],[Ba II/H],e_[Ba II/H],[La II/H],e_[La II/H],[Eu II/H],e_[Eu II/H],[Dy II/H],e_[Dy II/H],teff,logg,mh,vt,etot_teff,etot_logg,etot_mh,etot_vt,UT-DATE,BINNING,EXPTIME,SLITSIZE
31707926776039680,2:53:00.07,13.12929,0.06,0.14,0.39,0.08,0.16,0.06,-0.24,0.1,0.45,0.11,-0.1,0.17,0.16,0.15,0.34,0.09,-0.62,0.11,0.45,0.06,0.36,0.06,0.05,0.05,0.36,0.06,-0.11,0.05,0.12,0.06,-0.41,0.1,0.11,0.09,-0.02,0.08,0.14,0.16,0.1,0.12,-0.18,0.05,0.22,0.06,-0.06,0.08,0.18,0.07,0.39,0.08,0.4,0.05,-1.96,0.18,-2.06,0.23,-1.8,0.12,-1.63,0.12,-2.58,0.14,-1.51,0.12,-1.61,0.12,-1.91,0.11,-1.6,0.09,-2.07,0.18,-1.84,0.1,-2.37,0.11,-1.85,0.17,-1.98,0.13,-1.82,0.08,-1.86,0.13,-2.14,0.08,-1.74,0.11,-2.02,0.13,-1.78,0.08,-1.57,0.09,-1.56,0.08,4896,1.89,-1.95,1.88,123,0.21,0.22,0.25,2021-11-08,2x2,2700,0.70x5.00
1187898485610541696,14:53:08.69,16.18447,0.52,0.2,0.72,0.1,-0.11,0.19,-0.03,0.17,0.44,0.14,-0.66,0.26,-0.04,0.1,0.25,0.13,,,0.38,0.17,0.38,0.05,0.34,0.14,0.39,0.1,0.02,0.14,0.37,0.03,-0.35,0.09,-0.36,0.18,-0.0,0.07,0.02,0.21,0.18,0.2,0.04,0.21,0.58,0.14,0.29,0.12,0.34,0.14,0.72,0.1,0.62,0.19,-1.19,0.18,-1.86,0.2,-1.23,0.12,-0.95,0.14,,,-0.81,0.06,-0.82,0.18,-0.81,0.2,-0.76,0.15,-1.17,0.31,-0.78,0.16,-1.54,0.16,-1.55,0.21,-1.2,0.16,-1.18,0.15,-0.97,0.11,-1.1,0.17,-0.56,0.11,-0.86,0.18,-0.81,0.11,-0.42,0.12,-0.53,0.08,4451,1.53,-1.21,1.75,122,0.21,0.21,0.23,2021-07-28,2x1,900,0.50x5.00
2472646349146818816,0:59:31.44,-10.9711,0.38,0.2,0.74,0.1,-0.12,0.13,-0.25,0.12,0.5,0.17,-0.56,0.24,-0.02,0.13,0.34,0.12,-0.66,0.12,0.41,0.18,0.38,0.06,0.33,0.1,0.48,0.08,-0.02,0.08,0.14,0.06,-0.41,0.08,0.02,0.21,-0.1,0.09,-0.02,0.22,0.12,0.13,-0.08,0.09,0.28,0.1,0.24,0.11,0.36,0.07,0.74,0.1,0.76,0.11,-1.55,0.21,-2.11,0.18,-1.57,0.1,-1.21,0.12,-2.21,0.25,-1.14,0.05,-1.17,0.17,-1.24,0.17,-1.09,0.14,-1.57,0.26,-1.43,0.14,-1.96,0.14,-1.53,0.23,-1.65,0.14,-1.57,0.1,-1.45,0.09,-1.65,0.12,-1.29,0.12,-1.33,0.18,-1.22,0.11,-0.83,0.11,-0.81,0.14,4593,1.51,-1.54,1.77,122,0.21,0.21,0.24,2021-11-08,2x2,1200,0.70x5.00
2504634406573540608,1:59:39.18,-2.71382,0.27,0.2,0.57,0.11,-0.08,0.16,-0.09,0.13,0.28,0.2,-0.31,0.22,-0.15,0.12,0.25,0.15,-0.86,0.2,0.34,0.18,0.36,0.06,0.26,0.09,0.48,0.07,-0.01,0.06,0.03,0.06,-0.28,0.12,-0.08,0.16,-0.02,0.09,-0.0,0.2,0.21,0.14,0.07,0.08,0.29,0.1,0.29,0.12,0.32,0.08,0.57,0.11,0.7,0.1,-1.24,0.21,-1.55,0.18,-1.39,0.14,-1.0,0.14,-2.11,0.17,-0.9,0.06,-0.88,0.16,-1.03,0.17,-0.81,0.15,-1.26,0.26,-1.26,0.13,-1.53,0.11,-1.32,0.18,-1.26,0.15,-1.25,0.12,-1.08,0.09,-1.22,0.14,-1.0,0.12,-1.0,0.2,-0.97,0.12,-0.72,0.12,-0.59,0.1,4814,2.15,-1.24,1.53,122,0.21,0.22,0.25,2021-07-28,2x1,360,0.50x5.00
2505065101598396416,1:56:29.62,-1.8461,0.29,0.19,0.62,0.09,-0.13,0.16,-0.24,0.16,0.41,0.14,-0.77,0.26,-0.04,0.11,0.28,0.12,-0.82,0.11,0.31,0.18,0.38,0.04,0.35,0.11,0.52,0.1,0.01,0.11,0.19,0.12,-0.35,0.1,-0.13,0.24,-0.08,0.07,-0.12,0.22,0.09,0.17,-0.04,0.13,0.23,0.11,0.21,0.12,0.27,0.09,0.62,0.09,0.54,0.13,-1.32,0.19,-2.08,0.19,-1.36,0.11,-1.03,0.14,-2.13,0.22,-1.0,0.06,-0.93,0.18,-1.01,0.17,-0.84,0.16,-1.3,0.3,-1.18,0.18,-1.67,0.12,-1.45,0.28,-1.4,0.15,-1.44,0.12,-1.28,0.13,-1.41,0.14,-1.14,0.08,-1.15,0.18,-1.09,0.1,-0.74,0.1,-0.83,0.05,4488,1.49,-1.34,1.71,122,0.2,0.21,0.23,2021-07-28,2x1,600,0.50x5.00
2538202737087917184,1:07:27.03,1.32423,0.38,0.19,0.5,0.1,-0.33,0.14,-0.12,0.15,0.18,0.17,-0.37,0.23,-0.08,0.12,0.04,0.14,-0.92,0.21,0.23,0.15,0.32,0.06,0.22,0.1,0.38,0.07,0.13,0.1,0.16,0.08,-0.21,0.09,-0.12,0.2,-0.05,0.07,-0.08,0.2,-0.0,0.13,-0.13,0.14,0.32,0.12,0.32,0.12,0.29,0.08,0.5,0.1,0.52,0.1,-0.88,0.2,-1.25,0.21,-0.96,0.09,-0.84,0.14,-1.8,0.29,-0.65,0.07,-0.57,0.16,-0.74,0.16,-0.57,0.15,-0.76,0.27,-0.8,0.16,-1.1,0.15,-1.01,0.18,-0.94,0.16,-0.96,0.14,-0.96,0.11,-1.08,0.18,-0.64,0.16,-0.64,0.18,-0.67,0.11,-0.46,0.11,-0.44,0.08,4931,2.49,-0.88,1.25,122,0.21,0.22,0.23,2021-07-28,2x1,1800,0.50x5.00
2543390232947773824,0:40:00.33,1.02684,0.28,0.19,0.59,0.09,0.07,0.13,-0.1,0.13,0.45,0.17,-0.22,0.2,-0.1,0.1,0.2,0.12,-0.81,0.11,0.41,0.14,0.36,0.05,0.25,0.08,0.45,0.06,-0.02,0.05,0.2,0.05,-0.29,0.11,-0.01,0.12,-0.04,0.07,0.01,0.18,0.21,0.11,-0.0,0.07,0.48,0.12,0.14,0.12,0.3,0.07,0.59,0.09,0.69,0.1,-1.28,0.2,-1.51,0.2,-1.38,0.14,-1.08,0.13,-2.1,0.23,-0.88,0.08,-0.92,0.16,-1.14,0.15,-0.95,0.13,-1.3,0.24,-1.2,0.12,-1.57,0.16,-1.3,0.18,-1.32,0.15,-1.28,0.11,-1.18,0.1,-1.4,0.14,-0.92,0.15,-1.25,0.19,-1.09,0.11,-0.81,0.11,-0.7,0.14,4977,2.31,-1.3,1.47,122,0.21,0.22,0.24,2021-07-28,2x1,1800,0.50x5.00
2558587476508131072,1:30:13.92,2.11878,0.44,0.2,0.48,0.1,-0.17,0.14,-0.07,0.14,0.34,0.16,-0.51,0.2,-0.17,0.1,0.26,0.13,-0.99,0.2,0.46,0.13,0.29,0.05,0.17,0.07,0.36,0.06,-0.12,0.04,0.01,0.06,-0.33,0.1,0.02,0.18,0.01,0.08,0.25,0.18,-0.03,0.14,-0.11,0.06,0.31,0.08,0.14,0.1,0.18,0.06,0.48,0.1,0.62,0.08,-1.31,0.2,-1.82,0.19,-1.48,0.14,-1.05,0.14,-2.3,0.0,-0.85,0.08,-1.02,0.16,-0.92,0.15,-0.73,0.13,-1.43,0.22,-1.09,0.12,-1.64,0.13,-1.29,0.21,-1.3,0.14,-1.06,0.11,-1.12,0.13,-1.21,0.13,-0.78,0.13,-0.95,0.18,-0.91,0.1,-0.61,0.1,-0.48,0.08,4935,2.36,-1.33,1.9,122,0.21,0.22,0.26,2021-07-28,2x1,2700,0.50x5.00
2566035087238555776,1:24:25.38,6.72773,-0.47,0.18,-0.05,0.08,0.46,0.22,-0.4,0.22,0.39,0.11,0.18,0.16,0.23,0.1,0.37,0.1,-0.96,0.14,0.78,0.05,0.34,0.06,0.06,0.05,0.37,0.06,-0.1,0.07,0.25,0.03,-0.52,0.07,0.16,0.06,-0.1,0.09,0.11,0.11,0.02,0.2,-0.37,0.07,-0.0,0.04,-0.44,0.05,,,-0.05,0.08,-0.09,0.09,-2.38,0.14,-2.19,0.27,-2.15,0.2,-2.01,0.11,-3.34,0.06,-1.6,0.1,-2.03,0.1,-2.38,0.09,-2.06,0.11,-2.47,0.15,-2.18,0.08,-2.89,0.08,-2.22,0.14,-2.48,0.12,-2.27,0.1,-2.41,0.22,-2.8,0.1,-2.43,0.09,-2.87,0.1,,,-2.48,0.12,-2.52,0.14,5103,2.27,-2.37,1.66,123,0.2,0.23,0.25,2021-11-08,2x2,4800,0.70x5.00
2632995998205049216,23:30:29.31,-5.39549,0.27,0.19,0.58,0.11,-0.22,0.15,-0.19,0.1,0.24,0.18,-0.6,0.25,-0.19,0.14,0.28,0.12,-0.91,0.2,0.43,0.19,0.31,0.06,0.15,0.08,0.35,0.09,-0.04,0.11,0.14,0.13,-0.42,0.1,-0.31,0.17,-0.16,0.09,-0.15,0.24,0.13,0.14,0.06,0.12,0.26,0.1,0.34,0.14,0.38,0.08,0.58,0.11,0.52,0.09,-1.59,0.22,-2.19,0.19,-1.78,0.1,-1.32,0.13,-2.5,0.14,-1.16,0.05,-1.28,0.18,-1.48,0.15,-1.29,0.14,-1.63,0.31,-1.5,0.17,-2.02,0.13,-1.9,0.23,-1.75,0.15,-1.74,0.11,-1.5,0.08,-1.58,0.15,-1.37,0.11,-1.29,0.2,-1.25,0.12,-1.05,0.1,-1.11,0.07,4431,1.18,-1.58,1.82,122,0.21,0.22,0.26,2021-11-08,2x2,2700,0.70x5.00
