Name,Teff,logg,log_L,[Fe/H],[N/Fe]_ul,[N/Fe],[C/Fe],[C/Fe]c,[C/Fe]f,[Sr/Fe]_ul,[Sr/Fe],[Ba/Fe]_ul,[Ba/Fe],I/O,Reference,Ref,MP_key,Ncap_key,C_key
BD+02:3375,5926,4.63,-0.24,-2.08,,,-0.04,0.0,-0.04,,,,,1,Lai+2007,LAI07,VMP,,
BD+03:740,6485,4.31,0.23,-2.7,0.29,,0.59,0.0,0.59,,,,-0.42,1,Yong+2013,YON13,VMP,,
BD+06:0648,4400,0.9,2.97,-2.09,,,-0.19,0.64,0.45,,,,,1,Aoki+2008,AOK08,VMP,,
BD+10:2495,4710,1.3,2.69,-2.31,,,-0.3,0.62,0.32,,,,,1,Roederer+2010,ROE10,VMP,,
BD+17:3248,5240,2.72,1.45,-2.17,,0.65,-0.37,0.01,-0.36,,,,0.69,0,Yong+2013,YON13,VMP,,
BD+23:3130,5262,2.76,1.42,-2.52,,-0.54,0.11,0.01,0.12,,,,-0.56,1,Yong+2013,YON13,VMP,,
BD+24:1676,6241,3.81,0.67,-2.46,0.21,,0.37,0.0,0.37,,-0.05,,-0.33,1,Lai+2008,LAI08,VMP,,
BD+44:493,5430,3.4,0.84,-3.8,,0.32,1.35,0.0,1.35,,,,-0.6,1,Ito+2013,ITO13,EMP,,NO
BD-01:2582,5148,2.86,1.28,-2.21,,,0.76,0.01,0.77,,,,1.5,0,Simmerer+2004,SIM04,VMP,RS,CE
BD-04:3208,6360,4.01,0.5,-2.27,,,0.15,0.0,0.15,,,,,1,Akerman+2004,AKE04,VMP,,
BD-18:0271,4245,0.7,3.11,-2.35,,,-0.64,0.77,0.13,,,,,1,Melendez+2002,MEL02,VMP,,
BD-18:5550,4558,0.81,3.12,-3.2,,-0.36,-0.02,0.77,0.75,,,,-0.74,1,Yong+2013,YON13,EMP,,NO
BS 16023-046,6571,4.25,0.32,-2.83,,,0.55,0.0,0.55,,-0.08,,,1,Yong+2013,YON13,VMP,,
BS 16033-008,5300,2.7,1.49,-2.84,,,0.61,0.01,0.62,,-0.31,,-1.2,1,Aoki+2005,AOK05,VMP,,
BS 16076-006,5566,3.32,0.96,-3.51,,,0.34,0.0,0.34,0.1,,-1.0,,1,Yong+2013,YON13,EMP,,
BS 16077-007,6486,4.31,0.23,-2.77,0.8,,0.6,0.0,0.6,,0.21,,-0.23,1,Yong+2013,YON13,VMP,,
BS 16080-054,4902,1.75,2.31,-2.94,,0.75,-0.45,0.18,-0.27,,0.38,,-0.21,1,Yong+2013,YON13,VMP,,
BS 16082-129,4868,1.67,2.38,-2.84,,,0.29,0.25,0.54,,-0.69,,-0.97,1,Yong+2013,YON13,VMP,,
BS 16083-172,5300,3.1,1.09,-2.53,,,0.34,0.01,0.35,,0.19,,-0.33,1,Aoki+2005,AOK05,VMP,,
BS 16084-160,4727,1.27,2.72,-3.2,,0.78,-0.12,0.6,0.48,,-2.07,,-2.06,1,Yong+2013,YON13,EMP,,
BS 16085-050,4882,1.93,2.12,-2.71,,,-0.84,0.06,-0.78,,-1.67,,-1.62,1,Yong+2013,YON13,VMP,,
BS 16089-013,4900,1.7,2.36,-2.82,,,-0.23,0.24,0.01,,0.21,,-0.09,1,Aoki+2005,AOK05,VMP,,
BS 16467-062,5310,2.8,1.4,-3.8,0.45,,0.4,0.01,0.41,,-1.67,-0.57,,1,Yong+2013,YON13,EMP,,
BS 16469-075,4919,1.78,2.28,-3.25,,,0.21,0.11,0.32,,0.27,,-1.12,1,Yong+2013,YON13,EMP,,
BS 16472-018,4946,2.08,1.99,-2.29,,,-0.29,0.01,-0.28,,0.19,,-0.14,1,Lai+2007,LAI07,VMP,,
BS 16477-003,4879,1.66,2.39,-3.39,-0.26,,0.29,0.21,0.5,,0.11,,-0.45,1,Yong+2013,YON13,EMP,,
BS 16543-092,4523,1.14,2.78,-2.19,,,-1.04,0.72,-0.32,,-0.36,,-0.63,1,Lai+2007,LAI07,VMP,,
BS 16543-097,5000,2.1,1.99,-2.52,,,0.29,0.02,0.31,,0.12,,-0.12,1,Aoki+2005,AOK05,VMP,,
BS 16547-006,6047,3.72,0.7,-2.21,,,0.73,0.0,0.73,,-0.44,,-0.52,1,Lai+2007,LAI07,VMP,,NO
BS 16550-087,4754,1.32,2.68,-3.54,,1.11,-0.49,0.56,0.07,,0.53,,-0.75,1,Yong+2013,YON13,EMP,,
