Ref,BibCode,Com
Akerman et al. (2004),2004A&A...414..931A,
Allen et al. (2012),2012A&A...548A..34A,Cat. J/A+A/548/A34
Aoki et al. (2002),2002PASJ...54..933A,
Aoki et al. (2005),2005ApJ...632..611A,
Aoki et al. (2006),2006ApJ...639..897A,
Aoki et al. (2007),2007ApJ...655..492A,Cat. J/ApJ/655/492
Aoki et al. (2008),2008ApJ...678.1351A,
Aoki et al. (2013),2013ApJ...766L..13A,"See also, J/AJ/145/13"
Barklem et al. (2005),2005A&A...439..129B,Cat. J/A+A/439/129
Caffau et al. (2011),2011Natur.477...67C,
Cohen et al. (2008),2008ApJ...672..320C,
Cohen et al. (2013),2013ApJ...778...56C,Cat. J/ApJ/778/56
Cui et al. (2013),2013A&A...558A..36C,
Goswami et al. (2006),2006MNRAS.372..343G,
Hansen et al. (2014),2014ApJ...787..162H,
Hollek et al. (2011),2011ApJ...742...54H,Cat. J/ApJ/742/54
Hollek et al. (2014),2015ApJ...814..121H,Cat. J/ApJ/814/121
Ito et al. (2013),2013ApJ...773...33I,Cat. J/ApJ/773/33
Jonsell et al. (2006),2006A&A...451..651J,
Lai et al. (2007),2007ApJ...667.1185L,
Lai et al. (2008),2008ApJ...681.1524L,Cat. J/ApJ/681/1524
Masseron et al. (2010),2010A&A...509A..93M,
Masseron et al. (2012),2012ApJ...751...14M,
McWilliam et al. (1995),1995AJ....109.2757M,
Melendez and Barbuy (2002),2002ApJ...575..474M,
Placco et al. (2013),2013ApJ...770..104P,
Placco et al. (2014a),2014ApJ...790...34P,
Preston and Sneden (2001),2001AJ....122.1545P,
Preston et al. (2006),2006AJ....132...85P,Cat. J/AJ/132/85
Roederer et al. (2008b),2008ApJ...675..723R,
Roederer et al. (2010),2010ApJ...711..573R,Cat. J/ApJ/711/573
Roederer et al. (2014),2014ApJ...784..158R,
Simmerer et al. (2004),2004ApJ...617.1091S,Cat. J/ApJ/617/1091
Sivarani et al. (2006),2006A&A...459..125S,
Sneden et al. (2003),2003ApJ...591..936S,
Spite et al. (2013),2013A&A...552A.107S,
Thompson et al. (2008),2008ApJ...677..556T,
Yong et al. (2013),2013ApJ...762...26Y,Cat. J/ApJ/762/26
Zhang et al. (2011),2011A&A...528A..92Z,Cat. J/A+A/528/A92
