Name
BPS BS 16928-053
BPS CS 22186-023
BPS CS 22948-104
BPS CS 22960-064
BPS CS 29506-007
BPS CS 30306-132
BPS CS 31078-018
HD 2796
HD 23798
HD 119516
HE 0017-4346
HE 0023-4825
HE 1116-0634
HE 1300+0157
HE 1317-0407
HE 1413-1954
HE 1424-0241
HE 2259-3407
HE 2318-1621
SDSS J102915.15+172927.9
SDSS J124502.68-073847.1
2MASS J12222802+3411318
2MASS J04194553-3651359
2MASS J21514574-3752308
2MASS J22240014-4235160
BPS CS29506-0007
2MASS J15141890+0727028
BPS CS31079-0028
HD 2796
HD 23798
HD 119516
HE 0017-4346
2MASS J00255030-4808270
TYC 4928-1438-1
HE 1300+0157
TYC 4961-1053-1
HE 1413-1954
HE 1424-0241
2MASS J23021574-3351110
HE 2318-1621
SDSS J102915.14+172927.9
SDSS J124502.68-073847.0
