Found,Query_ID,RA_input,DEC_input,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,BPS BS 16928-053,,,BPS BS 16928-0053,12 22 28.0240,+34 11 31.690,14,14,0.009,0.0105,90,A,O,2020yCat.1350....0G,,14.38,13.54,12.886,12.339,11.655,11.144,11.042,ChemPec*,,12 22 28.0240,+34 11 31.690,0.612,-3.623,0.103,-82.0,1
True,BPS CS 22186-023,,,BPS CS 22186-0023,04 19 45.5332,-36 51 35.980,14,14,0.0081,0.0097,90,A,O,2020yCat.1350....0G,,13.57,12.84,,11.925,11.35,10.905,10.816,RGB*,,04 19 45.5332,-36 51 35.980,8.53,-1.977,0.3091,51.9,1
True,BPS CS 22948-104,,,BPS CS 22948-0104,21 51 45.7604,-37 52 30.875,14,14,0.0139,0.0116,90,A,O,2020yCat.1350....0G,,14.55,13.96,13.519,13.108,12.498,12.123,12.012,ChemPec*,,21 51 45.7604,-37 52 30.875,-4.829,-7.22,0.4294,7.0,1
True,BPS CS 22960-064,,,BPS CS 22960-0064,22 24 00.1429,-42 35 16.026,14,14,0.0089,0.0104,90,A,O,2020yCat.1350....0G,14.44,14.4,13.94,,,12.517,12.129,12.026,ChemPec*,,22 24 00.1429,-42 35 16.026,11.168,-7.378,0.4417,-74.0,1
True,BPS CS 29506-007,,,BPS CS 29506-0007,21 20 28.6541,-20 46 22.955,14,14,0.02,0.0134,90,A,O,2020yCat.1350....0G,,,14.18,,,13.174,12.934,12.872,ChemPec*,,21 20 28.6541,-20 46 22.955,-7.892,-20.326,0.8495,46.0,1
True,BPS CS 30306-132,,,BPS CS 30306-0132,15 14 18.9191,+07 27 02.680,14,14,0.0129,0.0117,90,A,O,2020yCat.1350....0G,,13.62,12.73,12.421,11.948,11.302,10.853,10.751,ChemPec*,,15 14 18.9191,+07 27 02.680,-9.114,1.266,0.3175,-106.18,1
True,BPS CS 31078-018,,,BPS CS 31079-0028,03 01 00.6866,+06 16 31.808,14,14,0.0132,0.0113,90,A,O,2020yCat.1350....0G,,13.9,13.211,12.713,12.19,11.496,11.071,10.999,ChemPec*,,03 01 00.6866,+06 16 31.808,17.208,-10.266,0.6778,81.74,1
True,HD 2796,,,HD   2796,00 31 16.9147,-16 47 40.790,14,14,0.0184,0.0158,90,A,O,2020yCat.1350....0G,9.58,9.28,8.5,8.14,8.67,6.853,6.391,6.256,ChemPec*,Fw,00 31 16.9147,-16 47 40.790,-1.181,-51.169,1.5519,-60.7,1
True,HD 23798,,,HD  23798,03 46 45.7220,-30 51 13.333,14,14,0.0105,0.0135,90,A,O,2020yCat.1350....0G,,9.35,8.32,,,6.276,5.657,5.517,ChemPec*,G8/K1(III)wF0/3,03 46 45.7220,-30 51 13.333,19.295,-2.137,0.9144,89.57,1
True,HD 119516,,,HD 119516,13 43 26.7251,+15 34 31.069,14,14,0.0115,0.0091,90,A,O,2020yCat.1350....0G,,9.59,9.12,,,7.771,7.431,7.366,HorBranch*,G5,13 43 26.7251,+15 34 31.069,-49.997,-14.872,1.8653,-284.74,1
True,HE 0017-4346,,,HE 0017-4346,00 20 16.2080,-43 30 18.055,14,14,0.0236,0.0266,90,A,O,2020yCat.1350....0G,,,15.88,,,,,,ChemPec*,CEMP-s,00 20 16.2080,-43 30 18.055,22.634,0.429,0.6081,58.9,1
