Name,Simbad_Identifier,System,lambda,Species,chi,loggf,EW,logepsX
J051216,2MASS J05121686-6517147,LMC,5682.633,Na I,2.102,-0.706,15.5,4.166
J051216,2MASS J05121686-6517147,LMC,4167.271,Mg I,4.346,-0.745,106.2,6.226
J051216,2MASS J05121686-6517147,LMC,5711.088,Mg I,4.343,-1.724,97.2,6.373
J051216,2MASS J05121686-6517147,LMC,5665.554,Si I,4.92,-2.04,12.7,6.049
J051216,2MASS J05121686-6517147,LMC,5684.484,Si I,4.954,-1.42,17.3,5.62
J051216,2MASS J05121686-6517147,LMC,7698.974,K I,0.,-0.178,300.6,4.793
J051216,2MASS J05121686-6517147,LMC,4283.011,Ca I,1.886,-0.224,154.6,5.148
J051216,2MASS J05121686-6517147,LMC,4425.437,Ca I,1.879,-0.358,96.3,4.239
J051216,2MASS J05121686-6517147,LMC,4434.957,Ca I,1.886,-0.007,141.9,4.606
J051216,2MASS J05121686-6517147,LMC,5590.114,Ca I,2.521,-0.571,119.7,5.198
J051216,2MASS J05121686-6517147,LMC,5601.277,Ca I,2.526,-0.523,111.8,5.048
J051216,2MASS J05121686-6517147,LMC,5857.451,Ca I,2.93,0.23,94.,4.557
J051216,2MASS J05121686-6517147,LMC,6102.723,Ca I,1.879,-0.793,107.8,4.268
J051216,2MASS J05121686-6517147,LMC,6169.042,Ca I,2.523,-0.797,99.6,5.051
J051216,2MASS J05121686-6517147,LMC,6169.563,Ca I,2.526,-0.478,162.3,5.516
J051216,2MASS J05121686-6517147,LMC,6449.808,Ca I,2.521,-0.502,167.3,5.541
J051216,2MASS J05121686-6517147,LMC,6499.65,Ca I,2.523,-0.818,128.4,5.37
J051216,2MASS J05121686-6517147,LMC,5526.789,Sc II,1.77,-2.655,98.6,0.92
J051216,2MASS J05121686-6517147,LMC,5684.19,Sc II,1.507,-1.573,60.5,1.245
J051216,2MASS J05121686-6517147,LMC,6604.594,Sc II,1.357,-2.676,81.9,1.607
J051216,2MASS J05121686-6517147,LMC,4287.403,Ti I,0.835,-0.37,155.5,3.95
J051216,2MASS J05121686-6517147,LMC,4295.749,Ti I,0.812,-0.42,89.1,3.056
J051216,2MASS J05121686-6517147,LMC,4426.051,Ti I,1.878,-0.31,49.1,3.846
J051216,2MASS J05121686-6517147,LMC,4449.142,Ti I,1.886,0.47,115.4,4.053
J051216,2MASS J05121686-6517147,LMC,4450.894,Ti I,1.878,0.32,160.1,4.837
