JINA_ID ,Reference     ,Name ,Simbad_Identifier ,Loc ,RA_hms  ,DEC_dms         ,RA_deg    ,DEC_deg   ,Fe/H  ,Teff ,logg ,Vmic ,Li ,Be ,C ,N ,O ,F ,Na ,Mg   ,Al ,Si ,P ,S ,K ,Ca ,Sc    ,Ti   ,V ,Cr   ,Mn   ,Fe ,Co ,Ni   ,Cu ,Zn   ,Ga ,Ge ,As ,Se ,Rb ,Sr    ,Y ,Zr ,Nb ,Mo ,Ru ,Rh ,Pd ,Ag ,Cd ,Sn ,Te ,Ba    ,La ,Ce ,Pr ,Nd ,Sm ,Eu    ,Gd ,Tb ,Dy ,Ho ,Er ,Tm ,Yb ,Lu ,Hf ,W ,Os ,Ir ,Pt ,Au ,Hg ,Pb ,Bi ,Th ,U ,CaII ,TiII ,VII ,CrII ,MnII ,FeII ,Added_by
   6666 ,Reichert+2020 ,     ,,    ,08:22.1 ,+12:20:20.83200 ,152.09188 ,12.33912  ,-1.2  ,4287 ,0.42 ,     ,   ,   ,  ,  ,  ,  ,   ,6.42 ,   ,   ,  ,  ,  ,   ,1.81  ,3.79 ,  ,     ,3.8  ,   ,   ,4.68 ,   ,3.71 ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0.71  ,   ,   ,   ,   ,   ,-0.1  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6405 ,Reichert+2020 ,     ,                  ,    ,08:33.5 ,+12:20:44.98800 ,152.13967 ,12.34583  ,-0.84 ,4283 ,0.57 ,     ,   ,   ,  ,  ,  ,  ,   ,6.6  ,   ,   ,  ,  ,  ,   ,1.52  ,3.73 ,  ,     ,4.05 ,   ,   ,5.02 ,   ,2.62 ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,1.25  ,   ,   ,   ,   ,   ,0.03  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6411 ,Reichert+2020 ,     ,                  ,    ,59:35.5 ,+14:20:23.71200 ,209.89801 ,14.33992  ,-2.2  ,4548 ,1.37 ,     ,   ,   ,  ,  ,  ,  ,   ,5.23 ,   ,   ,  ,  ,  ,   ,      ,2.73 ,  ,     ,     ,   ,   ,3.39 ,   ,     ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-0.58 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6409 ,Reichert+2020 ,     ,                  ,    ,58:33.8 ,+14:21:8.49600  ,209.64089 ,14.35236  ,-3.76 ,4507 ,1.24 ,     ,   ,   ,  ,  ,  ,  ,   ,4.24 ,   ,   ,  ,  ,  ,   ,      ,     ,  ,1.58 ,     ,   ,   ,2.07 ,   ,     ,   ,   ,   ,   ,   ,-1.89 ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-2.15 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6410 ,Reichert+2020 ,     ,                  ,    ,00:25.8 ,+14:26:7.62000  ,210.10763 ,14.43545  ,-2.16 ,4482 ,1.36 ,     ,   ,   ,  ,  ,  ,  ,   ,5.42 ,   ,   ,  ,  ,  ,   ,      ,3.93 ,  ,     ,     ,   ,   ,4.14 ,   ,2.56 ,   ,   ,   ,   ,   ,-0.29 ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-0.27 ,   ,   ,   ,   ,   ,-1.03 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6696 ,Reichert+2020 ,     ,,    ,08:14.4 ,+16:05:1.17600  ,152.06017 ,16.08366  ,-3.76 ,4807 ,2.35 ,     ,   ,   ,  ,  ,  ,  ,   ,4.59 ,   ,   ,  ,  ,  ,   ,      ,     ,  ,     ,     ,   ,   ,2.21 ,   ,     ,   ,   ,   ,   ,   ,-1.98 ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6720 ,Reichert+2020 ,     ,                  ,    ,13:16.5 ,+36:10:45.76800 , 33.31894 ,36.17938  ,-3.15 ,4631 ,1.86 ,     ,   ,   ,  ,  ,  ,  ,   ,4.7  ,   ,   ,  ,  ,  ,   ,0.24  ,2.4  ,  ,     ,     ,   ,   ,3.53 ,   ,     ,   ,   ,   ,   ,   ,-1.63 ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6683 ,Reichert+2020 ,     ,                  ,    ,19:41.8 ,+57:52:19.23600 ,259.92435 ,57.87201  ,-2.79 ,4004 ,0.42 ,     ,   ,   ,  ,  ,  ,  ,   ,4.86 ,   ,   ,  ,  ,  ,   ,0.67  ,2.56 ,  ,2.53 ,     ,   ,   ,2.95 ,   ,     ,   ,   ,   ,   ,   ,0.1   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-1.01 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6528 ,Reichert+2020 ,     ,                  ,    ,20:16.1 ,+57:52:55.99200 ,260.06721 ,57.88222  ,-3.31 ,3911 ,0.46 ,     ,   ,   ,  ,  ,  ,  ,   ,4.5  ,   ,   ,  ,  ,  ,   ,0.04  ,     ,  ,     ,     ,   ,   ,2.17 ,   ,     ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,-1.91 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
   6697 ,Reichert+2020 ,     ,                  ,    ,18:10.4 ,+57:52:9.01200  ,259.54329 ,57.86917  ,-2.38 ,4394 ,0.79 ,     ,   ,   ,  ,  ,  ,  ,   ,5.17 ,   ,   ,  ,  ,  ,   ,0.82  ,3.14 ,  ,3.13 ,     ,   ,   ,3.93 ,   ,     ,   ,   ,   ,   ,   ,      ,  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,0.24  ,   ,   ,   ,   ,   ,-0.79 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     ,Mohammad
