Galaxy       , Abbreviation, \mathrm{M}_* [10^6 M_\odot], S/N, \# Stars
Sagittarius  , Sgr         , 21                         , 141,       32
Fornax       , For         , 20                         ,  79,      123
Leo I        , Leo I       , 5.5                        ,  52,        2
Sculptor     , Scl         , 2.3                        ,  93,       96
Sextans      , Sex         , 0.44                       ,  86,       46
Carina       , Car         , 0.38                       ,  47,       47
Ursa Minor   , UMi         , 0.29                       ,  88,       13
Draco        , Dra         , 0.29                       ,  92,        7
Bootes I     , Boo I       , 0.029                      ,  38,        3
Ursa Major II, UMa II      , 0.0041                     ,  98,        3
Segue I      , Seg I       , 0.00034                    , 300,        1
Reticulum II , Ret II      , -                          ,  47,        6
Triangulum II, Tri II      , -                          , 173,        1
Total        ,             ,                            ,    ,      380
