JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
7367,1.0,ROE10,Roederer+2010,BD-01 306,BD-01 306,,,,MP,,,,,02:14:40.30,-01:12:05.04,33.6679,-1.2014,,,,,,,,,,,,,-1.13,,,,,,,,,,,,,,,,,,,,,6.37,,,,3.57,,,,,,,1.05,,,,,,,,,,,,0.12,,,,,-0.27,,,,,,,,,,,,,,,,1.2,,,,,,,,,,Mardini
7368,1.0,ROE10,Roederer+2010,BD-01 2582,BD-01 2582,,,,VMP,,,,,11:53:37.32,-02:00:36.72,178.4055,-2.0102,,,,,,,,,,,,,-2.21,,,,,,,,,,,,,,,,,,,,,5.29,,,,2.51,,,,,,,0.17,,,,,,,,,,,,-0.05,,,,,-1.03,,,,,,,,,,,,,,,,0.77,,,,,,,,,,Mardini
7369,1.0,ROE10,Roederer+2010,BD-18 5550,BD-18 5550,,,,EMP,,,,,19:58:49.73,-18:12:11.16,299.7072,-18.2031,,,,,,,,,,,,,-3.05,,,,,,,,,,,,,,,,,,,,,4.45,,,,1.94,,,,,,,-1.81,,,,,,,,,,,,-2.52,,,,,-2.81,,,,,,,,,,,,,,,,,,,,,,,,,,Mardini
7370,1.0,ROE10,Roederer+2010,BD+01 2916,BD+01 2916,,,,MP,,,,,14:21:45.26,+00:46:59.16,215.4386,0.7831,,,,,,,,,,,,,-1.92,,,,,,,,,,,,,,,,,,,,,5.58,,,,,,,,,,,-0.21,,,,,,,,,,,,-0.87,,,,,-1.22,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,Mardini
7371,1.0,ROE10,Roederer+2010,BD+04 2621,BD+04 2621,,,,VMP,,,,,12:28:44.64,+04:01:26.76,187.186,4.0241,,,,,,,,,,,,,-2.52,,,,,,,,,,,,,,,,,,,,,4.98,,,,,,,,,,,-0.69,,,,,,,,,,,,-2.29,,,,,-2.63,,,,,,,,,,,,,,,,,,,,,,,,,,Mardini
7372,1.0,ROE10,Roederer+2010,BD+06 648,BD+06 648,,,,VMP,,,,,04:13:13.10,+06:36:01.80,63.3046,6.6005,,,,,,,,,,,,,-2.14,,,,,,,,,,,,,,,,,,,,,5.36,,,,,,,,,,,-0.09,,,,,,,,,,,,-0.95,,,,,-1.5,,,,,,,,,,,,,,,,0,,,,,,,,,,Mardini
7373,1.0,ROE10,Roederer+2010,BD+08 2856,BD+08 2856,,,,VMP,,,,,14:23:58.18,+08:01:33.24,215.9924,8.0259,,,,,,,,,,,,,-2.12,,,,,,,,,,,,,,,,,,,,,5.38,,,,2.59,,,,,,,-0.15,,,,,,,,,,,,-1.03,,,,,-1.16,,,,,,,,,,,,,,,,,,,,,,,,,,Mardini
7374,1.0,ROE10,Roederer+2010,BD+10 2495,BD+10 2495,,,,VMP,,,,,12:59:19.92,+09:14:35.52,194.833,9.2432,,,,,,,,,,,,,-2.31,,,,,,,,,,,,,,,,,,,,,5.19,,,,2.32,,,,,,,-0.52,,,,,,,,,,,,-1.36,,,,,-1.69,,,,,,,,,,,,,,,,0.88,,,,,,,,,,Mardini
7375,2.0,ROE10,Roederer+2010,BD+17 3248,BD+17 3248,,,,VMP,,,,,17:28:14.47,+17:30:36.00,262.0603,17.51,,,,,,,,,,,,,-2.08,,,,,,,,,,,,,,,,,,,,,5.42,,,,2.58,,,,,,,0.04,,,,,,,,,,,,-0.55,,,,,-0.78,,,,,,,,,,,,,,,,0.27,,,,,,,,,,Mardini
7376,1.0,ROE10,Roederer+2010,HD 250792,HD 250792,,,,MP,,,,,06:03:14.86,+19:21:38.88,90.8119,19.3608,,,,,,,,,,,,,-1.09,,,,,,,,,,,,,,,,,,,,,6.41,,,,3.38,,,,,,,0.85,,,,,,,,,,,,0.06,,,,,-0.23,,,,,,,,,,,,,,,,0.77,,,,,,,,,,Mardini
7377,1.0,ROE10,Roederer+2010,BD+29 2356,BD+29 2356,,,,MP,,,,,13:01:52.42,+29:11:18.24,195.4684,29.1884,,,,,,,,,,,,,-1.59,,,,,,,,,,,,,,,,,,,,,5.91,,,,3.05,,,,,,,0.52,,,,,,,,,,,,-0.47,,,,,-0.69,,,,,,,,,,,,,,,,0.35,,,,,,,,,,Mardini
7378,1.0,ROE10,Roederer+2010,BD+30 2611,BD+30 2611,,,,MP,,,,,15:06:53.83,+30:00:37.08,226.7243,30.0103,,,,,,,,,,,,,-1.5,,,,,,,,,,,,,,,,,,,,,6,,,,2.87,,,,,,,0.41,,,,,,,,,,,,-0.24,,,,,-0.36,,,,,,,,,,,,,,,,0.56,,,,,,,,,,Mardini
7379,1.0,ROE10,Roederer+2010,HD 233891,HD 233891,,,,MP,,,,,11:59:59.06,+51:46:17.76,179.9961,51.7716,,,,,,,,,,,,,-1.4,,,,,,,,,,,,,,,,,,,,,6.1,,,,3.35,,,,,,,0.71,,,,,,,,,,,,-0.13,,,,,-0.51,,,,,,,,,,,,,,,,0.6,,,,,,,,,,Mardini
7380,1.0,ROE10,Roederer+2010,BPS BS 16477-0003,BPS BS 16477-0003,,,,EMP,,,,,14:32:56.93,+06:46:06.96,218.2372,6.7686,,,,,,,,,,,,,-3.36,,,,,,,,,,,,,,,,,,,,,4.14,,,,1.42,,,,,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardini
7381,1.0,ROE10,Roederer+2010,BPS BS 17569-0049,BPS BS 17569-0049,,,,VMP,,,,,22:04:58.37,+04:01:32.16,331.2432,4.0256,,,,,,,,,,,,,-2.88,,,,,,,,,,,,,,,,,,,,,4.62,,,,1.95,,,,,,,-0.63,,,,,,,,,,,,-1.4,,,,,-1.64,,,,,,,,,,,,,,,,,,,,,,,,,,Mardini
