

Name,Species,N,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_stat,e_tot,e_neutrals,e_ions
Seg2-J021933,Fe I,96,,4.54,,-2.96,,,0.03,0.19,0.00,0.00
Seg2-J021933,Fe II,10,,4.69,,-2.81,,,0.05,0.08,0.00,0.00
Seg2-J021933,Li I,1,<,0.28,,,,,,,,
Seg2-J021933,C-H,1,,4.85,,,,-0.52,,,,
Seg2-J021933,C-N,1,<,6.85,<,,<,1.81,,,,
Seg2-J021933,O I,4,<,6.68,<,,<,0.95,,,,
Seg2-J021933,Na I,2,,3.44,,,,0.16,0.10,0.40,0.29,0.37
Seg2-J021933,Mg I,5,,4.95,,,,0.31,0.03,0.21,0.05,0.18
Seg2-J021933,Al I,1,,2.89,,,,-0.60,0.07,0.35,0.23,0.31
Seg2-J021933,Si I,1,,4.70,,,,0.15,0.15,0.34,0.21,0.30
Seg2-J021933,K I,1,,2.37,,,,0.30,0.12,0.22,0.13,0.20
Seg2-J021933,Ca I,12,,3.54,,,,0.17,0.10,0.21,0.11,0.19
Seg2-J021933,Sc II,6,,0.53,,,,0.19,0.03,0.07,0.16,0.06
Seg2-J021933,Ti I,13,,2.00,,,,0.01,0.02,0.18,0.05,0.16
Seg2-J021933,Ti II,25,,2.42,,,,0.28,0.03,0.07,0.16,0.06
Seg2-J021933,V I,1,,0.85,,,,-0.12,0.10,0.21,0.11,0.18
Seg2-J021933,V II,2,<,1.10,<,,<,-0.02,,,,
Seg2-J021933,Cr I,7,,2.39,,,,-0.28,0.02,0.18,0.05,0.16
Seg2-J021933,Cr II,2,,3.01,,,,0.18,0.04,0.08,0.17,0.07
Seg2-J021933,Mn I,3,,1.96,,,,-0.51,0.02,0.18,0.05,0.16
Seg2-J021933,Co I,1,,1.64,,,,-0.39,0.10,0.27,0.15,0.24
Seg2-J021933,Ni I,4,,3.33,,,,0.08,0.10,0.21,0.11,0.19
Seg2-J021933,Cu I,1,<,0.88,<,,<,-0.35,,,,
Seg2-J021933,Zn I,2,,1.97,,,,0.37,0.02,0.18,0.05,0.16
Seg2-J021933,Rb I,1,<,1.24,<,,<,1.68,,,,
Seg2-J021933,Sr II,2,,-1.29,,,,-1.35,0.02,0.29,0.27,0.26
Seg2-J021933,Y II,2,<,-1.53,<,,<,-0.93,,,,
Seg2-J021933,Zr II,3,<,-0.74,<,,<,-0.51,,,,
Seg2-J021933,Tc I,1,<,-0.04,,,,,,,,
Seg2-J021933,Ba II,5,,-1.62,,,,-1.00,0.04,0.08,0.16,0.06
Seg2-J021933,La II,4,<,-1.74,<,,<,-0.03,,,,
Seg2-J021933,Ce II,5,<,-1.30,<,,<,-0.07,,,,
Seg2-J021933,Pr II,4,<,-1.59,<,,<,0.50,,,,
Seg2-J021933,Nd II,4,<,-1.32,<,,<,0.07,,,,
Seg2-J021933,Sm II,1,<,-1.41,<,,<,0.44,,,,
Seg2-J021933,Eu II,4,<,-2.59,<,,<,-0.30,,,,
Seg2-J021933,Gd II,3,<,-0.79,<,,<,0.95,,,,
Seg2-J021933,Tb II,2,<,-1.34,<,,<,1.17,,,,
Seg2-J021933,Dy II,3,<,-1.30,<,,<,0.41,,,,
Seg2-J021933,Ho II,3,<,-1.61,<,,<,0.72,,,,
Seg2-J021933,Er II,3,<,-0.78,<,,<,1.11,,,,
Seg2-J021933,Tm II,2,<,-1.38,<,,<,1.33,,,,
Seg2-J021933,Yb II,1,<,-0.76,<,,<,1.13,,,,
Seg2-J021933,Hf II,2,<,-0.47,<,,<,1.49,,,,
Seg2-J021933,Ir I,1,<,0.08,<,,<,1.66,,,,
Seg2-J021933,Pb I,1,<,0.93,<,,<,1.85,,,,
