Name,Species,lambda,l_logepsX,logepsX,e_logepsX
Star 1,Mg I,4571.1,,5.28,0.2
Star 1,Mg I,4702.99,,5.14,0.26
Star 1,Mg I,5172.68,,4.71,0.46
Star 1,Ti I,4548.76,,3.34,0.21
Star 1,Ti I,4999.5,,2.65,0.2
Star 1,Ti I,5173.74,,2.87,0.19
Star 1,Ti I,5210.38,,2.6,0.19
Star 1,Ti II,4443.8,,2.28,0.3
Star 1,Ti II,4501.27,,2.58,0.3
Star 1,Ti II,5336.79,,2.22,0.18
Star 1,Cr I,5345.8,,2.7,0.2
Star 1,Cr I,5409.77,,2.59,0.19
Star 1,Fe I,4592.65,,4.93,0.2
Star 1,Fe I,4602.94,,4.86,0.24
Star 1,Fe I,4890.76,,4.83,0.29
Star 1,Fe I,4938.81,,4.8,0.2
Star 1,Fe I,4939.69,,4.76,0.2
Star 1,Fe I,4994.13,,4.62,0.2
Star 1,Fe I,5049.82,,4.61,0.2
Star 1,Fe I,5051.63,,4.82,0.24
Star 1,Fe I,5068.77,,4.73,0.2
Star 1,Fe I,5083.34,,4.94,0.22
Star 1,Fe I,5150.84,,4.65,0.19
Star 1,Fe I,5171.6,,4.57,0.25
Star 1,Fe I,5194.94,,4.77,0.22
Star 1,Fe I,5202.34,,4.82,0.19
Star 1,Fe I,5232.94,,4.6,0.28
Star 1,Fe I,5266.56,,4.73,0.22
Star 1,Fe I,5324.18,,4.56,0.2
Star 1,Fe I,5339.93,,4.79,0.19
Star 1,Fe I,5383.37,,4.65,0.19
Star 1,Fe I,5397.13,,4.55,0.34
Star 1,Fe I,5405.77,,4.88,0.41
Star 1,Sr II,4215.52,,0.7,0.53
Star 1,Y II,4854.86,,0.11,0.2
Star 1,Y II,4883.68,,-0.36,0.21
Star 1,Y II,5087.42,,-0.16,0.23
Star 1,Zr II,4208.98,,0.69,0.4
Star 1,Ru I,4709.48,<,2.35,
Star 1,Ba II,4554.03,,0.22,0.29
Star 1,La II,4920.98,,-0.24,0.22
Star 1,Ce II,4562.36,,0.09,0.19
Star 1,Pr II,5322.77,,-0.27,0.43
Star 1,Nd II,4446.38,,0.06,0.31
Star 1,Nd II,4706.54,,0.42,0.17
Star 1,Nd II,4825.48,,0.54,0.2
Star 1,Nd II,5132.33,,0.39,0.23
Star 1,Nd II,5293.16,,0.3,0.2
Star 1,Nd II,5319.81,,0.21,0.18
Star 1,Sm II,4434.32,,-0.04,0.29
Star 1,Sm II,4642.23,,0.17,0.18
Star 1,Eu II,4205.04,,-0.56,0.57
Star 1,Eu II,4435.58,,-0.47,0.3
Star 1,Gd II,4215.02,<,0.85,
Star 1,Gd II,4498.29,<,0.64,
Star 1,Dy II,4449.7,<,0.52,
Star 2,Mg I,4571.1,,5.35,0.41
Star 2,Mg I,4702.99,,4.82,0.23
Star 2,Mg I,5172.68,,5.17,0.36
Star 2,Mg I,5183.6,,5.13,0.34
Star 2,Sc II,5239.82,,0.55,0.26
Star 2,Ti I,4534.78,,2.74,0.37
Star 2,Ti I,4999.5,,2.63,0.31
Star 2,Ti I,5173.74,,2.51,0.21
Star 2,Ti I,5192.97,,2.54,0.21
Star 2,Ti II,4501.27,,2.32,0.32
Star 2,Ti II,5336.79,,2.33,0.17
Star 2,Ti II,5381.02,,2.46,0.18
Star 2,Cr I,4600.74,,3.31,0.23
Star 2,Cr I,4626.17,,3.04,0.21
Star 2,Cr I,4646.15,,2.96,0.26
Star 2,Fe I,4466.55,,4.77,0.44
Star 2,Fe I,4489.74,,4.83,0.42
Star 2,Fe I,4890.76,,4.41,0.32
Star 2,Fe I,4891.49,,4.29,0.38
Star 2,Fe I,4903.31,,4.58,0.23
Star 2,Fe I,4918.99,,4.51,0.38
Star 2,Fe I,4939.69,,4.67,0.23
Star 2,Fe I,4994.13,,4.7,0.29
Star 2,Fe I,5049.82,,4.26,0.22
Star 2,Fe I,5051.63,,4.58,0.35
Star 2,Fe I,5068.77,,4.73,0.21
Star 2,Fe I,5150.84,,4.73,0.28
Star 2,Fe I,5166.28,,4.9,0.36
Star 2,Fe I,5171.6,,4.78,0.45
Star 2,Fe I,5191.45,,4.87,0.33
Star 2,Fe I,5192.34,,4.37,0.23
Star 2,Fe I,5194.94,,4.74,0.37
Star 2,Fe I,5202.34,,4.63,0.21
Star 2,Fe I,5216.27,,4.4,0.23
Star 2,Fe I,5232.94,,4.32,0.34
Star 2,Fe I,5266.56,,4.38,0.24
Star 2,Fe I,5307.36,,4.81,0.21
Star 2,Fe I,5324.18,,4.23,0.21
Star 2,Fe I,5332.9,,4.65,0.21
Star 2,Fe I,5339.93,,4.76,0.2
Star 2,Fe I,5371.49,,4.36,0.46
Star 2,Fe I,5383.37,,4.34,0.21
Star 2,Fe I,5397.13,,4.27,0.44
Star 2,Fe I,5410.91,,4.64,0.22
Star 2,Fe I,5415.2,,4.43,0.21
Star 2,Fe II,4491.4,,4.93,0.26
Star 2,Fe II,4508.29,,4.58,0.19
Star 2,Fe II,4583.84,,4.38,0.23
Star 2,Fe II,5197.57,,4.42,0.19
Star 2,Ni I,4953.21,<,4.57,
Star 2,Sr II,4215.52,,0.46,0.27
Star 2,Y II,4398.01,,-0.59,0.39
Star 2,Y II,4854.86,,-0.53,0.26
Star 2,Y II,5087.42,,-0.32,0.22
Star 2,Y II,5200.41,,-0.26,0.25
Star 2,Y II,5205.72,,-0.2,0.22
Star 2,Zr II,4613.95,<,1.61,
Star 2,Zr II,5112.27,<,0.65,
Star 2,Ru I,4709.48,<,1.93,
Star 2,Ba II,4554.03,,0.32,0.25
Star 2,La II,4920.98,,-0.78,0.26
Star 2,La II,5290.82,,-0.24,0.24
Star 2,Ce II,4562.36,,-0.03,0.22
Star 2,Ce II,4572.28,,-0.09,0.23
Star 2,Ce II,4593.93,,-0.15,0.22
Star 2,Ce II,4628.16,,-0.3,0.29
Star 2,Ce II,5330.56,,0.09,0.39
Star 2,Pr II,5259.73,,-0.78,0.32
Star 2,Pr II,5322.77,,-0.57,0.29
Star 2,Nd II,4706.54,,0.22,0.2
Star 2,Nd II,4825.48,,-0.02,0.24
Star 2,Nd II,4914.38,,-0.17,0.34
Star 2,Nd II,5130.59,,0.01,0.25
Star 2,Nd II,5255.51,,-0.11,0.22
Star 2,Nd II,5293.16,,-0.32,0.25
Star 2,Nd II,5319.81,,-0.2,0.2
Star 2,Sm II,4424.34,,-0.34,0.38
Star 2,Sm II,4467.34,,-0.43,0.35
Star 2,Sm II,4719.84,,-0.04,0.2
Star 2,Eu II,4205.04,,-0.95,0.26
Star 2,Eu II,4435.58,,-0.65,0.18
Star 2,Gd II,4251.73,<,0.53,
Star 2,Gd II,4498.29,<,0.37,
Star 2,Tb II,4752.53,<,-0.78,
Star 2,Dy II,4449.7,,0.09,0.41
Star 3,Mg I,4571.1,,5.13,0.22
Star 3,Mg I,4702.99,,4.97,0.24
Star 3,Mg I,5172.68,,4.7,0.41
Star 3,Mg I,5183.6,,4.88,0.38
Star 3,Ca I,4434.96,,3.08,0.33
Star 3,Sc II,5239.82,<,0.79,
Star 3,Ti I,4981.73,,1.57,0.22
Star 3,Ti I,4999.5,,2.03,0.2
Star 3,Ti I,5210.38,,1.99,0.22
Star 3,Ti II,4443.8,,1.87,0.26
Star 3,Ti II,4501.27,,1.88,0.21
Star 3,Ti II,5336.79,,1.74,0.22
Star 3,Ti II,5381.02,,2.19,0.2
Star 3,V I,4379.23,<,1.21,
Star 3,V I,4436.13,<,2.8,
Star 3,V I,4437.83,<,2.6,
Star 3,V I,4577.17,<,2.41,
Star 3,V I,4586.37,<,2.03,
Star 3,V I,4594.12,<,2.02,
