Star,[Eu/Fe],[Fe/H],log delta _EuFe,log delta _EuFe,log delta _EuFe,log delta _EuFe,log delta _EuFe,
,,,$\mathrm{log}\varepsilon $(Ru/Zr),$\mathrm{log}\varepsilon $(Rh/Zr),$\mathrm{log}\varepsilon $(Pd/Zr),$\mathrm{log}\varepsilon $(Ag/Zr),combined,
2MASS J22132050-5137385,+2.45,-2.20,+1.06${}_{-0.75}^{+0.55}$,+0.82${}_{-0.68}^{+0.51}$,+1.30${}_{-0.62}^{+0.52}$,+1.18${}_{-0.65}^{+0.54}$,+1.04${}_{-0.35}^{+0.30}$,
CS 31082-001,+1.69,-2.90,-0.04${}_{-0.92}^{+0.67}$,+0.18${}_{-0.63}^{+0.49}$,+0.12${}_{-0.63}^{+0.48}$,+0.49${}_{-0.88}^{+0.78}$,+0.12${}_{-0.40}^{+0.35}$,
CS 29497-004,+1.67,-2.84,-0.52${}_{-1.11}^{+0.77}$,-0.08${}_{-0.74}^{+0.56}$,-0.62${}_{-1.00}^{+0.78}$,-0.47${}_{-0.88}^{+0.71}$,-0.50${}_{-0.49}^{+0.40}$,
CS 22892-052,+1.64,-3.09,-0.13${}_{-0.97}^{+0.71}$,-0.16${}_{-0.77}^{+0.59}$,-0.11${}_{-0.81}^{+0.63}$,-0.33${}_{-0.80}^{+0.64}$,-0.26${}_{-0.44}^{+0.36}$,
2MASS J14325334-4125494,+1.44,-2.97,-0.45${}_{-0.98}^{+0.69}$,cdots,-1.38${}_{-1.20}^{+0.94}$,cdots,-0.98${}_{-0.80}^{+0.63}$,
HE 1219-0312,+1.38,-2.97,cdots,cdots,-0.48${}_{-1.17}^{+0.99}$,cdots,-0.48${}_{-1.17}^{+0.99}$,
HD 222925,+1.32,-1.46,+0.47${}_{-0.71}^{+0.58}$,+0.22${}_{-0.56}^{+0.46}$,+0.07${}_{-0.59}^{+0.48}$,-0.18${}_{-0.70}^{+0.58}$,+0.10${}_{-0.34}^{+0.29}$,
2MASS J15383085-1804242,+1.27,-2.09,+0.04${}_{-1.42}^{+1.23}$,-0.32${}_{-0.97}^{+0.83}$,-0.27${}_{-1.53}^{+1.40}$,-0.76${}_{-1.30}^{+1.13}$,-0.39${}_{-0.69}^{+0.62}$,
CS 31078-018,+1.23,-2.84,+1.34${}_{-0.78}^{+0.81}$,cdots,-0.06${}_{-0.83}^{+0.71}$,cdots,+0.63${}_{-0.58}^{+0.56}$,
CS 22953-003,+1.03,-2.84,-0.02${}_{-1.26}^{+1.12}$,cdots,+0.25${}_{-1.11}^{+1.03}$,cdots,+0.09${}_{-0.86}^{+0.78}$,
HE 2327-5642,+0.98,-2.79,cdots,cdots,-0.06${}_{-1.29}^{+1.21}$,cdots,-0.06${}_{-1.29}^{+1.21}$,
CS 22896-154,+0.96,-2.69,+0.57${}_{-1.18}^{+1.12}$,cdots,+0.78${}_{-1.06}^{+1.04}$,+0.42${}_{-1.26}^{+1.23}$,+0.58${}_{-0.70}^{+0.69}$,
BD +17deg3248,+0.90,-2.10,+0.32${}_{-0.88}^{+0.80}$,+0.54${}_{-0.59}^{+0.55}$,+0.33${}_{-0.68}^{+0.62}$,+0.20${}_{-0.78}^{+0.72}$,+0.33${}_{-0.38}^{+0.36}$,
HD 221170,+0.80,-2.20,+0.30${}_{-0.54}^{+0.46}$,-0.35${}_{-0.77}^{+0.66}$,-0.20${}_{-0.52}^{+0.43}$,-0.87${}_{-0.68}^{+0.54}$,-0.32${}_{-0.33}^{+0.29}$,
CD -45deg3283,+0.78,-0.99,cdots,cdots,-0.40${}_{-1.04}^{+0.95}$,-0.12${}_{-1.11}^{+1.04}$,-0.28${}_{-0.77}^{+0.73}$,
