Name,Species,N,logepsX_sun,l_logepsX,logepsX,l_[X/Fe],[X/Fe],e_logepsX,e_[X/Fe],l_[X/H],[X/H],
J2213-5137,Li I,1,,<,0.70,<,,,,<,,
J2213-5137,C-H,1,8.43,,6.61,,+0.38,0.30,0.30,,,
J2213-5137,N-H,1,7.83,<,6.30,<,+0.67,,,<,,
J2213-5137,O I,3,8.69,,7.22,,+0.73,0.15,0.26,,,
J2213-5137,Na I,2,6.24,,3.98,,-0.06,0.17,0.07,,,
J2213-5137,Mg I,4,7.60,,5.89,,+0.49,0.11,0.05,,,
J2213-5137,Al I,1,6.45,,3.87,,-0.38,0.17,0.08,,,
J2213-5137,Si I,4,7.51,,5.63,,+0.32,0.20,0.22,,,
J2213-5137,Si II,2,7.51,,5.70,,+0.39,0.17,0.19,,,
J2213-5137,K I,2,5.03,,2.98,,+0.15,0.11,0.04,,,
J2213-5137,Ca I,17,6.34,,4.39,,+0.25,0.09,0.05,,,
J2213-5137,Sc II,3,3.15,,1.08,,+0.13,0.08,0.07,,,
J2213-5137,Ti I,10,4.95,,3.13,,+0.38,0.15,0.06,,,
J2213-5137,Ti II,4,4.95,,3.02,,+0.27,0.07,0.06,,,
J2213-5137,V I,2,3.93,,1.82,,+0.09,0.17,0.08,,,
J2213-5137,V II,3,3.93,,1.85,,+0.12,0.14,0.13,,,
J2213-5137,Cr I,4,5.64,,3.18,,-0.26,0.14,0.06,,,
J2213-5137,Cr II,2,5.64,,3.46,,+0.02,0.10,0.10,,,
J2213-5137,Mn I,3,5.43,,2.88,,-0.35,0.20,0.14,,,
J2213-5137,Mn II,1,5.43,,2.86,,-0.37,0.12,0.11,,,
J2213-5137,Fe I,99,7.50,,5.30,,-2.20,0.12,0.12,,,
J2213-5137,Fe II,11,7.50,,5.25,,-2.25,0.06,0.06,,,
J2213-5137,Co I,7,4.99,,2.66,,-0.13,0.22,0.12,,,
J2213-5137,Ni I,12,6.22,,3.90,,-0.12,0.11,0.06,,,
J2213-5137,Cu I,1,4.19,,1.22,,-0.77,0.22,0.12,,,
J2213-5137,Zn I,2,4.56,,2.52,,+0.16,0.10,0.07,,,
J2213-5137,Ge I,1,3.65,<,2.40,<,+0.95,,,<,,
J2213-5137,Rb I,1,2.52,<,2.20,<,+1.88,,,<,,
J2213-5137,Sr II,2,2.87,,1.79,,+1.12,0.18,0.18,,,
J2213-5137,Y II,23,2.21,,1.14,,+1.13,0.08,0.07,,,
J2213-5137,Zr II,9,2.58,,1.87,,+1.49,0.09,0.08,,,
J2213-5137,Nb II,3,1.46,,0.90,,+1.64,0.18,0.18,,,
J2213-5137,Mo I,2,1.88,,1.34,,+1.66,0.27,0.20,,,
J2213-5137,Ru I,4,1.75,,1.59,,+2.04,0.19,0.08,,,
J2213-5137,Rh I,3,0.91,,0.99,,+2.28,0.23,0.13,,,
J2213-5137,Pd I,3,1.57,,1.15,,+1.78,0.21,0.10,,,
J2213-5137,Ag I,1,0.94,,0.50,,+1.76,0.22,0.12,,,
J2213-5137,Ba II,6,2.18,,1.70,,+1.72,0.13,0.12,,,
J2213-5137,La II,24,1.10,,0.87,,+1.97,0.11,0.10,,,
J2213-5137,Ce II,19,1.58,,1.07,,+1.69,0.10,0.09,,,
J2213-5137,Pr II,9,0.72,,0.47,,+1.95,0.11,0.10,,,
J2213-5137,Nd II,43,1.42,,1.15,,+1.93,0.11,0.10,,,
J2213-5137,Sm II,38,0.96,,0.93,,+2.17,0.11,0.10,,,
J2213-5137,Eu II,10,0.52,,0.77,,+2.45,0.09,0.08,,,
J2213-5137,Gd II,34,1.07,,1.12,,+2.25,0.12,0.10,,,
J2213-5137,Tb II,5,0.30,,0.29,,+2.19,0.13,0.11,,,
J2213-5137,Dy II,15,1.10,,1.24,,+2.34,0.16,0.15,,,
J2213-5137,Ho II,8,0.48,,0.46,,+2.18,0.16,0.14,,,
J2213-5137,Er II,11,0.92,,1.03,,+2.31,0.13,0.12,,,
J2213-5137,Tm II,9,0.10,,0.12,,+2.22,0.12,0.11,,,
J2213-5137,Yb II,1,0.84,,1.01,,+2.37,0.20,0.19,,,
J2213-5137,Lu II,4,0.10,,0.36,,+2.46,0.08,0.07,,,
J2213-5137,Hf II,5,0.85,,0.71,,+2.06,0.12,0.11,,,
J2213-5137,Os I,2,1.40,,1.60,,+2.40,0.24,0.12,,,
J2213-5137,Ir I,2,1.38,,1.45,,+2.27,0.21,0.10,,,
J2213-5137,Pt I,1,1.62,<,1.95,<,+2.53,,,<,,
J2213-5137,Pb I,2,2.04,<,1.50,<,+1.66,,,<,,
J2213-5137,Th II,8,0.02,,0.22,,+2.40,0.13,0.12,,,
J2213-5137,U II,1,-0.54,,-0.74,,+2.00,0.26,0.26,,,
