Species,A(X)_lit,A(X)_TW,,D_A(X),D_[X/Fe]
O I,8.50,8.15,,-0.35,-0.15
Na I,5.80,5.62,,-0.18,0.02
Mg I,7.10,6.99,,-0.11,0.09
Al I,,,,,
Si I,7.31,7.25,,-0.06,0.14
Ca I,6.09,5.96,,-0.13,0.07
Sc II,2.55,2.34,,-0.21,0.06
Ti I,4.78,4.44,,-0.34,-0.14
V I,3.80,3.38,,-0.42,-0.22
Cr II,5.55,5.45,,-0.10,0.17
Mn I,5.08,4.75,,-0.33,-0.13
Fe I,7.33,7.13,,-0.20,
Fe II,7.39,7.12,,-0.27,-0.07
Co I,4.59,4.07,,-0.52,-0.32
Ni I,5.77,5.51,,-0.26,-0.06
Cu I,3.44,3.05,,-0.39,-0.19
Zn I,3.94,3.92,,-0.02,0.17
Y II,1.93,1.68,,-0.25,0.02
Ba II,2.28,2.20,,-0.08,0.18
La II,1.63,1.33,,-0.30,-0.03
Ce II,1.65,1.29,,-0.36,-0.09
Nd II,1.86,1.47,,-0.39,-0.12
