StarID,Name,Species,logepsX_sun,l_logepsX,logepsX,e_logepsX
432,Sgr-432,O I,8.72,,8.03,
432,Sgr-432,Ce II,1.58,,0.78,
432,Sgr-432,Mg I,7.58,,6.64,0.01
432,Sgr-432,V I,4.00,,,
432,Sgr-432,Co I,4.92,,3.69,0.15
432,Sgr-432,La II,1.13,,0.50,0.14
432,Sgr-432,Zn I,4.60,,3.45,
432,Sgr-432,Fe II,7.50,,6.67,0.12
432,Sgr-432,Ti I,5.02,,4.01,0.08
432,Sgr-432,Ba II,2.13,,1.49,
432,Sgr-432,Si I,7.55,,6.66,0.17
432,Sgr-432,Sc II,3.17,,2.04,
432,Sgr-432,Y II,2.24,,0.88,0.11
432,Sgr-432,Ca I,6.36,,5.48,0.08
432,Sgr-432,Cu I,4.21,,2.29,
432,Sgr-432,Ni I,6.25,,4.91,0.01
432,Sgr-432,Cr II,5.67,,,
432,Sgr-432,Al I,6.47,,,
432,Sgr-432,S I,,,,
432,Sgr-432,Fe I,7.50,,6.61,0.12
432,Sgr-432,Na I,6.33,,,
432,Sgr-432,Mn I,5.39,,4.20,
432,Sgr-432,Nd II,1.50,,0.84,0.22
628,Sgr-628,La II,1.13,,1.74,0.02
628,Sgr-628,Fe I,7.50,,7.22,0.13
628,Sgr-628,Al I,6.47,,,
628,Sgr-628,Ti I,5.02,,4.44,0.15
628,Sgr-628,Mn I,5.39,,4.83,
628,Sgr-628,Ba II,2.13,,2.27,
628,Sgr-628,Si I,7.55,,7.30,0.10
628,Sgr-628,Ni I,6.25,,5.61,0.08
628,Sgr-628,Sc II,3.17,,2.20,
628,Sgr-628,Y II,2.24,,1.73,0.15
628,Sgr-628,Ca I,6.36,,5.83,0.15
628,Sgr-628,O I,8.72,,8.35,
628,Sgr-628,Cu I,4.21,,3.06,
628,Sgr-628,S I,,,,
628,Sgr-628,Zn I,4.60,,,
628,Sgr-628,Co I,4.92,,4.15,0.06
628,Sgr-628,V I,4.00,,3.35,0.16
628,Sgr-628,Na I,6.33,,5.81,0.08
628,Sgr-628,Nd II,1.50,,1.63,0.20
628,Sgr-628,Fe II,7.50,,7.23,0.11
628,Sgr-628,Mg I,7.58,,7.16,0.12
628,Sgr-628,Ce II,1.58,,1.58,0.02
628,Sgr-628,Cr II,5.67,,,
635,Sgr-635,Ti I,5.02,,4.13,0.14
635,Sgr-635,Ni I,6.25,,5.44,0.15
635,Sgr-635,Y II,2.24,,1.64,0.05
635,Sgr-635,Si I,7.55,,7.12,0.11
635,Sgr-635,Cr II,5.67,,5.31,
635,Sgr-635,Mn I,5.39,,4.60,
635,Sgr-635,Fe II,7.50,,7.19,0.17
635,Sgr-635,Ba II,2.13,,1.78,
635,Sgr-635,O I,8.72,,8.33,
635,Sgr-635,Ce II,1.58,,1.48,0.09
635,Sgr-635,Nd II,1.50,,1.34,0.17
635,Sgr-635,Ca I,6.36,,5.80,0.09
635,Sgr-635,Cu I,4.21,,3.05,
635,Sgr-635,V I,4.00,,3.06,0.08
635,Sgr-635,Na I,6.33,,5.40,0.03
635,Sgr-635,Zn I,4.60,,,
635,Sgr-635,Fe I,7.50,,7.14,0.12
635,Sgr-635,S I,,,,
635,Sgr-635,Mg I,7.58,,7.10,0.13
635,Sgr-635,La II,1.13,,1.16,0.25
635,Sgr-635,Al I,6.47,,,
635,Sgr-635,Co I,4.92,,4.02,0.13
635,Sgr-635,Sc II,3.17,,2.45,
656,Sgr-656,S I,,,,
656,Sgr-656,Ca I,6.36,,5.96,0.18
656,Sgr-656,Na I,6.33,,5.74,0.08
656,Sgr-656,Zn I,4.60,,3.92,
656,Sgr-656,Cu I,4.21,,3.05,
656,Sgr-656,Cr II,5.67,,5.45,
656,Sgr-656,Y II,2.24,,1.68,0.16
656,Sgr-656,O I,8.72,,8.15,
656,Sgr-656,V I,4.00,,3.38,0.04
656,Sgr-656,Si I,7.55,,7.25,0.08
656,Sgr-656,Fe I,7.50,,7.13,0.12
656,Sgr-656,Ni I,6.25,,5.51,0.10
656,Sgr-656,Fe II,7.50,,7.12,0.19
656,Sgr-656,Mn I,5.39,,4.75,
656,Sgr-656,Ba II,2.13,,2.20,
656,Sgr-656,Ce II,1.58,,1.29,0.06
656,Sgr-656,Ti I,5.02,,4.44,0.12
656,Sgr-656,La II,1.13,,1.33,0.15
656,Sgr-656,Mg I,7.58,,6.99,0.04
656,Sgr-656,Nd II,1.50,,1.47,0.13
656,Sgr-656,Sc II,3.17,,2.34,
656,Sgr-656,Co I,4.92,,4.07,0.06
656,Sgr-656,Al I,6.47,,,
709,Sgr-709,Fe II,7.50,,7.59,0.13
709,Sgr-709,S I,,,,
