,Reference,Ref,Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Gmag,BP-RP,AV,texp,SN,RV,e_RV,AV.1,Teff,e_Teff,logg,e_logg,[C/Fe],[C/Fe]c,[C/Fe]f,[Fe/H],[Fe/H],[Fe/H],[Fe/H],[FeII/H],[Na/H],[Mg/H],[Al/H],[Si/H],[K/H],[Ca/H],[Sc/H],[Ti/H],[TiII/H],[Cr/H],[Mn/H],[Co/H],[Ni/H],[Zn/H],[Sr/H],[Y/H],[Ba/H],e_[Fe/H],[Na/Fe],[Mg/Fe],[Al/Fe],[Si/Fe],[K/Fe],[Ca/Fe],[Sc/Fe],[Ti/Fe],[Cr/Fe],[Mn/Fe],[Co/Fe],[Ni/Fe],[Zn/Fe],[Sr/Fe],[Y/Fe],[Ba/Fe],[Eu/Fe],e_[Na/Fe],e_[Mg/Fe],e_[Al/Fe],e_[Si/Fe],e_[K/Fe],e_[Ca/Fe],e_[Sc/Fe],e_[Ti/Fe],e_[Cr/Fe],e_[Mn/Fe],e_[Co/Fe],e_[Ni/Fe],e_[Zn/Fe],e_[Sr/Fe],e_[Y/Fe],e_[Ba/Fe],e_[Eu/Fe]
0,Sestito+2024,SES24,Pristine_184431.86-293145.0,Gaia DR3 4071285193071973504,DW,Sagittarius,18:44:31.86,-29:31:44.98,281.13275,-29.52916,15.18,1.54,0.36,6000,20,142.57,0.67,0.357,4398.51,75.26,0.98,0.11,,,,-2.84,-2.84,-2.84,-2.84,,-2.87,-2.61,,-2.45,-2.26,-2.63,-2.7,-2.84,-2.32,-3.01,,,-2.92,,-2.52,-2.89,-3.24,0.05,-0.03,0.23,,0.38,0.57,0.21,0.13,0.52,-0.17,,,-0.08,,0.32,-0.05,-0.4,,0.08,0.05,,0.07,0.24,0.06,0.07,0.09,0.06,,,0.07,,0.06,0.06,0.08,
1,Sestito+2024,SES24,Pristine_184759.63-315322.5,Gaia DR3 6736966644012267648,DW,Sagittarius,18:47:59.63,-31:53:22.49,281.99844,-31.88958,15.41,1.45,0.37,6600,31,184.0,0.41,,4565.0,80.0,1.05,0.11,-0.6,0.77,0.17,-2.3,-2.3,-2.3,-2.3,-2.09,-2.26,-2.07,-2.1,-1.93,-9.99,-2.14,-2.22,-2.3,-1.74,-2.56,-3.29,-2.17,-2.12,-2.17,-2.59,-2.76,-2.54,0.02,0.04,0.24,0.2,0.37,-7.69,0.16,0.08,0.57,-0.26,-0.99,0.13,0.18,0.13,-0.29,-0.46,-0.23,0.0,0.05,0.06,0.05,0.05,0.05,0.04,0.1,0.04,0.08,0.04,0.19,0.05,0.04,0.04,0.06,0.12,0.2
2,Sestito+2024,SES24,Pristine_184843.24-314626.8,Gaia DR3 6736974929031902464,DW,Sagittarius,18:48:43.24,-31:46:26.80,282.18017,-31.77411,15.31,1.43,0.42,7200,51,149.02,0.71,0.4202,4597.03,77.66,1.11,0.1,-0.5,0.74,0.24,-3.12,-3.12,-3.12,-3.12,-3.16,-2.88,-2.67,,,-9.99,-3.01,-2.93,,-2.94,-3.34,,,-3.37,,,,-4.16,0.03,0.24,0.45,,,-6.87,0.11,0.2,0.19,-0.22,,,-0.25,,,,-1.03,0.0,0.03,0.04,,,0.06,0.03,0.05,0.1,0.1,,,0.06,,,,0.03,0.2
3,Sestito+2024,SES24,Pristine_184853.44-302718.4,Gaia DR3 6761132195931902208,DW,Sagittarius,18:48:53.44,-30:27:18.40,282.22267,-30.45511,15.0,1.6,0.52,5400,23,121.41,0.52,0.5168,4403.0,67.82,0.85,0.1,,,,-2.48,-2.48,-2.48,-2.48,-1.93,-2.66,-2.23,,,-2.03,-2.18,-2.39,-2.69,-1.93,-2.96,-3.23,,-2.63,,,-2.69,-2.86,0.02,-0.18,0.25,,,0.44,0.3,0.09,0.55,-0.49,-0.75,,-0.16,,,-0.22,-0.38,,0.08,0.05,,,0.09,0.04,0.09,0.05,0.06,0.05,,0.03,,,0.05,0.1,
4,Sestito+2024,SES24,Pristine_184957.04-291425.1,Gaia DR3 6761537434686446720,DW,Sagittarius,18:49:57.04,-29:14:25.12,282.48767,-29.24031,14.91,1.64,0.49,5400,53,125.57,0.74,0.4873,4323.62,69.64,0.79,0.11,,,,-2.66,-2.66,-2.66,-2.66,-2.38,-2.74,-2.35,-2.38,,-2.27,-2.36,-2.52,-2.7,-1.93,-3.12,-3.61,,-2.47,-2.21,-2.57,-2.58,-2.65,0.02,-0.08,0.31,0.28,,0.39,0.3,0.14,0.73,-0.46,-0.95,,0.19,0.45,0.09,0.08,0.01,-0.2,0.02,0.07,0.05,,0.03,0.05,0.08,0.04,0.11,0.05,,0.09,0.09,0.05,0.07,0.04,0.2
5,Sestito+2024,SES24,Pristine_185053.71-313317.7,Gaia DR3 6736253885603451776,DW,Sagittarius,18:50:53.71,-31:33:17.71,282.72379,-31.55492,15.12,1.48,0.49,6000,24,153.21,0.79,0.4877,4564.41,82.48,1.0,0.11,-0.2,0.09,-0.11,-1.22,-1.22,-1.22,-1.22,-1.34,-0.66,-0.85,-0.98,-0.67,-9.99,-0.83,-1.56,-1.29,-1.51,-1.5,-1.46,-1.6,-1.13,-1.33,-1.45,-1.74,-1.58,0.02,0.56,0.37,0.24,0.55,-8.77,0.39,-0.33,-0.28,-0.28,-0.23,-0.38,0.09,-0.1,-0.23,-0.52,-0.35,0.0,0.09,0.15,0.05,0.06,0.05,0.04,0.07,0.04,0.07,0.08,0.23,0.06,0.07,0.06,0.14,0.05,0.2
6,Sestito+2024,SES24,Pristine_185129.00-300942.8,Gaia DR3 6761245956700629504,DW,Sagittarius,18:51:29.00,-30:09:42.80,282.87083,-30.16189,15.79,1.37,0.45,9000,56,139.56,0.77,0.4454,4720.59,80.16,1.36,0.11,,,,-3.26,-3.26,-3.26,-3.26,-3.22,-3.22,-2.8,-3.19,-2.51,-2.69,-3.01,-3.07,-3.0,-3.03,-3.69,-4.5,-3.27,-3.43,,-3.63,,-4.41,0.02,0.05,0.47,0.08,0.75,0.57,0.26,0.19,0.23,-0.43,-1.24,-0.0,-0.17,,-0.36,,-1.15,0.0,0.04,0.04,0.05,0.05,0.07,0.05,0.1,0.04,0.11,0.02,0.07,0.05,,0.06,,0.04,0.2
7,Sestito+2024,SES24,Pristine_185210.30-315413.2,Gaia DR3 6736183692971769472,DW,Sagittarius,18:52:10.30,-31:54:13.21,283.04292,-31.90367,14.91,1.53,0.35,5400,48,170.25,0.57,0.3514,4416.12,72.07,0.88,0.1,-0.3,0.74,0.44,-2.69,-2.69,-2.69,-2.69,-2.53,-2.56,-2.27,-2.18,-2.04,-9.99,-2.33,-2.61,-2.56,-2.14,-3.08,-3.69,-2.8,-2.72,,-2.37,-2.67,-3.03,0.02,0.13,0.42,0.51,0.65,-7.3,0.36,0.08,0.55,-0.39,-1.0,-0.11,-0.03,,0.32,0.02,-0.34,0.0,0.03,0.11,0.05,0.13,0.05,0.03,0.06,0.04,0.09,0.08,0.03,0.04,,0.12,0.05,0.12,0.2
8,Sestito+2024,SES24,Pristine_185347.87-314747.6,Gaia DR3 6760197812879213056,DW,Sagittarius,18:53:47.87,-31:47:47.62,283.44946,-31.79656,14.89,1.61,0.42,5400,8,171.86,0.69,0.4216,4341.16,74.38,0.8,0.1,,,,-1.91,-1.91,-1.91,-1.91,-1.43,-2.06,-1.53,,,-9.99,-1.65,,,,-1.78,-2.81,,-2.01,-1.76,,,-1.53,0.02,-0.16,0.37,,,-8.09,0.26,,,0.12,-0.9,,-0.1,0.14,,,0.37,,0.1,0.2,,,0.06,0.05,,,0.03,0.06,,0.11,0.06,,,0.06,
9,Sestito+2024,SES24,Pristine_185704.51-301021.6,Gaia DR3 6760823641153762816,DW,Sagittarius,18:57:04.51,-30:10:21.61,284.26879,-30.17267,14.91,1.54,0.39,5400,26,140.96,0.63,0.3889,4403.23,74.16,0.87,0.1,,,,-2.91,-2.91,-2.91,-2.91,-2.52,-2.75,-2.44,,,-2.36,-2.56,-2.62,-2.67,-2.41,-3.25,,,-2.7,,-2.59,-3.14,-3.87,0.06,0.16,0.48,,,0.55,0.36,0.3,0.5,-0.33,,,0.21,,0.32,-0.22,-0.96,,0.12,0.08,,,0.09,0.07,0.08,0.06,0.08,,,0.08,,0.08,0.08,0.09,
10,Sestito+2024,SES24,Pristine_185855.01-301522.2,Gaia DR3 6760775163878990976,DW,Sagittarius,18:58:55.01,-30:15:22.21,284.72921,-30.25617,14.96,1.52,0.35,5400,26,134.67,0.55,0.345,4417.75,67.63,0.93,0.11,,,,-2.54,-2.54,-2.54,-2.54,-2.33,-1.93,-2.25,,,-2.11,-2.48,-2.28,-2.44,-2.31,-3.14,,,-2.54,,,-2.21,-1.41,0.02,0.61,0.3,,,0.44,0.06,0.26,0.24,-0.6,,,0.01,,,0.33,1.13,,0.02,0.07,,,0.02,0.05,0.04,0.06,0.02,,,0.05,,,0.05,0.05,
11,Sestito+2024,SES24,Pristine_190612.10-315504.4,Gaia DR3 6757188660021199360,DW,Sagittarius,19:06:12.10,-31:55:04.40,286.55042,-31.91789,15.21,1.42,0.28,6000,47,144.03,0.81,0.2751,4524.05,84.5,1.08,0.11,-0.5,0.73,0.23,-2.85,-2.85,-2.85,-2.85,-2.54,-2.89,-2.73,-3.24,-2.67,-9.99,-2.6,-2.41,-2.78,-2.29,-2.71,-3.88,-2.91,-2.5,-2.06,-3.57,-3.38,-3.78,0.02,-0.05,0.11,-0.4,0.18,-7.15,0.25,0.44,0.56,0.14,-1.04,-0.06,0.35,0.78,-0.72,-0.54,-0.93,0.0,0.09,0.07,0.03,0.05,0.05,0.06,0.1,0.05,0.13,0.08,0.14,0.19,0.05,0.15,0.05,0.03,0.2
