P184431-293145 142.57 0.67 4399 75 0.98 0.11 -2.84 0.05
P184759-315322 184.00 0.41 4565 80 1.05 0.11 -2.30 0.02
P184843-314626 149.02 0.71 4597 77 1.11 0.10 -3.12 0.03
P184853-302718 121.41 0.52 4403 67 0.85 0.10 -2.47 0.02
P184957-291425 125.57 0.74 4324 69 0.79 0.11 -2.66 0.02
P185053-313317 153.21 0.79 4564 82 1.00 0.11 -1.22 0.03
P185129-300942 139.56 0.77 4721 80 1.36 0.11 -3.26 0.02
P185210-315413 170.25 0.57 4416 72 0.88 0.10 -2.69 0.02
P185347-314747 171.86 0.69 4341 74 0.80 0.10 -1.91 0.02
P185704-301021 140.96 0.63 4403 74 0.87 0.10 -2.91 0.06
P185855-301522 134.67 0.55 4418 67 0.93 0.11 -2.54 0.02
P190612-315504 144.03 0.81 4524 84 1.08 0.11 -2.85 0.02
