Name,GaiaDR3,RA_deg,DEC_deg,Gmag,BP-RP,AV,texp,SN,RV,e_RV,[Fe/H],e_[Fe/H],[C/Fe],[C/Fe]c,[Na/Fe],e_[Na/Fe],[Mg/Fe],e_[Mg/Fe],[Al/Fe],e_[Al/Fe],[Si/Fe],e_[Si/Fe],[K/Fe],e_[K/Fe],[Ca/Fe],e_[Ca/Fe],[Sc/Fe],e_[Sc/Fe],[Ti/Fe],e_[Ti/Fe],[Cr/Fe],e_[Cr/Fe],[Mn/Fe],e_[Mn/Fe],[Co/Fe],e_[Co/Fe],[Ni/Fe],e_[Ni/Fe],[Zn/Fe],e_[Zn/Fe],[Sr/Fe],e_[Sr/Fe],[Y/Fe],e_[Y/Fe],[Ba/Fe],e_[Ba/Fe],[Eu/Fe],e_[Eu/Fe],[FeI/H],s_[FeI/H],o_[FeI/H],[FeII/H],s_[FeII/H],o_[FeII/H],[NaI/H],s_[NaI/H],o_[NaI/H],[MgI/H],s_[MgI/H],o_[MgI/H],[AlI/H],s_[AlI/H],o_[AlI/H],[SiI/H],s_[SiI/H],o_[SiI/H],[KI/H],s_[KI/H],o_[KI/H],[CaI/H],s_[CaI/H],o_[CaI/H],[ScII/H],s_[ScII/H],o_[ScII/H],[TiI/H],s_[TiI/H],o_[TiI/H],[TiII/H],s_[TiII/H],o_[TiII/H],[CrI/H],s_[CrI/H],o_[CrI/H],[MnI/H],s_[MnI/H],o_[MnI/H],[CoI/H],s_[CoI/H],o_[CoI/H],[NiI/H],s_[NiI/H],o_[NiI/H],[ZnI/H],s_[ZnI/H],o_[ZnI/H],[SrII/H],s_[SrII/H],o_[SrII/H],[YII/H],s_[YII/H],o_[YII/H],[BaII/H],s_[BaII/H],o_[BaII/H],[Fe/H]F,AV,Teff,e_Teff,logg,e_logg
Pristine_184431.86-293145.0,4071285193071973504,281.13275,-29.52916,15.18,1.54,0.36,6000,20,142.57,0.67,-2.837,0.05427204202399745,,,-0.03299988555908184,0.07993719125322421,0.23000000000000043,0.05427664825184534,,,0.3840000000000008,0.07379332317665702,0.5740000000000003,0.2361312231481778,0.2120000000000002,0.05587296196540755,0.13399988365173376,0.07379332317665702,0.5200000877380373,0.08691061238683424,-0.17099999999999982,0.05665646075651519,,,,,-0.08199999999999985,0.07379332317665702,,,0.32200000000000006,0.055587359583403,-0.05499995994567852,0.05574454722620451,-0.399,0.08184897400367672,,,-2.8369999999999997,0.18,11,,,,-2.869999885559082,0.083,2,-2.6069999999999993,0.001,2,,,,-2.4529999999999994,0.0,1,-2.263,0.325,2.0,-2.625,0.023,3,-2.7030001163482664,0.0,1,-2.84,0.036,3,-2.316999912261963,0.096,2,-3.0079999999999996,0.023,2,,,,,,,-2.9189999999999996,0.0,1,,,,-2.515,0.017,2,-2.8919999599456787,0.018,2,-3.236,0.137,5,-2.22,0.357,4398.510474,75.26339455,0.9833403547,0.1059108573
Pristine_184759.63-315322.5,6736966644012267648,281.99844,-31.88958,15.41,1.45,0.37,6600,31,184.00,0.41,-2.302,0.01692033901375577,-0.6,0.77,0.042999999999999705,0.045676009811939845,0.2360000152587891,0.06061598693694944,0.20000000000000018,0.05278539449829305,0.3740000267028809,0.05278539449829305,-7.688000000000001,0.05278539449829305,0.15799999999999992,0.04428033279392134,0.08099999618530296,0.10043056244162145,0.5650000114440918,0.04368747154090888,-0.25600008773803706,0.07843078975396929,-0.9860000114440921,0.043249252852973374,0.13200001907348646,0.19174800617565865,0.18200011444091801,0.05144379981112489,0.1299999999999999,0.0354160679966089,-0.28900000000000015,0.03603883838777862,-0.4579999904632568,0.05611192272895686,-0.23399999999999999,0.11705766900267758,0.0,0.2,-2.3019999999999996,0.232,188,-2.092,0.183,20,-2.2590000000000003,0.06,2,-2.065999984741211,0.154,7,-2.102,0.0,1,-1.9279999732971191,0.0,1,-9.99,-9.99,0.0,-2.144,0.183,20,-2.221000003814697,0.28,8,-2.301,0.186,17,-1.7369999885559082,0.245,37,-2.558000087738037,0.254,11,-3.2880000114440917,0.089,5,-2.1699999809265136,0.382,4,-2.119999885559082,0.119,6,-2.1719999999999997,0.044,2,-2.591,0.045,2,-2.759999990463257,0.107,4,-2.536,0.259,5,-2.236,,4565.0,80.0,1.05,0.11
Pristine_184843.24-314626.8,6736974929031902464,282.18017,-31.77411,15.31,1.43,0.42,7200,51,149.02,0.71,-3.124,0.02543259064009537,-0.5,0.74,0.24200003051757824,0.028130351342751953,0.44900004768371593,0.038041424789300414,,,,,-6.866,0.05609649424577856,0.11299999999999999,0.03235454630599333,0.19599997901916533,0.04706183875144135,0.18600003623962413,0.10422099916363624,-0.2159999141693114,0.09834539474050967,,,,,-0.25,0.05609649424577856,,,,,,,-1.0340000000000003,0.029829794948451567,0.0,0.2,-3.1239999999999997,0.197,60,-3.163,0.156,3,-2.881999969482422,0.017,2,-2.674999952316284,0.049,3,,,,,,,-9.99,-9.99,0.0,-3.011,0.04,4,-2.928000020980835,0.056,2,,,,-2.937999963760376,0.226,5,-3.3399999141693115,0.19,4,,,,,,,-3.3739999999999997,0.0,1,,,,,,,,,,-4.158,0.027,3,-2.91,0.4202,4597.033794,77.65718584,1.109998814,0.1026780778
Pristine_184853.44-302718.4,6761132195931902208,282.22267,-30.45511,15.00,1.60,0.52,5400,23,121.41,0.52,-2.475,0.022628096898121355,,,-0.17999999999999972,0.0810063625231424,0.24800000000000066,0.045522310675434406,,,,,0.4410000000000003,0.08918537306773329,0.29600000000000026,0.03548438924853971,0.08699994087219265,0.09474191664321958,0.5499999999999996,0.04639268012554103,-0.48999991416931143,0.06416668997668575,-0.7530000686645506,0.05488197125860887,,,-0.1590000629425048,0.029212396385166737,,,,,-0.2190000057220458,0.0468404821626632,-0.383,0.10313598193274144,,,-2.4749999999999996,0.258,130,-1.93,0.474,10,-2.6550000000000002,0.11,2,-2.2269999999999994,0.079,4,,,,,,,-2.034,0.122,2.0,-2.179,0.082,9,-2.3880000591278074,0.184,4,-2.691,0.008,2,-1.9250000000000003,0.081,4,-2.9649999141693115,0.104,3,-3.2280000686645507,0.0,1,,,,-2.634000062942505,0.032,3,,,,,,,-2.694000005722046,0.058,2,-2.858,0.225,5,-2.337,0.5168,4403.003874,67.82001849,0.8502147676,0.1014646232
Pristine_184957.04-291425.1,6761537434686446720,282.48767,-29.24031,14.91,1.64,0.49,5400,53,125.57,0.74,-2.6580000000000004,0.0203701381619181,,,-0.07899998855590784,0.020382407334160312,0.3080000000000003,0.07010665110198626,0.27500000000000036,0.0539902077115437,,,0.39000000000000057,0.034284727339380025,0.30100000000000016,0.05490120698796733,0.1370000438690191,0.07554430838081472,0.726,0.036976889469269705,-0.46199999999999974,0.10529550099000258,-0.9519999999999995,0.0539902077115437,,,0.18800000000000017,0.08824818711302591,0.4500000000000002,0.08588912928150821,0.0900000000000003,0.0539902077115437,0.08299995231628454,0.07146462431675991,0.0050000000000003375,0.041417901066273646,-0.2,0.2,-2.6580000000000004,0.19,87,-2.384,0.104,10,-2.736999988555908,0.001,2,-2.3499999999999996,0.15,5,-2.383,0.0,1,,,,-2.268,0.039,2.0,-2.357,0.114,5,-2.5209999561309813,0.126,3,-2.696,0.106,17,-1.9320000000000004,0.148,23,-3.1199999999999997,0.231,5,-3.6099999999999994,0.0,1,,,,-2.4699999999999998,0.192,5,-2.2079999999999997,0.118,2,-2.568,0.0,1,-2.575000047683716,0.137,4,-2.653,0.051,2,-2.231,0.4873,4323.620729,69.63703172,0.7869326848,0.1132477544
Pristine_185053.71-313317.7,6736253885603451776,282.72379,-31.55492,15.12,1.48,0.49,6000,24,153.21,0.79,-1.2240000000000002,0.01986216874176727,-0.2,0.09,0.5620000000000003,0.09336865505685747,0.37299998903274556,0.14948747689062933,0.24400000000000022,0.053800611029303724,0.5530000000000008,0.0647843017028542,-8.766,0.053800611029303724,0.39200000000000024,0.0374035758485318,-0.33200004196166977,0.07412830597771972,-0.28100000000000014,0.038403073701294824,-0.2809999952316282,0.06578447123917122,-0.23399999999999932,0.078524373131518,-0.3780000000000001,0.22503112173014297,0.09300000000000108,0.06234476227791773,-0.1039999999999992,0.07412830597771972,-0.22799999999999976,0.05596879261808706,-0.5170000562667847,0.1365111927540245,-0.35299999999999976,0.04691221319791294,0.0,0.2,-1.2240000000000002,0.262,174,-1.335,0.226,25,-0.6619999999999999,0.204,5,-0.8510000109672546,0.392,7,-0.98,0.0,1,-0.6709999999999994,0.195,10,-9.99,-9.99,0.0,-0.832,0.152,23,-1.55600004196167,0.202,8,-1.285,0.281,21,-1.5050000000000003,0.183,31,-1.5049999952316284,0.208,11,-1.4579999999999997,0.201,7,-1.6020000000000003,0.317,2,-1.1309999999999993,0.196,11,-1.3279999999999994,0.101,2,-1.452,0.074,2,-1.7410000562667847,0.302,5,-1.577,0.085,4,-2.629,0.4877,4564.408118,82.47746716,1.001801095,0.1138989514
Pristine_185129.00-300942.8,6761245956700629504,282.87083,-30.16189,15.79,1.37,0.45,9000,56,139.56,0.77,-3.263000011444092,0.019914771674340668,,,0.046000003814697266,0.04181624242852436,0.46600001144409164,0.037267252794392046,0.07600001144409196,0.053820053240786765,0.749000011444092,0.053820053240786765,0.5740000114440917,0.07482378051689931,0.2560000114440917,0.04612885060473379,0.19300003051757875,0.10158378215792022,0.23399996757507324,0.038582944229109524,-0.42999998855590826,0.11400350052012052,-1.2409999885559078,0.021282186545899244,-0.004999988555907997,0.06655773031117014,-0.1700000762939453,0.053820053240786765,,,-0.3629999885559081,0.05863956114127323,,,-1.1499999885559085,0.03517240581537068,0.0,0.2,-3.263000011444092,0.206,107,-3.222,0.235,8,-3.2170000076293945,0.052,2,-2.7969999999999997,0.063,4,-3.187,0.0,1,-2.5139999999999993,0.0,1,-2.689,0.102,2.0,-3.007,0.138,11,-3.0699999809265135,0.244,6,-3.001,0.174,8,-3.0290000438690186,0.155,22,-3.6929999999999996,0.251,5,-4.504,0.013,3,-3.2680000000000002,0.11,3,-3.433000087738037,0.0,1,,,,-3.626,0.078,2,,,,-4.413,0.041,2,-2.932,0.4454,4720.592711,80.16115809,1.357350484,0.1147056462
Pristine_185210.30-315413.2,6736183692971769472,283.04292,-31.90367,14.91,1.53,0.35,5400,48,170.25,0.57,-2.690999984741211,0.01555238320568984,-0.3,0.74,0.12999998474121055,0.0280424075888042,0.4219999847412117,0.11136520981307384,0.5119999847412111,0.05236293176834758,0.6499999847412115,0.13384273093215268,-7.299000015258789,0.05236293176834758,0.35699998474121086,0.03198635057921775,0.08400006294250506,0.06018202907327588,0.5489999847412106,0.04497462199259293,-0.38700008392333984,0.08912468769488036,-0.995000015258789,0.07806488726294698,-0.11300001525878933,0.029295220714477585,-0.032000064849853516,0.03955852150139871,,,0.3179999847412107,0.11770461598160296,0.020999908447265625,0.049465913752569285,-0.342000015258789,0.12397933950209859,0.0,0.2,-2.690999984741211,0.193,154,-2.526,0.145,10,-2.5610000000000004,0.033,2,-2.2689999999999992,0.191,3,-2.179,0.0,1,-2.0409999999999995,0.188,2,-9.99,-9.99,0.0,-2.334,0.125,20,-2.606999921798706,0.13,5,-2.563,0.216,13,-2.1420000000000003,0.211,25,-3.078000068664551,0.152,3,-3.6859999999999995,0.153,4,-2.8040000000000003,0.043,3,-2.7230000495910645,0.063,3,,,,-2.373,0.165,2,-2.6700000762939453,0.105,5,-3.033,0.246,4,-2.276,0.3514,4416.120569,72.06672889,0.8841362875,0.1014323019
Pristine_185347.87-314747.6,6760197812879213056,283.44946,-31.79656,14.89,1.61,0.42,5400,8,171.86,0.69,-1.905,0.02398838214378173,,,-0.15500000000000047,0.10323488982837198,0.3710000000000002,0.19833248803766226,,,,,-8.085,0.05545667207718208,0.26,0.05484076170644216,,,,,0.12400000000000033,0.032022530784997394,-0.9039999198913573,0.05545667207718208,,,-0.10200000000000009,0.11003382424452994,0.14400000000000035,0.05545667207718208,,,,,0.373,0.05772081494466364,,,-1.9050000000000002,0.255,113,-1.434,0.282,17,-2.0600000000000005,0.142,2,-1.5339999999999998,0.341,3,,,,,,,-9.99,-9.99,0.0,-1.645,0.191,15,,,,,,,,,,-1.7809999999999997,0.03,2,-2.8089999198913573,0.0,1,,,,-2.0069999999999997,0.186,3,-1.7609999999999997,0.0,1,,,,,,,-1.532,0.105,4,-2.081,0.4216,4341.15751,74.37866932,0.8004491834,0.1032414746
Pristine_185704.51-301021.6,6760823641153762816,284.26879,-30.17267,14.91,1.54,0.39,5400,26,140.96,0.63,-2.914999961853028,0.060000757570974964,,,0.16199994087219283,0.11575876169470245,0.47999996185302773,0.07652673329687418,,,,,0.5519999618530278,0.08849910117674026,0.3559999618530276,0.0689076017269327,0.296999883651734,0.08246266372784054,0.5,0.06331211765866186,-0.3300000381469723,0.07810307874271609,,,,,0.2149999618530276,0.07810307874271609,,,0.3219999618530278,0.07810307874271609,-0.22200012207031206,0.07810307874271609,-0.9580000381469724,0.08570545048259325,,,-2.9149999618530273,0.199,11,-2.515,0.498,3,-2.753000020980835,0.14,2,-2.4349999999999996,0.095,4,,,,,,,-2.363,0.092,2.0,-2.559,0.083,6,-2.6180000782012938,0.08,2,-2.669,0.014,2,-2.4149999618530273,0.035,3,-3.2449999999999997,0.0,1,,,,,,,-2.6999999999999997,0.0,1,,,,-2.593,0.0,1,-3.13700008392334,0.0,1,-3.873,0.106,3,-2.4,0.3889,4403.226246,74.162108,0.8670404405,0.09798940995
Pristine_185855.01-301522.2,6760775163878990976,284.72921,-30.25617,14.96,1.52,0.35,5400,26,134.67,0.55,-2.5410000000000004,0.02135436371230766,,,0.6080000000000003,0.02154086464275569,0.2950000000000004,0.07414181579619912,,,,,0.4360000000000004,0.021401141314367374,0.0600000000000005,0.05077212669917936,0.26000005340576227,0.04020375831798385,0.23599993324279822,0.05804159742267354,-0.5989999999999998,0.02154086464275569,,,,,0.0050000000000003375,0.054369190260270775,,,,,0.3309999618530277,0.054369190260270775,1.1330000000000005,0.0545802972651993,,,-2.5410000000000004,0.227,113,-2.333,0.182,7,-1.9329999999999998,0.004,2,-2.2459999999999996,0.142,4,,,,,,,-2.105,0.002,2.0,-2.481,0.103,5,-2.280999946594238,0.059,3,-2.438,0.212,10,-2.305000066757202,0.179,11,-3.1399999999999997,0.004,2,,,,,,,-2.5359999999999996,0.0,1,,,,,,,-2.2100000381469727,0.0,1,-1.408,0.087,3,-2.634,0.345,4417.751968,67.631039,0.928964687,0.1139675401
Pristine_190612.10-315504.4,6757188660021199360,286.55042,-31.91789,15.21,1.42,0.28,6000,47,144.03,0.81,-2.845,0.021447610589527218,-0.5,0.73,-0.04700000000000015,0.08752142594816426,0.11300000000000043,0.07177917525299382,-0.395,0.033830459648074546,0.17900000000000071,0.054405882034941774,-7.145,0.054405882034941774,0.24700000000000033,0.059161502122016256,0.43600003242492713,0.09873847129809998,0.5579999999999998,0.04984977432245807,0.137,0.13274411474713296,-1.037,0.078993670632526,-0.06499999999999995,0.13793235056843384,0.347,0.18860593840067708,0.7830000000000008,0.054405882034941774,-0.7199999999999998,0.15353338399188626,-0.5359999999999996,0.054405882034941774,-0.9319999999999999,0.029866369046136158,0.0,0.2,-2.8449999999999998,0.23,115,-2.543,0.285,10,-2.8920000000000003,0.12,2,-2.7319999999999993,0.137,4,-3.24,0.03,7   2,-2.6659999999999995,0.0,1,-9.99,-9.99,0.0,-2.598,0.191,12,-2.408999967575073,0.255,7,-2.778,0.236,13,-2.2870000000000004,0.225,25,-2.7079999999999997,0.393,9,-3.8819999999999997,0.17,5,-2.91,0.236,3,-2.4979999999999998,0.419,5,-2.0619999999999994,0.0,1,-3.565,0.215,2,-3.3810000000000002,0.0,1,-3.777,0.036,3,-2.542,0.2751,4524.053154,84.50347212,1.079948683,0.1121448035
