All,PIGS,[Fe/H],[C/Fe],corr_[C/Fe],[Na/Fe],[Mg/Fe],[Al/Fe],[Si/Fe],[K/Fe],[Ca/Fe],[Sc/Fe],[Ti/Fe],[Cr/Fe],[Mn/Fe],[Co/Fe],[Ni/Fe],[Zn/Fe],[Sr/Fe],[Y/Fe],[Ba/Fe],[Eu/Fe],Teff,logg,recno
All,Pristine_184431.86-293145.0,-2.837,,,-0.03299988555908184,0.23000000000000043,,0.3840000000000008,0.5740000000000003,0.2120000000000002,0.13399988365173376,0.5200000877380373,-0.17099999999999982,,,-0.08199999999999985,,0.32200000000000006,-0.05499995994567852,-0.399,,4398.510474,0.9833403547,1
All,Pristine_184759.63-315322.5,-2.302,-0.6,0.77,0.042999999999999705,0.2360000152587891,0.20000000000000018,0.3740000267028809,-7.688000000000001,0.15799999999999992,0.08099999618530296,0.5650000114440918,-0.25600008773803706,-0.9860000114440921,0.13200001907348646,0.18200011444091801,0.1299999999999999,-0.28900000000000015,-0.4579999904632568,-0.23399999999999999,0.0,4565.0,1.05,2
All,Pristine_184843.24-314626.8,-3.124,-0.5,0.74,0.24200003051757824,0.44900004768371593,,,-6.866,0.11299999999999999,0.19599997901916533,0.18600003623962413,-0.2159999141693114,,,-0.25,,,,-1.0340000000000003,0.0,4597.033794,1.109998814,3
All,Pristine_184853.44-302718.4,-2.475,,,-0.17999999999999972,0.24800000000000066,,,0.4410000000000003,0.29600000000000026,0.08699994087219265,0.5499999999999996,-0.48999991416931143,-0.7530000686645506,,-0.1590000629425048,,,-0.2190000057220458,-0.383,,4403.003874,0.8502147676,4
All,Pristine_184957.04-291425.1,-2.6580000000000004,,,-0.07899998855590784,0.3080000000000003,0.27500000000000036,,0.39000000000000057,0.30100000000000016,0.1370000438690191,0.726,-0.46199999999999974,-0.9519999999999995,,0.18800000000000017,0.4500000000000002,0.0900000000000003,0.08299995231628454,0.0050000000000003375,-0.2,4323.620729,0.7869326848,5
All,Pristine_185053.71-313317.7,-1.2240000000000002,-0.2,0.09,0.5620000000000003,0.37299998903274556,0.24400000000000022,0.5530000000000008,-8.766,0.39200000000000024,-0.33200004196166977,-0.28100000000000014,-0.2809999952316282,-0.23399999999999932,-0.3780000000000001,0.09300000000000108,-0.1039999999999992,-0.22799999999999976,-0.5170000562667847,-0.35299999999999976,0.0,4564.408118,1.001801095,6
All,Pristine_185129.00-300942.8,-3.263000011444092,,,0.046000003814697266,0.46600001144409164,0.07600001144409196,0.749000011444092,0.5740000114440917,0.2560000114440917,0.19300003051757875,0.23399996757507324,-0.42999998855590826,-1.2409999885559078,-0.004999988555907997,-0.1700000762939453,,-0.3629999885559081,,-1.1499999885559085,0.0,4720.592711,1.357350484,7
All,Pristine_185210.30-315413.2,-2.690999984741211,-0.3,0.74,0.12999998474121055,0.4219999847412117,0.5119999847412111,0.6499999847412115,-7.299000015258789,0.35699998474121086,0.08400006294250506,0.5489999847412106,-0.38700008392333984,-0.995000015258789,-0.11300001525878933,-0.032000064849853516,,0.3179999847412107,0.020999908447265625,-0.342000015258789,0.0,4416.120569,0.8841362875,8
All,Pristine_185347.87-314747.6,-1.905,,,-0.15500000000000047,0.3710000000000002,,,-8.085,0.26,,,0.12400000000000033,-0.9039999198913573,,-0.10200000000000009,0.14400000000000035,,,0.373,,4341.15751,0.8004491834,9
All,Pristine_185704.51-301021.6,-2.914999961853028,,,0.16199994087219283,0.47999996185302773,,,0.5519999618530278,0.3559999618530276,0.296999883651734,0.5,-0.3300000381469723,,,0.2149999618530276,,0.3219999618530278,-0.22200012207031206,-0.9580000381469724,,4403.226246,0.8670404405,10
All,Pristine_185855.01-301522.2,-2.5410000000000004,,,0.6080000000000003,0.2950000000000004,,,0.4360000000000004,0.0600000000000005,0.26000005340576227,0.23599993324279822,-0.5989999999999998,,,0.0050000000000003375,,,0.3309999618530277,1.1330000000000005,,4417.751968,0.928964687,11
All,Pristine_190612.10-315504.4,-2.845,-0.5,0.73,-0.04700000000000015,0.11300000000000043,-0.395,0.17900000000000071,-7.145,0.24700000000000033,0.43600003242492713,0.5579999999999998,0.137,-1.037,-0.06499999999999995,0.347,0.7830000000000008,-0.7199999999999998,-0.5359999999999996,-0.9319999999999999,0.0,4524.053154,1.079948683,12
