Found,Query_ID,RA_input,DEC_input,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,[MOP93] 10,,,[MOP93] 10,06 41 46.3699,-51 01 22.684,14.0,14.0,0.0598,0.0613,90.0,A,O,2020yCat.1350....0G,,19.152,17.906,,16.497,,,14.967,RGB*,,06 41 46.3699,-51 01 22.684,0.396,0.168,,209.037994,1.0
True,[MOP93] 12,,,[MOP93] 12,06 41 36.4795,-50 56 23.180,14.0,14.0,0.0658,0.0599,90.0,A,O,2020yCat.1350....0G,,19.174,17.907,,16.545,15.596,14.844,14.772,RGB*,,06 41 36.4795,-50 56 23.180,0.605,0.121,0.0487,227.93,1.0
True,[SMS86] 62,,,[SMS86]  62,06 41 57.8030,-50 59 53.157,14.0,14.0,0.0565,0.0552,90.0,A,O,2020yCat.1350....0G,,19.005,17.685,,16.222,15.151,14.571,14.424,RGB*,,06 41 57.8030,-50 59 53.157,0.563,0.13,0.0496,224.0,1.0
True,[MOP93] 4,,,[SMS86]  70,06 41 48.2299,-50 55 01.672,14.0,14.0,0.0583,0.0526,90.0,A,O,2020yCat.1350....0G,,18.979,17.626,,16.181,15.231,14.526,14.512,RRLyrae,,06 41 48.2299,-50 55 01.672,0.352,0.2,,224.5,1.0
True,[MOP93] 3,,,[MOP93]  3,06 41 54.5940,-50 57 00.688,14.0,14.0,0.057,0.0518,90.0,A,O,2020yCat.1350....0G,,19.147,17.685,,16.098,15.091,14.488,14.275,RGB*,,06 41 54.5940,-50 57 00.688,0.477,0.173,,230.1,1.0
True,2MASS J02401001-3429589,,,2MASS J02401001-3429589,02 40 10.0211,-34 29 58.971,14.0,14.0,0.0747,0.1026,90.0,A,O,2020yCat.1350....0G,,19.76,18.2,18.06,16.75,15.937,15.198,14.977,RGB*,,02 40 10.0211,-34 29 58.971,1.312,-0.978,0.1025,52.1759,1.0
True,WEL 112,,,WEL 112,02 40 04.4134,-34 27 11.601,14.0,14.0,0.0502,0.0716,90.0,A,O,2020yCat.1350....0G,,19.946,18.37,17.414,,15.632,14.833,14.758,Star,K5,02 40 04.4134,-34 27 11.601,0.491,-0.319,0.0255,52.97,1.0
True,[MOW91] 25,,,[MOW91]  25,02 39 47.1107,-34 31 49.878,14.0,14.0,0.0575,0.0782,90.0,A,O,2020yCat.1350....0G,,20.269,18.59,17.746,,15.924,15.204,15.345,Star,,02 39 47.1107,-34 31 49.878,0.294,-0.223,0.1431,47.47,1.0
True,[MOV98] 2,,,[MOV98]  2,10 08 33.5218,+12 20 44.801,14.0,14.0,0.2399,0.1984,90.0,A,O,2020yCat.1350....0G,,,19.48,,18.11,16.766,16.462,15.937,Star,,10 08 33.5218,+12 20 44.801,-0.379,0.004,,295.6,1.0
True,[MOV98] 5,,,[MOV98]  5,10 08 22.0511,+12 20 20.815,14.0,14.0,0.2228,0.1937,90.0,A,O,2020yCat.1350....0G,,20.53,19.078,,17.685,16.592,16.12,15.68,RGB*,,10 08 22.0511,+12 20 20.815,-0.439,-0.075,,308.3,1.0
True,NGC 7099 4,,,NGC  7099     4,21 40 26.6227,-23 14 35.462,14.0,14.0,0.0126,0.0116,90.0,A,O,2020yCat.1350....0G,,13.98,12.83,12.593,,10.68,10.091,9.997,ChemPec*,,21 40 26.6227,-23 14 35.462,-0.796,-7.445,0.0743,-184.953003,1.0
False,M55 283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,M55 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Cl* NGC 4590 ALC 53,,,Cl* NGC 4590    ALC      53,12 39 30.8380,-26 47 52.674,14.0,14.0,0.0116,0.0092,90.0,A,O,2020yCat.1350....0G,,14.166,12.76,,11.551,10.644,10.007,9.883,RGB*,,12 39 30.8380,-26 47 52.674,-2.733,1.884,0.1022,-94.480904,1.0
True,2MASS J01001708-3345139,,,2MASS J01001708-3345139,01 00 17.0896,-33 45 13.862,14.0,14.0,0.082,0.041,90.0,A,O,2020yCat.1350....0G,,19.14,18.152,,17.14,16.21,16.05,15.79,RGB*,,01 00 17.0896,-33 45 13.862,0.077,-0.073,0.0001,111.4,1.0
True,SCMS 1023,,,SCMS 1023,01 00 12.5294,-33 43 01.362,14.0,14.0,0.0755,0.0379,90.0,A,O,2020yCat.1350....0G,,19.23,18.125,,16.897,16.25,15.49,15.36,RGB*,,01 00 12.5294,-33 43 01.362,0.113,-0.18,0.0032,115.06,1.0
True,SCMS 966,,,SCMS  966,01 00 18.2971,-33 42 12.275,14.0,14.0,0.0638,0.0264,90.0,A,O,2020yCat.1350....0G,,18.86,17.518,,16.139,15.21,14.68,14.4,RGB*,,01 00 18.2971,-33 42 12.275,0.121,-0.153,0.0286,104.04,1.0
True,SCMS 1088,,,SCMS 1088,01 00 12.7787,-33 41 15.835,14.0,14.0,0.0507,0.0248,90.0,A,O,2020yCat.1350....0G,,18.48,17.28,,15.833,14.95,14.35,14.3,RGB*,,01 00 12.7787,-33 41 15.835,0.074,-0.111,,97.413399,1.0
True,SCMS 648,,,SCMS  648,00 59 58.2618,-33 41 08.665,14.0,14.0,0.0684,0.0307,90.0,A,O,2020yCat.1350....0G,,18.89,17.679,,16.324,15.47,14.79,14.64,RGB*,,00 59 58.2618,-33 41 08.665,0.154,-0.167,0.1129,105.514,1.0
