Name,Simbad_Identifier,System,Loc,RA_hms,DEC_dms,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,
Car-10,[MOP93] 10,Carina,DW,06:41:46.3699,-51:01:22.684,,19.152,17.906,,16.497,,,14.967,
Car-12,[MOP93] 12,Carina,DW,06:41:36.4795,-50:56:23.180,,19.174,17.907,,16.545,15.596,14.844,14.772,
Car-2,[SMS86] 62,Carina,DW,06:41:57.8030,-50:59:53.157,,19.005,17.685,,16.222,15.151,14.571,14.424,
Car-3,[MOP93] 3,Carina,DW,06:41:54.5940,-50:57:00.688,,19.147,17.685,,16.098,15.091,14.488,14.275,
Car-4,[MOP93] 4,Carina,DW,06:41:48.2299,-50:55:01.672,,19.147,17.685,,16.098,15.091,14.488,14.275,
Fnx-12,2MASS J02401001-3429589,Fornax,DW,02:40:10.0211,-34:29:58.971,,19.76,18.2,18.06,16.75,15.937,15.198,14.977,
Fnx-21,WEL 112,Fornax,DW,02:40:04.4134,-34:27:11.601,,19.946,18.37,17.414,,15.632,14.833,14.758,
Fnx-25,[MOW91] 25,Fornax,DW,02:39:47.1107,-34:31:49.878,,20.269,18.59,17.746,,15.924,15.204,15.345,
Leo-2,[MOV98] 2,Leo I,DW,10:08:33.5218,+12:20:44.801,,,19.48,,18.11,16.766,16.462,15.937,
Leo-5,[MOV98] 5,Leo I,DW,10:08:22.0511,+12:20:20.815,,20.53,19.078,,17.685,16.592,16.12,15.68,
M30-D,NGC 7099 4,M30,GC,21:40:26.6227,-23:14:35.462,,13.98,12.83,12.593,,10.68,10.091,9.997,
M55-283,,M55,GC,,,,,,,,,,,
M55-76,,M55,GC,,,,,,,,,,,
M68-53,Cl* NGC 4590 ALC 53,M68,GC,12:39:30.8380,-26:47:52.674,,14.166,12.76,,11.551,10.644,10.007,9.883,
Scl-400,2MASS J01001708-3345139,Sculptor,DW,01:00:17.0896,-33:45:13.862,,19.14,18.152,,17.14,16.21,16.05,15.79,
Scl-459,SCMS 1023,Sculptor,DW,01:00:12.5294,-33:43:01.362,,19.23,18.125,,16.897,16.25,15.49,15.36,
Scl-461,SCMS 966,Sculptor,DW,01:00:18.2971,-33:42:12.275,,18.86,17.518,,16.139,15.21,14.68,14.4,
Scl-479,SCMS 1088,Sculptor,DW,01:00:12.7787,-33:41:15.835,,18.48,17.28,,15.833,14.95,14.35,14.3,
Scl-482,SCMS 648,Sculptor,DW,00:59:58.2618,-33:41:08.665,,18.89,17.679,,16.324,15.47,14.79,14.64,
