Datetime,Object,t_exp,Airmass,DIMM,Comments
16Aug2000 - 04:24,Scl-H461,3600,1.36,0.92,
16Aug2000 - 05:26,Scl-H461,3600,1.15,0.98,
16Aug2000 - 06:29,Scl-H461,3600,1.05,0.66,
16Aug2000 - 07:34,Scl-H400,1945,1.02,0.46,tracking
16Aug2000 - 09:03,Scl-H400,3600,1.09,0.55,
17Aug2000 - 04:53,Scl-H400,3600,1.23,0.58,
17Aug2000 - 05:56,Scl-H400,3600,1.09,0.56,
18Aug2000 - 04:18,Scl-H479,3600,1.35,0.54,
18Aug2000 - 05:20,Scl-H479,3600,1.15,0.53,
19Aug2000 - 03:24,Scl-H482,1800,1.80,0.45,
19Aug2000 - 03:56,Scl-H482,1800,1.50,0.44,
19Aug2000 - 04:30,Scl-H482,3600,1.28,0.45,
19Aug2000 - 05:35,Scl-H459,3600,1.11,0.32,
19Aug2000 - 06:37,Scl-H459,3402,1.03,0.29,tracking
19Aug2000 - 09:06,Scl-H459,3600,1.11,0.85,
17Aug2000 - 07:04,Fnx-M22,2068,1.17,0.82,C-star
17Aug2000 - 08:58,Fnx-M12,1273,1.02,0.70,tracking
18Aug2000 - 06:26,Fnx-M12,3600,1.24,0.53,
18Aug2000 - 07:28,Fnx-M12,4500,1.09,0.47,
18Aug2000 - 08:44,Fnx-M12,1890,1.02,0.43,tracking
18Aug2000 - 09:29,Fnx-M12,1800,1.02,0.43,
19Aug2000 - 07:58,Fnx-M25,3600,1.05,0.57,
20Aug2000 - 07:45,Fnx-M25,3600,1.06,0.85,
20Aug2000 - 08:47,Fnx-M25,3600,1.02,1.08,
21Aug2000 - 09:16,Fnx-M25,3200,1.02,0.84,
20Aug2000 - 09:51,Fnx-M21,1200,1.03,0.99,
22Aug2000 - 07:09,Fnx-M21,3200,1.10,0.74,
22Aug2000 - 08:10,Fnx-M21,3600,1.03,0.89,
22Aug2000 - 09:12,Fnx-M21,2382,1.02,0.79,tracking
22Aug2000 - 09:55,Fnx-M21,572,1.03,0.80,twilight
17Aug2000 - 04:15,M30-starD,600,1.00,0.49,
17Aug2000 - 04:34,M55-star76,300,1.12,0.42,
17Aug2000 - 04:40,M55-star76,300,1.13,0.49,
18Aug2000 - 23:17,M55-star283,300,1.35,0.46,
18Aug2000 - 23:23,M55-star283,300,1.33,0.48,
17Jan2001 - 02:07,Car-12,3600,1.15,0.42,
17Jan2001 - 03:11,Car-12,3600,1.12,0.47,
17Jan2001 - 04:17,Car-2,3600,1.16,0.61,
17Jan2001 - 05:18,Car-2,3600,1.25,0.62,
18Jan2001 - 01:31,Car-4,3600,1.18,,
18Jan2001 - 02:33,Car-4,3600,1.13,,
18Jan2001 - 03:39,Car-10,3600,1.13,,
18Jan2001 - 04:41,Car-10,3600,1.19,0.46,
19Jan2001 - 00:19,Car-3,1200,1.37,0.76,
19Jan2001 - 02:33,Car-3,3600,1.13,0.76,
19Jan2001 - 03:34,Car-3,2700,1.12,0.67,
17Jan2001 - 06:24,LeoI-2,3600,1.26,0.57,
17Jan2001 - 07:24,LeoI-2,4500,1.32,0.61,
18Jan2001 - 05:48,LeoI-2,4500,1.29,,
19Jan2001 - 08:04,LeoI-2,3400,1.41,0.50,
18Jan2001 - 07:10,LeoI-24,3100,1.28,,C-star
18Jan2001 - 08:23,LeoI-5,1800,1.40,0.51,
19Jan2001 - 04:25,LeoI-5,3600,1.49,0.64,
19Jan2001 - 05:27,LeoI-5,4500,1.31,,
19Jan2001 - 06:44,LeoI-5,4500,1.28,,
17Jan2001 - 08:46,M68-star53,300,1.02,0.66,
17Jan2001 - 08:52,M68-star53,300,1.01,0.57,
