Name,Name2,Name3,Name4,Simbad_Identifier,System,Loc,RA_hms,DEC_dms,Rell,t_exp,Vel1,Vel,e_Vel,SNR4200,SNR5200,SNR6200,Rem,Instrument
M68-6022,S195,,,Cl* NGC 4590 HAR 130,M68,GC,12:39:17.0,-26:45:39,,2x 600,,-95.1,1.5,60,73,75,S,MIKE
M68-6023,S239,,,Cl* NGC 4590 HAR 1239,M68,GC,12:39:37.6,-26:45:15,,1x 600,,-94.8,1.3,55,66,65,S,MIKE
M68-6024,S225,,,Cl* NGC 4590 HAR 1258,M68,GC,12:39:30.1,-26:42:47,,1x 600,,-96.2,1.6,30,44,46,S,MIKE
Car-1087,S12924,LGO4c-006621,,[VSI2012] Car-1087,Carina,DW,06:41:15.4,-51:01:16,5.0,4x3600,229.3,220.1,4.1,20,30,32,S,MIKE
Car-5070,S24846,car1-t213,,[VSI2012] Car-5070,Carina,DW,06:41:53.8,-50:58:11,3.5,3x3600,213.5,211.5,3.5,20,30,32,S,MIKE
Car-7002,S06496,LGO4c-000826,car0619-a2,[VSI2012] Car-7002,Carina,DW,06:40:49.1,-51:00:33,8.0,3x3600,226.6,224.2,3.7,18,30,27,S,MIKE
Car-484,car1-t057,LGO4a-002181,,[VSI2012] Car-484,Carina,DW,06:41:39.6,-50:49:59,11.2,11x3600,232.6,229.4,0.7,,20,35,K,FLAMES
Car-524,car1-t083,LGO4a-002065,,[VSI2012] Car-524,Carina,DW,06:41:14.6,-50:51:10,11.4,11x3600,219.4,218.6,0.7,,20,40,,FLAMES
Car-612,car1-t076,LGO4a-001826,,[VSI2012] Car-612,Carina,DW,06:40:58.6,-50:53:35,10.0,11x3600,223.1,222.9,0.7,,19,29,K,FLAMES
Car-705,car1-t048,LGO4a-001556,,[VSI2012] Car-705,Carina,DW,06:42:17.3,-50:55:55,6.8,11x3600,221.3,220.9,0.9,,18,28,K,FLAMES
Car-769,car1-t069,LGO4a-001364,,[VSI2012] Car-769,Carina,DW,06:41:19.7,-50:57:26,3.3,11x3600,219.4,218.9,0.6,,17,27,,FLAMES
Car-1013,car1-t152,LGO4c-006477,,[VSI2012] Car-1013,Carina,DW,06:41:22.0,-51:03:43,7.8,11x3600,218.5,218.4,1.5,,11,15,K,FLAMES
#Car-837,car1-t191,,,[VSI2012] Car-837,Carina,DW,06:41:46.3,-50:58:56,,11x3600,232.6,222.4,0.7,,20,30,C,FLAMES
#Car-489,,,,[VSI2012] Car-489,,,06:41:37.0,-50:50:07,,11x3600,236.5,,,,16,25,n,FLAMES
#Car-X,,,,[VSI2012] Car-X,,,06:41:26.9,-51:00:34,,11x3600,,4.9,0.8,,15,25,"n,X",FLAMES
