Ion,lambda,ExPot,log(gf),l_M686022,M686022,f_M686022,l_M686023,M686023,f_M686023,l_M686024,M686024,f_M686024,l_Car1087,Car1087,f_Car1087,l_Car5070,Car5070,f_Car5070,l_Car7002,Car7002,f_Car7002
Fe I,5001.864,3.88,0.01,,51.9,,,49.9,,,52.6,,,,,,,,,,
Fe I,5006.12,2.83,-0.615,,83.5,,,84.1,,,75.8,,,,,,,,,70.8,
Fe I,5012.07,0.86,-2.642,,122.4,,,117.0,,,121.3,,,138.0,,,184.5,,,134.1,
Fe I,5014.94,3.94,-0.3,,35.3,,,38.2,,,42.2,,,,,,,,,,
Fe I,5022.24,3.98,-0.53,,35.0,,,36.7,,,,,,,,,,,,,
Fe I,5028.13,3.57,-1.12,,46.2,,,40.1,,,,,,,,,,,,,
Fe I,5041.072,0.96,-3.086,,103.3,,,,,,91.2,,,,,,,,,,
Fe I,5041.756,1.49,-2.203,,,,,96.7,,,99.5,,,,,,,,,,
Fe I,5049.82,2.28,-1.355,,86.4,,,,,,58.4,,,,,,,,,,
Fe I,5051.635,0.92,-2.764,,93.3,,,79.3,,,107.7,,,,,,,,,,
Fe I,5060.08,0.0,-5.46,,,,,49.5,,,,,,,,,,,,,
Fe I,5068.766,2.94,-1.041,,69.4,,,53.2,,,,,,,,,,,,,
Fe I,5074.75,4.22,-0.2,,31.1,,,,,,,,,,,,,,,,
Fe I,5079.22,2.2,-2.067,,72.7,,,55.5,,,47.0,,,,,,,,,,
Fe I,5079.75,0.99,-3.245,,88.3,,,83.0,,,69.5,,,,,,,,,,
Fe I,5083.35,0.96,-2.842,,94.4,,,84.5,,,76.4,,,,,,154.1,,,80.3,
Fe I,5098.7,2.18,-2.03,,64.6,,,57.8,,,52.0,,,,,,123.6,,,,
Fe I,5110.413,0.0,-3.758,,,,,86.0,,,,,,,,,,,,,
Fe I,5123.72,1.01,-3.058,,90.4,,,87.8,,,75.3,,,,,,,,,,
Fe I,5127.359,0.92,-3.249,,86.0,,,96.8,,,75.3,,,,,,185.9,,,,
Fe I,5131.47,2.22,-2.51,,37.1,,,32.4,,,36.2,,,,,,,,,,
Fe I,5133.69,4.18,0.14,,,,,31.5,,,44.2,,,,,,,,,,
Fe I,5137.38,4.18,-0.4,,37.6,,,,,,,,,,,,,,,,
Fe I,5141.74,2.42,-1.964,,,,,37.1,,,34.4,,,,,,,,,,
Fe I,5142.93,0.96,-3.08,,95.3,,,91.9,,,85.8,,,,,,190.2,,,87.4,
Fe I,5150.85,0.99,-3.037,,76.9,,,69.9,,,64.4,,,82.1,,,,,,52.4,
Fe I,5151.92,1.01,-3.321,,75.1,,,66.5,,,55.0,,,90.0,,,,,,,
Fe I,5162.29,4.18,0.02,,36.0,,,35.8,,,30.2,,,,,,,,,,
Fe I,5166.28,0.0,-4.123,,104.3,,,91.0,,,78.1,,,107.4,,,158.1,,,78.0,
Fe I,5171.61,1.48,-1.721,,97.6,,,91.4,,,84.6,,,111.1,,,165.7,,,131.1,
Fe I,5191.455,3.04,-0.551,,,,,61.1,,,46.2,,,,,,,,,,
Fe I,5192.34,3.0,-0.421,,61.5,,,70.6,,,57.3,,,,,,,,,,
Fe I,5194.942,1.56,-2.021,,71.3,,,77.9,,,65.8,,,73.9,,,111.7,,,,
Fe I,5198.71,2.22,-2.135,,32.4,,,,,,,,,41.1,,,,,,44.7,
Fe I,5202.34,2.18,-1.838,,77.1,,,71.5,,,69.1,,,41.2,,,133.5,,,74.8,
Fe I,5204.58,0.09,-4.332,,,,,,,,,,,,,,188.4,,,,
Fe I,5215.19,3.27,-0.93,,56.3,,,32.0,,,,,,,,,74.5,,,51.8,
Fe I,5216.28,1.61,-2.082,,69.4,,,89.5,,,60.7,,,135.1,,,143.4,,,,
Fe I,5217.39,3.21,-1.16,,31.2,,,56.3,,,,,,,,,,,,,
Fe I,5225.526,0.11,-4.755,,53.5,,,46.0,,,42.9,,,,,,,,,73.0,
Fe I,5227.19,1.56,-1.227,,150.8,,,143.1,,,122.5,,,132.3,,,,,,,
