lambda,Species,ComBer-1_Inspect,ComBer-1_MPIA,ComBer-2_Inspect,ComBer-2_MPIA,UMaI-1_Inspect,UMaI-1_MPIA,UMaI-2_Inspect,UMaI-2_MPIA,BooI-2_Inspect,BooI-2_MPIA
4871.318,26.0,,,,,,,,,,
4872.138,26.0,,,,,,,,,,
4890.755,26.0,,0.231,,,,,,,,0.133
4891.492,26.0,,0.217,,,,,,,,0.138
4918.994,26.0,,,,,,,,,,
4920.502,26.0,0.124,,0.074,,,,,,0.065,
4939.687,26.0,,,,,,,,,,
4966.089,26.0,,,,,,,,,,
4994.130,26.0,0.141,0.201,0.224,0.153,,,,,0.195,0.138
5006.119,26.0,,0.211,,,,,,,,0.169
5012.068,26.0,,,,,,,,,,
5041.072,26.0,,,,,,,,,,
5041.756,26.0,,,,,,,,,,
5049.819,26.0,,0.224,,,,,,,,0.156
5051.635,26.0,,,,,,,,,,
5068.766,26.0,,,,,,,,,,
5110.413,26.0,,,,,,,,,,
5123.720,26.0,,,,,,,,,,
5127.360,26.0,,,,,,,,,,
5150.840,26.0,,,,,,,,,,
5151.911,26.0,,,,,,,,,,
5191.454,26.0,,0.222,,0.143,,,,,,
5192.344,26.0,,,,,,,,,,
5194.942,26.0,,0.206,,,,,,,,
5198.711,26.0,0.084,0.192,,,,,,,,
5202.336,26.0,,,,,,,,0.167,,
5216.274,26.0,0.147,0.205,,,,,0.185,0.155,,
5232.940,26.0,0.074,0.236,0.062,0.057,,,0.099,0.107,0.064,0.127
5247.050,26.0,0.130,0.198,,,0.159,0.138,0.174,0.170,0.159,0.147
5250.210,26.0,0.145,0.094,,,0.152,0.064,0.173,0.084,,0.069
5250.646,26.0,,,,,,,,,,
5254.956,26.0,,,,,,,,,,
5266.555,26.0,,,,,,,,,,
5281.790,26.0,0.096,0.201,0.149,0.170,,,0.117,0.180,0.071,0.173
5283.621,26.0,,,,,,,,,,
5307.361,26.0,,,,,,,,,,
5324.179,26.0,,0.234,,,,,,0.159,,0.157
5328.532,26.0,,,,,,,,,,
5332.900,26.0,,,,,,,,,,
5339.929,26.0,,0.192,,0.164,,0.127,,,,0.155
5341.024,26.0,,,,,,,,,,
5367.466,26.0,,,,0.206,,0.184,,,,0.172
5383.369,26.0,,,0.188,0.230,0.127,0.211,,,0.113,0.212
5393.168,26.0,,,,,,,,,,
5415.199,26.0,,0.224,,0.230,,0.210,,0.231,,0.204
5424.068,26.0,,,,,,,,,,
5497.516,26.0,,,,,,,,,,
5501.465,26.0,,,,,,,,,,
5506.779,26.0,,,,,,,,,,
5569.618,26.0,,0.195,,0.164,,,,0.173,,
5572.842,26.0,,0.202,,0.159,,0.112,,0.174,,0.164
5586.756,26.0,0.125,0.220,,,,,0.106,0.170,0.078,0.167
5615.644,26.0,,0.220,,0.146,,0.101,,0.167,,0.157
5624.542,26.0,,0.191,,0.169,,,,,,0.146
5658.816,26.0,,,,,,,,,,
5956.693,26.0,,,,,0.100,0.126,0.130,0.167,,
6065.482,26.0,0.087,0.200,0.145,0.159,0.081,0.111,0.128,0.164,0.093,0.147
6136.615,26.0,,0.170,,0.114,,0.045,,0.117,,0.093
6137.691,26.0,,0.164,,0.113,,0.045,,0.117,,0.092
6191.558,26.0,,0.210,,0.157,,0.098,,0.166,,0.154
6200.313,26.0,,,,,0.070,0.119,,,,
6213.429,26.0,,,,,,,,,,
6219.280,26.0,0.099,,0.156,,0.088,,,,0.088,
6230.722,26.0,,0.213,,0.150,,0.084,,0.163,,0.152
6252.555,26.0,0.106,0.204,0.176,0.163,0.108,0.116,0.145,0.167,0.104,0.152
6254.257,26.0,,,,,,,,,,
6265.134,26.0,0.092,0.198,,,0.088,0.126,0.124,0.165,0.085,0.141
6297.792,26.0,0.091,0.195,0.123,0.165,0.084,0.123,,,,
6318.018,26.0,,,,,,,,,,
6335.330,26.0,,0.201,,0.165,,0.126,,0.167,,0.146
6344.148,26.0,,,,,,,,,,
6358.697,26.0,,,,,,,,,,
6393.600,26.0,,0.222,,0.166,,,,0.175,,0.163
6411.649,26.0,,0.203,,0.174,,0.140,,,,0.155
6421.350,26.0,,,,,,,,,,
6430.846,26.0,0.108,,0.158,,0.114,,0.147,,0.113,
6494.980,26.0,,,,,,,,,,
6546.238,26.0,,0.202,,0.161,,0.120,,0.166,,0.146
6592.913,26.0,,,,,,,,,,
6593.870,26.0,0.085,,,,0.068,,0.112,,0.078,
6677.985,26.0,,0.206,,0.157,,0.106,,0.165,,0.150
4923.922,26.1,-0.150,0.089,-0.040,0.071,,,-0.042,0.076,-0.04,0.092
5018.435,26.1,-0.020,,,,,,-0.036,,-0.066,
5197.568,26.1,,,-0.009,0.001,,,,,-0.009,0.002
5275.997,26.1,,,,,,,,,,
5534.839,26.1,,,,,,0.002,,,,
6456.381,26.1,,,-0.004,,-0.007,,,,-0.008,
6516.077,26.1,-0.005,,-0.003,,,,-0.006,,-0.006,
5889.951,11.0,-0.264,,-0.496,,-0.094,,-0.268,,-0.208,
5895.924,11.0,-0.289,,-0.452,,-0.127,,-0.205,,-0.197,
5172.684,12.0,-0.001,0.068,-0.049,0.070,,0.066,,0.059,,
5183.604,12.0,0.006,0.066,-0.028,0.077,,0.070,,0.066,,
5528.405,12.0,-0.071,0.099,0.002,0.022,,-0.001,,0.050,-0.08,0.057
7698.974,19,0.210,,0.330,,0.210,,0.210,,0.210,
5265.556,20.0,,,,,,,,,,
5588.749,20.0,,0.269,,,,0.218,,0.273,,0.231
5594.462,20.0,,,,,,,,,,
5857.451,20.0,,0.147,,,,0.114,,0.150,,0.120
6102.723,20.0,,0.218,,,,0.206,,0.243,,0.204
6122.217,20.0,,0.209,,0.180,,0.143,,0.211,,0.197
6162.173,20.0,,0.212,,0.129,,0.091,,0.188,,0.181
6169.563,20.0,,0.086,,,,0.086,,,,0.077
6439.075,20.0,,0.169,,0.129,,0.060,,0.165,,0.134
6449.808,20.0,,0.000,,,,0.000,,,,
6462.567,20.0,,,,,,,,,,
6493.781,20.0,,,,,,,,,,
6717.681,20.0,,,,,,,,,,
5526.790,21.0,,,,,,,,,,
4981.731,22.0,0.294,0.408,0.125,0.341,,,,,0.209,0.368
4991.066,22.0,0.345,0.427,0.148,0.367,,,,,0.220,0.384
4999.503,22.0,0.375,0.514,,,0.203,0.370,,,0.304,0.449
5007.209,22.0,,,,,,,,,,
5064.653,22.0,,0.484,,0.569,,,,,,
5192.969,22.0,,0.490,,0.583,,,,,,
5210.384,22.0,,0.480,,,,0.574,,,,
5188.680,22.1,,0.096,,-0.079,,-0.108,,,,
5226.543,22.1,,0.097,,,,-0.081,,,,
5336.786,22.1,,0.103,,,,,,,,0.089
6491.561,22.1,,0.042,,,,0.038,,,,0.056
5206.023,24.0,,0.530,,0.306,,,,,,
5345.796,24.0,,0.415,,0.413,,0.355,,0.410,,0.388
5409.783,24.0,,0.417,,0.397,,0.307,,0.406,,0.397
4823.514,25.0,,,,0.525,,,,0.537,,
5476.904,28.0,,,,,,,,,,
5754.656,28.0,,,,,,,,,,
6108.116,28.0,,,,,,,,,,
6643.630,28.0,,,,,,,,,,
6767.772,28.0,,,,,,,,,,
5853.690,56.1,,,,,0.10,,,,0.10,
6141.730,56.1,0.12,,0.07,,0.13,,0.07,,0.13,
6496.910,56.1,0.05,,0.01,,0.05,,0.03,,0.05,
