System,RA_hms,DEC_dms,VMag,[Fe/H],t_SF,coord_ref,VMag_ref,[Fe/H]_ref,t_SF_ref,References
Large Magellanic Cloud,05:23:34.6,-69:45:22,-18.12,-0.50,13.8,McConnachie+2012,McConnachie+2012,McConnachie+2012,,"33,33,33,NA"
Small Magellanic Cloud,00:52:44.8,-72:49:43,-16.83,-1.00,13.8,McConnachie+2012,McConnachie+2012,McConnachie+2012,,"33,33,33,NA"
Sagittarius,18:54:59.2,-30:27:38,-13.50,-0.53,10.4,Majewski+2003,Majewski+2003,Mucciarelli+2017,Weisz+2014,"31,31,34,47"
Fornax,02:39:50.0,-34:29:59,-13.34,-1.07,11.6,Munoz+2018,Munoz+2018,Kirby+2013,Weisz+2014,"35,35,21,47"
Leo I,10:08:27.5,+12:18:21,-11.78,-1.48,12.1,Munoz+2018,Munoz+2018,Kirby+2013,Weisz+2014,"35,35,21,47"
Sculptor,01:00:04.4,-33:43:07,-10.82,-1.73,3.1,Munoz+2018,Munoz+2018,Kirby+2013,Weisz+2014,"35,35,21,47"
Antlia II,09:35:13.9,-36:41:56,-9.86,-1.90,,Ji+2021,Ji+2021,Ji+2021,,"18,18,18,NA"
Leo II,11:13:27.0,+22:09:10,-9.74,-1.68,7.4,Munoz+2018,Munoz+2018,Kirby+2013,Weisz+2014,"35,35,21,47"
Carina,06:41:37.6,-50:57:33,-9.45,-1.80,11.6,Munoz+2018,Munoz+2018,Fabrizio+2012,Weisz+2014,"35,35,11,47"
Ursa Minor,15:08:58.1,+67:13:20,-9.03,-2.12,4.7,Munoz+2018,Munoz+2018,Kirby+2013,Weisz+2014,"35,35,21,47"
Sextans,10:13:03.1,-01:36:48,-8.94,-1.97,1.8,Munoz+2018,Munoz+2018,Kirby+2013,Lee+2009,"35,35,21,27"
Draco,17:20:16.4,+57:55:07,-8.88,-2.00,3.6,Munoz+2018,Munoz+2018,Kirby+2013,Weisz+2014,"35,35,21,47"
Canes Venatici I,13:28:02.2,+33:33:08,-8.73,-1.91,5.5,Munoz+2018,Munoz+2018,Kirby+2013,Weisz+2014,"35,35,21,47"
Crater II,11:49:14.4,-18:24:47,-8.20,-2.16,3.3,Torrealba+2016a,Torrealba+2016a,Ji+2021,Walker+2019,"43,43,18,46"
Leo T,09:34:55.0,+17:02:54,-7.56,-1.91,12.2,Munoz+2018,Munoz+2018,Kirby+2013,Weisz+2014,"35,35,21,47"
Eridanus II,03:44:20.1,-43:32:02,-7.10,-2.38,2.0,Crnojevic+2016,Crnojevic+2016,Li+2017,Simon+2021,"8,8,28,42"
Bootes I,14:00:04.8,+14:30:49,-6.02,-2.34,1.1,Munoz+2018,Munoz+2018,Jenkins+2021,Brown+2014,"35,35,15,2"
Hercules,16:31:05.3,+12:47:07,-5.83,-2.47,1.8,Munoz+2018,Munoz+2018,Kirby+2013,Brown+2014,"35,35,21,2"
Centaurus I,12:38:20.4,-40:54:07,-5.55,,0.9,Mau+2020,Mau+2020,,Mau+2020,"32,32,NA,32"
Canes Venatici II,12:57:10.2,+34:19:21,-5.17,-2.35,1.1,Munoz+2018,Munoz+2018,Kirby+2013,Brown+2014,"35,35,21,2"
Ursa Major I,10:34:44.4,+51:55:34,-5.13,-2.16,2.5,Okamoto+2008,Munoz+2018,Kirby+2013,Brown+2014,"37,35,21,2"
Leo IV,11:32:57.7,-00:32:43,-4.99,-2.48,1.6,Munoz+2018,Munoz+2018,Jenkins+2021,Brown+2014,"35,35,15,2"
Hydra II,12:21:42.0,-31:59:10,-4.86,-2.02,2.2,Munoz+2018,Munoz+2018,Kirby+2015,Sacchi+2021,"35,35,22,38"
Hydrus I,02:29:33.4,-79:18:32,-4.71,-2.52,,Koposov+2018,Koposov+2018,Koposov+2018,,"25,25,25,NA"
Eridanus IV,05:05:45.1,-09:30:54,-4.70,,0.8,Cerny+2021,Cerny+2021,,Cerny+2021,"4,4,NA,4"
Carina II,07:36:25.6,-57:59:57,-4.50,-2.44,,Torrealba+2018,Torrealba+2018,Li+2018,,"45,45,29,NA"
Ursa Major II,08:51:29.4,+63:08:01,-4.43,-2.23,,Munoz+2018,Munoz+2018,Kirby+2013,,"35,35,21,NA"
