SubG,Name,OName,f_OName,n_Name,MType,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Ref1,f_Ref1,Com1
MW,The Galaxy,The MW,,G,S(B)bc,17,45,40.0,,29,0,28,,,Position refers to Sgr A*
MW,Canis Major,,,G,????,7,12,35.0,,27,40,0,300,,MW disk substructure?
MW,Sagittarius dSph,,,G,dSph,18,55,19.5,,30,32,43,301,,Tidally disrupting
MW,Segue (I),,,G,dSph,10,7,4.0,+,16,4,55,302,,
MW,Ursa Major II,,,G,dSph,8,51,30.0,+,63,7,48,303,,
MW,Bootes II,,,G,dSph,13,58,0.0,+,12,51,0,304,,
MW,Segue II,,,G,dSph,2,19,16.0,+,20,10,31,305,,
MW,Willman 1,SDSS J1049+5103,,G,dSph,10,49,21.0,+,51,3,0,306,,Cluster?
MW,Coma Berenices,,,G,dSph,12,26,59.0,+,23,54,15,302,,
MW,Bootes III,,,G,dSph?,13,57,12.0,+,26,48,0,307,,Very diffuse. Tidal remnant?
MW,LMC,Nubecula Major,,G,Irr,5,23,34.5,,69,45,22,,,
MW,SMC,"Nubecula Minor,NGC 292",,G,dIrr,0,52,44.8,,72,49,43,,,
MW,Bootes (I),,,G,dSph,14,0,6.0,+,14,30,0,308,,
MW,Draco,"UGC 10822,DDO 208",,G,dSph,17,20,12.4,+,57,54,55,309,,
MW,Ursa Minor,"UGC 9749,DDO 199",,G,dSph,15,9,8.5,+,67,13,21,309,,
MW,Sculptor,,,G,dSph,1,0,9.4,,33,42,33,310,,The prototypical dSph
MW,Sextans (I),,,G,dSph,10,13,3.0,,1,36,53,311,,
MW,Ursa Major (I),,,G,dSph,10,34,52.8,+,51,55,12,312,,
MW,Carina,,,G,dSph,6,41,36.7,,50,57,58,313,,
MW,Hercules,,,G,dSph,16,31,2.0,+,12,47,30,302,,Tidally disrupting? Remnant? Cluster?
MW,Fornax,,,G,dSph,2,39,59.3,,34,26,57,314,,
MW,Leo IV,,,G,dSph,11,32,57.0,,0,32,0,302,,Binary w/Leo V?
MW,Canes Venatici II,SDSS J1257+3419,,G,dSph,12,57,10.0,+,34,19,15,"315,302",,
MW,Leo V,,,G,dSph,11,31,9.6,+,2,13,12,316,,Cluster? Binary w/Leo IV?
MW,Pisces II,,,G,dSph,22,58,31.0,+,5,57,9,317,,Awaiting spectr. confirmation
MW,Canes Venatici (I),,,G,dSph,13,28,3.5,+,33,33,21,318,,
MW,Leo II,"Leo B,UGC 6253,DDO 93",,G,dSph,11,13,28.8,+,22,9,6,319,,
MW,Leo I,"UGC 5470,DDO 74,Regulus Dwarf",,"G,L",dSph,10,8,28.1,+,12,18,23,319,,
M31,Andromeda,"M31,NGC 224,UGC 454",,A,Sb,0,42,44.3,+,41,16,9,,,
M31,M32,"NGC 221,UGC 452",,A,cE,0,42,41.8,+,40,51,55,320,,
M31,Andromeda IX,,,A,dSph,0,52,53.0,+,43,11,45,321,,
M31,NGC 205,"M110,UGC 426",,A,dE/dSph,0,40,22.1,+,41,41,7,322,,
M31,Andromeda XVII,,,A,dSph,0,37,7.0,+,44,19,20,323,,
M31,Andromeda I,,,A,dSph,0,45,39.8,+,38,2,28,324,,
M31,Andromeda XXVII,,,A,dSph,0,37,27.1,+,45,23,13,325,,Tidally disrupting? Remnant?
M31,Andromeda III,,,A,dSph,0,35,33.8,+,36,29,52,324,,
M31,Andromeda XXV,,,A,dSph,0,30,8.9,+,46,51,7,325,,
M31,Andromeda XXVI,,,A,dSph,0,23,45.6,+,47,54,58,325,,
M31,Andromeda XI,,,A,dSph,0,46,20.0,+,33,48,5,326,,
M31,Andromeda V,,,A,dSph,1,10,17.1,+,47,37,41,327,,
M31,Andromeda X,,,A,dSph,1,6,33.7,+,44,48,16,328,,
M31,Andromeda XXIII,,,A,dSph,1,29,21.8,+,38,43,8,325,,
M31,Andromeda XX,,,A,dSph,0,7,30.7,+,35,7,56,329,,
M31,Andromeda XII,,,"A,L",dSph,0,47,27.0,+,34,22,29,326,,Unbound to M31?
M31,NGC 147,"UGC 326,DDO 3",,A,dE/dSph,0,33,12.1,+,48,30,32,330,,Binary w/NGC 185? Tidal stream
M31,Andromeda XXI,,,A,dSph,23,54,47.7,+,42,28,15,331,,
M31,Andromeda XIV,,,"A,L",dSph,0,51,35.0,+,29,41,49,332,,Unbound to M31? In Pisces
M31,Andromeda XV,,,A,dSph,1,14,18.7,+,38,7,3,333,,
M31,Andromeda XIII,,,A,dSph,0,51,51.0,+,33,0,16,326,,In Pisces
M31,Andromeda II,,,A,dSph,1,16,29.8,+,33,25,9,324,,In Pisces
M31,NGC 185,UGC 396,,A,dE/dSph,0,38,58.0,+,48,20,15,334,,Binary w/NGC 147?
M31,Andromeda XXIX,,,A,dSph,23,58,55.6,+,30,45,20,335,,In Pegasus
M31,Andromeda XIX,,,A,dSph,0,19,32.1,+,35,2,37,329,,
M31,Triangulum,"M33,NGC 598,UGC 1117",,A,Sc,1,33,50.9,+,30,39,37,,a,
M31,Andromeda XXIV,,,A,dSph,1,18,30.0,+,46,21,58,325,,
M31,Andromeda VII,Casseopia dSph,,A,dSph,23,26,31.7,+,50,40,33,336,,
M31,Andromeda XXII,,,A,dSph,1,27,40.0,+,28,5,25,331,,M33 satellite? In Pisces
M31,IC 10,UGC 192,,A,dIrr,0,20,17.3,+,59,18,14,337,,
M31,LGS 3 (Local Group Suspect 3),Pisces (I),,A,dIrr/dSph,1,3,55.0,+,21,53,6,"338,339",,
M31,Andromeda VI,Pegasus dSph,,A,dSph,23,51,46.3,+,24,34,57,"336,340",,
M31,Andromeda XVI,,,"A,L",dSph,0,59,29.8,+,32,22,36,333,,In Pisces
Rest,Andromeda XXVIII,,,"A,L",dSph?,22,32,41.2,+,31,12,58,341,,In Pegasus
Rest,IC 1613,"DDO 8,UGC 668",,L,dIrr,1,4,47.8,+,2,7,4,342,,
Rest,Phoenix,,,"L,G",dIrr/dSph,1,51,6.3,,44,26,41,343,,
Rest,NGC 6822,"IC 4895,DDO 209,Barnard's Galaxy",,"L,G",dIrr,19,44,56.6,,14,47,21,344,,Polar ring morph.
Rest,Cetus,,,L,dSph,0,26,11.0,,11,2,40,345,,Isolated dSph
Rest,Pegasus dIrr,"UGC 12613,DDO 216",,"L,A",dIrr/dSph,23,28,36.3,+,14,44,35,346,b,
Rest,Leo T,,,"L,G",dIrr/dSph,9,34,53.4,+,17,3,5,347,,
Rest,WLM (Wolf-Lundmark-Melotte),"UGCA 444,DDO 221",,L,dIrr,0,1,58.2,,15,27,39,"348,349",,Defines R_LG
Rest,Leo A,"Leo III,UGC 5364,DDO 69",,L,dIrr,9,59,26.5,+,30,44,47,350,,Defines R_LG
Rest,Andromeda XVIII,,,L,dSph,0,2,14.5,+,45,5,20,329,,Isolated dSph
Rest,Aquarius,DDO 210,,L,dIrr/dSph,20,46,51.8,,12,50,53,351,,Defines R_LG
Rest,Tucana,,,L,dSph,22,41,49.6,,64,25,10,352,,Isolated dSph; defines R_LG
