name,Element,N,Solar,Logeps,[X/H],[X/Fe],[X/H]_err,ul,[X/H]_errteff,[X/H]_errlogg,[X/H]_errvt,[X/H]_errsys,[X/H]_errtot,[X/Fe]_errteff,[X/Fe]_errlogg,[X/Fe]_errvt,[X/Fe]_errsys,[X/Fe]_errtot
lmc3,11.0,2,6.24,3.36,-2.88,0.09,0.27,0.0,0.23,-0.07,-0.1,0.26,0.37,0.01,-0.01,-0.06,0.06,0.28
lmc3,12.0,3,7.6,5.01,-2.59,0.38,0.2,0.0,0.16,-0.05,-0.02,0.17,0.26,-0.06,0.01,0.02,0.06,0.21
lmc3,13.0,1,6.45,2.51,-3.94,-0.97,0.61,0.0,0.02,-0.02,-0.1,0.1,0.62,-0.2,0.04,-0.06,0.21,0.65
lmc3,14.0,1,7.51,4.19,-3.32,-0.35,0.6,0.0,0.15,-0.14,-0.14,0.25,0.65,-0.07,-0.08,-0.1,0.15,0.62
lmc3,19.0,1,5.03,2.51,-2.52,0.45,0.2,0.0,0.14,-0.04,-0.01,0.15,0.25,-0.08,0.02,0.03,0.09,0.22
lmc3,20.0,10,6.34,3.56,-2.78,0.19,0.2,0.0,0.13,-0.04,-0.02,0.14,0.24,-0.09,0.02,0.02,0.09,0.22
lmc3,21.1,7,3.15,0.02,-3.13,-0.16,0.2,0.0,0.08,0.09,-0.04,0.13,0.24,-0.14,0.15,0.0,0.21,0.29
lmc3,22.0,9,4.95,2.15,-2.8,0.17,0.2,0.0,0.22,-0.06,-0.03,0.23,0.3,-0.0,0.0,0.01,0.01,0.2
lmc3,22.1,21,4.95,2.12,-2.83,0.14,0.23,0.0,0.06,0.09,-0.04,0.12,0.26,-0.16,0.15,-0.0,0.22,0.32
lmc3,23.0,1,3.93,1.03,-2.9,0.07,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lmc3,23.1,1,3.93,1.41,-2.52,0.45,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lmc3,24.0,2,5.64,2.26,-3.38,-0.41,0.2,0.0,0.2,-0.06,-0.02,0.21,0.29,-0.02,0.0,0.02,0.03,0.2
lmc3,24.1,1,5.64,2.73,-2.91,0.06,0.2,0.0,-0.03,0.1,-0.01,0.1,0.22,-0.25,0.16,0.03,0.3,0.36
lmc3,25.0,1,5.43,2.35,-3.08,-0.11,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lmc3,26.0,85,7.5,4.53,-2.97,0.0,0.2,0.0,0.22,-0.06,-0.04,0.23,0.3,-0.0,0.0,0.0,0.0,0.2
lmc3,26.1,16,7.5,4.49,-3.01,-0.04,0.2,0.0,-0.0,0.1,-0.02,0.1,0.22,-0.22,0.16,0.02,0.27,0.34
lmc3,27.0,2,4.99,2.06,-2.93,0.04,0.26,0.0,0.23,-0.05,-0.02,0.24,0.35,0.01,0.01,0.02,0.02,0.26
lmc3,28.0,3,6.22,3.53,-2.69,0.28,0.2,0.0,0.18,-0.03,-0.01,0.18,0.27,-0.04,0.03,0.03,0.06,0.21
lmc3,38.1,2,2.87,-0.23,-3.1,-0.13,0.2,0.0,0.06,0.07,-0.19,0.21,0.29,-0.16,0.13,-0.15,0.25,0.32
lmc3,39.1,1,2.21,-0.67,-2.88,0.09,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lmc3,40.1,1,2.58,0.06,-2.52,0.45,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lmc3,56.1,3,2.18,-1.96,-4.14,-1.17,0.2,0.0,0.11,0.09,-0.02,0.14,0.24,-0.11,0.15,0.02,0.19,0.28
lmc3,57.1,1,1.1,-1.73,-2.83,0.14,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
