Z,elem,photosphere_logeps,photosphere_logeps_err,meteorite_logeps,meteorite_logeps_err,photosphere_logeps-meteorite_logeps
1,H,12.00,,12.00,,
2,He,10.99,0.035,10.99,,
3,Li,1.16,0.1,3.31,0.04,-2.15
4,Be,1.15,0.10,1.42,0.04,-0.27
5,B,2.6,0.3,2.88,0.04,-0.28
6,C,8.56,0.04,8.56,,
7,N,8.05,0.04,8.05,,
8,0,8.93,0.035,8.93,,
9,F,4.56,0.3,4.48,0.06,+0.08
10,Ne,8.09,0.10,8.09,0.10,
11,Na,6.33,0.03,6.31,0.03,+0.02
12,Mg,7.58,0.05,7.58,0.02,+0.00
13,Al,6.47,0.07,6.48,0.02,-0.01
14,Si,7.55,0.05,7.55,0.02,+0.00
15,P,5.45,(0.04),5.57,0.04,-0.12
16,S,7.21,0.06,7.27,0.05,-0.06
17,Cl,5.5,0.3,5.27,0.06,+0.23
18,Ar,6.56,0.10,6.56,0.10,
19,K,5.12,0.13,5.13,0.03,-0.01
20,Ca,6.36,0.02,6.34,0.03,+0.02
21,Sc,3.10,0.09,3.09,0.04,+0.01
22,Ti,4.99,0.02,4.93,0.02,+0.06
23,V,4.00,0.02,4.02,0.02,-0.02
24,Cr,5.67,0.03,5.68,0.04,-0.01
25,Mn,5.39,0.03,5.53,0.04,-0.14
26,Fe,7.67,0.03,7.51,0.01,+0.16
27,Co,4.92,0.04,4.91,0.03,+0.01
28,Ni,6.25,0.04,6.25,0.02,+0.00
29,Cu,4.21,0.04,4.27,0.05,-0.06
30,Zn,4.60,0.08,4.65,0.02,-0.05
31,Ga,2.88,0.10,3.13,0.03,-0.25
32,Ge,3.41,0.14,3.63,0.04,-0.22
33,As,,,,,
34,Se,,,,,
35,Br,,,,,
36,Kr,,,,,
37,Rb,2.60,0.15,2.40,0.03,+0.20
38,Sr,2.90,0.06,2.93,0.03,-0.03
39,Y,2.24,0.03,2.22,0.02,+0.02
40,Zr,2.60,0.03,2.61,0.03,-0.01
41,Nb,1.42,0.06,1.40,0.01,+0.02
42,Mo,1.92,0.05,1.96,0.02,-0.04
44,Ru,1.84,0.07,1.82,0.02,+0.02
45,Rh,1.12,0.12,1.09,0.03,+0.03
46,Pd,1.69,0.04,1.70,0.03,-0.01
47,Ag,0.94,0.25,1.24,0.01,-0.30
48,Cd,1.86,0.15,1.76,0.03,+0.10
49,In,1.66,0.15,0.82,0.03,+0.84
50,Sn,2.0,0.3,2.14,0.04,-0.14
51,Sb,1.0,0.3,1.04,0.07,-0.04
52,Te,,,2.24,0.04,
53,I,,,1.51,0.08,
54,Xe,,,2.23,0.08,
5s,Cs,,,1.12,0.02,
56,Ba,2.13,0.05,2.21,0.03,-0.08
57,La,1.22,0.09,1.20,0.01,+0.02
58,Ce,1.55,0.20,1.61,0.01,-0.06
59,Pr,0.71,0.08,0.78,0.01,-0.07
60,Nd,1.50,0.06,1.47,0.01,+0.03
62,Sm,1.00,0.08,0.97,0.01,-0.03
63,Eu,0.51,0.08,0.54,0.01,-0.03
64,Gd,1.12,0.04,1.07,0.01,+0.05
65,Tb,-0.1,0.3,0.33,0.01,-0.43
66,Dy,1.1,0.15,1.15,0.01,-0.05
67,Ho,0.26,0.16,0.50,0.01,-0.24
68,Er,0.93,0.06,0.95,0.01,-0.02
69,Tm,0.00,0.15,0.13,0.01,-0.13
70,Yb,1.08,0.15,0.95,0.01,+0.13
71,Lu,0.76,0.30,0.12,0.01,+0.64
72,Hf,0.88,0.08,0.73,0.01,+0.15
73,Ta,,,0.13,0.01,
74,W,1.11,0.15,0.68,0.02,+0.43
75,Re,,,0.27,0.04,
76,Os,1.45,0.10,1.38,0.03,+0.07
77,Ir,1.35,0.10,1.37,0.03,-0.02
78,Pt,1.8,0.3,1.68,0.03,+0.12
79,Au,1.01,0.15,0.83,0.06,+0.18
80,Hg,,,1.09,0.05,
81,Tl,0.9,0.2,0.82,0.04,+0.08
82,Pb,1.85,0.05,2.05,0.03,-0.20
83,Bi,,,0.71,0.03,
90,Th,0.12,0.06,0.08,0.02,+0.04
92,U,-0.47,,-0.49,0.04,
