Z,elem,photosphere_logeps,photosphere_logeps_err,meteorite_logeps,meteorite_logeps_err
1,H,12.00,,8.25,0.05
2,He,10.93,0.01,1.29,
3,Li,1.05,0.10,3.25,0.06
4,Be,1.38,0.09,1.38,0.08
5,B,2.70,0.20,2.75,0.04
6,C,8.39,0.05,7.40,0.06
7,N,7.78,0.06,6.25,0.07
8,O,8.66,0.05,8.39,0.02
9,F,4.56,0.30,4.43,0.06
10,Ne,7.84,0.06,-1.06,
11,Na,6.17,0.04,6.27,0.03
12,Mg,7.53,0.09,7.53,0.03
13,Al,6.37,0.06,6.43,0.02
14,Si,7.51,0.04,7.51,0.02
15,P,5.36,0.04,5.40,0.04
16,S,7.14,0.05,7.16,0.04
17,Cl,5.50,0.30,5.23,0.06
18,Ar,6.18,0.08,-0.45,
19,K,5.08,0.07,5.06,0.05
20,Ca,6.31,0.04,6.29,0.03
21,Sc,3.05,0.08,3.04,0.04
22,Ti,4.90,0.06,4.89,0.03
23,V,4.00,0.02,3.97,0.03
24,Cr,5.64,0.10,5.63,0.05
25,Mn,5.39,0.03,5.47,0.03
26,Fe,7.45,0.05,7.45,0.03
27,Co,4.92,0.08,4.86,0.03
28,Ni,6.23,0.04,6.19,0.03
29,Cu,4.21,0.04,4.23,0.06
30,Zn,4.60,0.03,4.61,0.04
31,Ga,2.88,0.10,3.07,0.06
32,Ge,3.58,0.05,3.59,0.05
33,As,,,2.29,0.05
34,Se,,,3.33,0.04
35,Br,,,2.56,0.09
36,Kr,3.28,0.08,-2.27,
37,Rb,2.60,0.15,2.33,0.06
38,Sr,2.92,0.05,2.88,0.04
39,Y,2.21,0.02,2.17,0.04
40,Zr,2.59,0.04,2.57,0.02
41,Nb,1.42,0.06,1.39,0.03
42,Mo,1.92,0.05,1.96,0.04
44,Ru,1.84,0.07,1.77,0.08
45,Rh,1.12,0.12,1.07,0.02
46,Pd,1.69,0.04,1.67,0.02
47,Ag,0.94,0.24,1.20,0.06
48,Cd,1.77,0.11,1.71,0.03
49,In,1.60,0.20,0.80,0.03
50,Sn,2.00,0.30,2.08,0.04
51,Sb,1.00,0.30,1.03,0.07
52,Te,,,2.19,0.04
53,I,,,1.51,0.12
54,Xe,2.27,0.02,-1.97,
55,Cs,,,1.07,0.03
56,Ba,2.17,0.07,2.16,0.03
57,La,1.13,0.05,1.15,0.06
58,Ce,1.58,0.09,1.58,0.02
59,Pr,0.71,0.08,0.75,0.03
60,Nd,1.45,0.05,1.43,0.03
62,Sm,1.01,0.06,0.92,0.04
63,Eu,0.52,0.06,0.49,0.04
64,Gd,1.12,0.04,1.03,0.02
65,Tb,0.28,0.30,0.28,0.03
66,Dy,1.14,0.08,1.10,0.04
67,Ho,0.51,0.10,0.46,0.02
68,Er,0.93,0.06,0.92,0.03
69,Tm,0.00,0.15,0.08,0.06
70,Yb,1.08,0.15,0.91,0.03
71,Lu,0.06,0.10,0.06,0.06
72,Hf,0.88,0.08,0.74,0.04
73,Ta,,,-0.17,0.03
74,W,1.11,0.15,0.62,0.03
75,Re,,,0.23,0.04
76,Os,1.45,0.10,1.34,0.03
77,Ir,1.38,0.05,1.32,0.03
78,Pt,,,1.64,0.03
79,Au,1.01,0.15,0.80,0.06
80,Hg,,,1.13,0.18
81,Tl,0.90,0.20,0.78,0.04
82,Pb,2.00,0.06,2.02,0.04
83,Bi,,,0.65,0.03
90,Th,,,0.06,0.04
92,U,-0.47,,-0.52,0.04
