elem   Z     rproc   sproc   total  rfrac  sfrac
Zn     30    452     231     683    0.66   0.34
Ga     31    16.3    21.5    37.8   0.43   0.57
Ge     32    56.2    52.5    109    0.52   0.48
As     33    5.33    1.46    6.79   0.78   0.22
Se     34    40.3    21.2    61.4   0.66   0.34
Br     35    4.64    0.93    5.57   0.83   0.17
Kr     36    22.7    29.3    52.0   0.44   0.56
Rb     37    2.89    2.90    5.79   0.50   0.50
Sr     38    2.55    20.5    23.1   0.11   0.89
Y      39    0.63    3.34    4.65   0.28   0.72
Zr     40    2.04    8.66    10.7   0.19   0.81
Nb     41    0.11    0.23    0.34   0.32   0.68
Mo     42    0.64    1.33    1.97   0.32   0.68
Ru     44    0.94    0.60    1.54   0.61   0.39
Rh     45    0.29    0.055   0.34   0.84   0.16
Pd     46    0.77    0.62    1.39   0.56   0.44
Ag     47    0.44    0.12    0.55   0.79   0.21
Cd     48    0.77    0.76    1.53   0.50   0.50
In     49    0.12    0.057   0.18   0.68   0.32
Sn     50    1.41    2.18    3.60   0.39   0.61
Sb     51    0.24    0.047   0.29   0.72   0.28
Te     52    3.95    0.98    4.92   0.80   0.20
I      53    0.85    0.05    0.9    0.94   0.06
Xe     54    3.82    0.98    4.79   0.80   0.20
Cs     55    0.32    0.056   0.37   0.85   0.15
Ba     56    0.81    4.66    5.47   0.15   0.85
La     57    0.11    0.34    0.45   0.25   0.75
Ce     58    0.20    0.89    1.10   0.19   0.81
Pr     59    0.082   0.078   0.16   0.51   0.49
Nd     60    0.42    0.38    0.80   0.53   0.47
Sm     62    0.17    0.090   0.26   0.66   0.34
Eu     63    0.091   0.0025  0.093  0.97   0.03
Gd     64    0.28    0.061   0.33   0.82   0.18
Tb     65    0.060   0.004   0.064  0.94   0.06
Dy     66    0.36    0.050   0.41   0.88   0.12
Ho     67    0.081   0.006   0.089  0.93   0.07
Er     68    0.21    0.041   0.25   0.84   0.16
Tm     69    0.031   0.006   0.037  0.84   0.16
Yb     70    0.16    0.076   0.24   0.68   0.32
Lu     71    0.031   0.008   0.039  0.79   0.21
Hf     72    0.080   0.076   0.16   0.51   0.49
Ta     73    0.013   0.009   0.022  0.60   0.40
W      74    0.062   0.074   0.14   0.46   0.54
Re     75    0.047   0.0045  0.052  0.91   0.09
Os     76    0.65    0.059   0.71   0.92   0.08
Ir     77    0.65    0.005   0.66   0.99   0.01
Pt     78    1.30    0.07    1.37   0.95   0.05
Au     79    0.18    0.010   0.19   0.95   0.05
Hg     80    0.15    0.20    0.35   0.42   0.58
Tl     81    0.053   0.10    0.15   0.34   0.66
Pb     82    0.62    2.3     2.94   0.21   0.79
Bi     83    0.093   0.051   0.14   0.65   0.35
Th     90    0.042   0.0     0.042  1.00   0.00
U      92    0.024   0.0     0.024  1.00   0.00
