Element,lambda,Kiex,loggf,W1,---,W2,---_1,W3,---_2,W4,---_3,W5,---_4,W6,---_5,W7,---_6,W8,---_7,W9,---_8,W10,---_9,l_W11,W11,---_10,W12,---_11,W13,---_12,W14,---_13,W15,---_14,W16,---_15,W17,---_16,W18,---_17,W19,---_18,W20,---_19,W21,---_20,W22,---_21,W23,---_22,W24,---_23,W25,---_24,W26,---_25,W27,---_26,W28,---_27,W29,---_28,W30,---_29,W31,---_30,W32,---_31,W33,---_32,W34,---_33,W35,---_34
O   1,6300.304,0.0,-9.776,4.1,,6.4,,9.3,,6.7,,1.5,,,,,,,,,,,,>,1.0,,1.8,,,,4.9,,,,,,,,2.8,,1.3,,1.5,,,,1.5,,2.7,,,,1.5,,2.5,,1.8,,1.0,,3.9,,3.8,,,,3.2,,2.1,,0.8,,2.7,
Na  1,5889.951,0.0,0.112,188.0,,191.0,,191.0,,220.0,,136.6,,65.9,,58.1,,117.8,,173.3,,,,,66.1,,158.0,,89.1,,202.8,,187.3,,146.0,,77.8,,161.9,,135.1,,132.5,,98.7,,127.5,,198.7,,164.0,,132.9,,,,180.0,,82.2,,157.8,,155.5,,81.6,,159.1,,142.5,,113.2,,151.6,
Na  1,5895.924,0.0,-0.191,168.4,,149.0,,168.3,,180.0,,115.7,,40.9,,38.2,,88.6,,152.0,,,,,44.4,,125.0,,63.0,,191.4,,156.7,,97.6,,52.7,,135.1,,115.9,,110.6,,85.6,,100.5,,177.2,,128.0,,117.6,,,,130.0,,59.1,,136.4,,141.3,,60.7,,133.4,,124.2,,86.5,,132.9,
Mg  1,3829.355,2.71,-0.207,189.5,,189.1,,202.3,,185.2,,150.0,,92.9,,82.7,,124.9,,159.8,,151.6,,,104.1,,154.1,,110.4,,179.0,,191.6,,141.9,,98.9,,141.5,,139.2,,148.3,,123.6,,128.8,,156.1,,115.1,,138.0,,132.9,,155.6,,112.4,,164.7,,167.4,,123.2,,162.6,,151.1,,131.5,,156.1,
Mg  1,3832.304,2.71,0.146,216.7,,213.5,,234.4,,234.9,,175.6,,109.6,,103.8,,138.5,,175.7,,169.5,,,119.3,,176.2,,128.6,,203.7,,216.0,,164.6,,111.6,,164.4,,163.2,,183.4,,139.8,,148.6,,185.2,,130.1,,158.6,,149.7,,186.2,,132.7,,187.4,,200.9,,144.7,,189.0,,174.7,,158.9,,185.2,
Mg  1,3838.29,2.72,0.415,239.2,,247.3,,,,272.2,,192.4,,113.3,,112.2,,146.0,,192.5,,180.9,,,131.4,,191.3,,138.9,,222.4,,227.7,,175.4,,122.1,,173.9,,179.6,,198.0,,151.6,,164.5,,202.7,,144.3,,186.1,,159.5,,201.9,,138.2,,206.2,,218.4,,163.3,,217.2,,201.6,,160.8,,202.7,
Mg  1,4167.271,4.34,-1.0,58.9,,49.3,,69.3,,,,37.5,,,,7.5,,21.3,,,,,,,8.2,,,,,,,,,,25.6,,8.6,,,,,,,,16.1,,18.7,,46.3,,,,30.6,,22.6,,45.7,,10.5,,42.0,,50.8,,20.4,,50.2,,40.7,,20.0,,46.3,
Mg  1,4351.906,4.34,-0.525,,,63.5,,83.2,,,,48.4,,,,6.4,,30.2,,60.2,,30.0,,,8.8,,41.6,,17.5,,53.2,,72.0,,39.0,,,,32.8,,45.5,,,,24.4,,28.8,,,,11.7,,38.7,,28.5,,56.2,,17.9,,53.5,,60.6,,27.4,,48.4,,,,,,,
Mg  1,4571.096,0.0,-5.393,63.1,,85.1,,97.9,,55.5,,37.3,,,,,,19.0,,75.4,,41.7,,,,,34.3,,14.0,,,,96.2,,,,5.6,,30.3,,,,26.4,,,,,,52.9,,9.9,,,,24.4,,33.5,,11.5,,,,,,15.3,,,,34.7,,20.2,,52.9,
Mg  1,5172.684,2.71,-0.38,201.2,,204.5,,225.4,,192.1,,162.2,,90.2,,86.5,,129.1,,161.4,,157.7,,,108.8,,168.1,,116.9,,190.7,,212.9,,153.7,,106.6,,159.2,,153.1,,161.9,,133.7,,142.2,,176.1,,119.2,,148.6,,138.0,,150.3,,122.7,,183.8,,185.1,,134.6,,183.1,,163.3,,138.2,,176.1,
Mg  1,5183.604,2.72,-0.158,231.2,,226.7,,254.7,,216.2,,179.0,,105.6,,98.8,,137.3,,170.1,,171.5,,,121.8,,178.8,,128.3,,211.6,,235.5,,169.5,,119.0,,167.5,,162.9,,178.1,,144.9,,149.6,,199.4,,136.5,,164.3,,153.5,,170.4,,134.2,,202.6,,189.6,,148.6,,195.5,,182.8,,149.9,,199.4,
Mg  1,5528.405,4.34,-0.341,83.9,,76.7,,95.6,,90.7,,51.6,,6.3,,8.4,,28.5,,64.0,,40.6,,,10.4,,48.3,,15.9,,70.0,,81.5,,43.1,,12.6,,35.6,,44.8,,48.5,,27.1,,31.4,,62.6,,17.6,,43.5,,30.9,,54.4,,20.6,,59.7,,65.9,,30.9,,65.7,,57.4,,32.1,,62.6,
Al  1,3944.006,0.0,-0.64,121.4,,136.0,,132.0,,109.6,,99.1,,37.6,,28.6,,82.0,,114.0,,96.9,,,50.4,,90.0,,58.0,,137.4,,127.4,,82.1,,42.1,,102.0,,,,81.4,,76.6,,75.0,,71.5,,91.8,,78.7,,83.2,,83.9,,66.0,,108.2,,104.5,,70.2,,101.0,,86.0,,75.8,,,
Al  1,3961.52,0.01,-0.34,140.0,,147.2,,153.2,,128.0,,113.6,,54.9,,36.8,,91.9,,133.0,,113.5,,,64.9,,106.0,,72.7,,154.2,,146.0,,99.5,,55.1,,117.5,,106.5,,97.8,,87.6,,85.5,,94.1,,105.9,,88.8,,89.6,,92.5,,79.6,,130.2,,121.4,,77.0,,113.3,,94.6,,91.8,,110.0,
Si  1,3905.523,1.91,-1.09,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s
Si  1,4102.936,1.91,-3.14,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s
K   1,7664.911,0.0,0.13,79.8,,,,93.0,,91.0,,41.5,,,,5.6,,,,50.0,,,,,5.8,,39.1,,12.5,,,,,,,,5.0,,30.2,,,,33.1,,15.5,,,,2.8,,,,,,,,34.0,,6.7,,48.1,,52.9,,13.9,,,,30.0,,30.0,,,
K   1,7698.974,0.0,-0.17,49.9,,44.8,,56.0,,64.9,,24.0,,,,2.0,,10.3,,35.0,,23.5,,,4.8,,,,,,33.3,,37.5,,,,2.5,,16.7,,19.8,,22.2,,9.6,,11.2,,1.6,,10.5,,15.6,,7.4,,21.7,,5.1,,,,36.1,,,,,,25.0,,,,,
Ca  1,4226.728,0.0,0.24,210.7,,196.5,,224.1,,194.2,,160.5,,101.4,,102.2,,131.9,,168.5,,160.2,,,113.3,,169.5,,120.3,,187.6,,203.1,,147.0,,109.3,,152.4,,149.7,,,,127.2,,140.7,,112.5,,129.3,,147.3,,141.1,,162.0,,113.0,,175.4,,189.3,,123.6,,178.3,,168.8,,138.0,,178.6,
Ca  1,4283.011,1.89,-0.22,70.4,,62.3,,82.3,,72.7,,53.2,,3.8,,8.0,,30.4,,65.5,,39.3,,,10.6,,40.6,,15.5,,56.6,,66.6,,30.6,,12.6,,29.6,,73.2,,53.6,,31.4,,23.6,,15.4,,14.1,,42.4,,34.8,,51.6,,12.9,,51.7,,62.6,,24.6,,59.6,,45.2,,26.8,,59.5,
Ca  1,4318.652,1.9,-0.21,61.4,,54.7,,70.7,,36.7,,41.7,,,,7.7,,21.5,,56.0,,30.0,,,10.0,,39.1,,15.4,,52.0,,51.7,,29.8,,8.4,,28.1,,34.2,,36.4,,17.5,,23.7,,6.1,,14.9,,31.3,,28.9,,47.2,,8.0,,44.7,,50.2,,19.3,,51.3,,46.1,,21.1,,48.2,
Ca  1,4425.437,1.88,-0.36,58.2,,51.8,,64.9,,66.0,,38.0,,,,7.6,,21.6,,48.3,,25.9,,,9.1,,35.7,,12.1,,42.7,,44.7,,27.8,,7.2,,21.6,,35.4,,34.2,,14.2,,18.6,,,,10.7,,26.4,,25.7,,41.9,,8.8,,39.7,,47.3,,15.7,,54.0,,36.6,,19.2,,43.4,
Ca  1,4435.679,1.89,-0.52,56.6,,41.8,,73.0,,,,31.4,,2.0,,7.5,,15.6,,54.9,,21.0,,,4.5,,29.2,,6.7,,39.0,,38.2,,16.6,,3.4,,19.7,,,,30.5,,10.4,,15.4,,,,10.8,,28.5,,18.9,,29.4,,4.1,,32.3,,39.7,,13.4,,40.6,,29.4,,14.1,,,
