Seq,Name,Teff,logg,Vmic,Fe/H_m,Fe/H_c
1,HD 2796,4950,1.5,2.1,-2.4,-2.47
2,HD 122563,4600,1.1,2.0,-2.8,-2.82
3,HD 186478,4700,1.3,2.0,-2.6,-2.59
4,BD+17 3248,5250,1.4,1.5,-2.0,-2.07
5,BD-18 5550,4750,1.4,1.8,-3.0,-3.06
6,CD-38 245,4800,1.5,2.2,-4.0,-4.19
7,BS 16467-062,5200,2.5,1.6,-4.0,-3.77
8,BS 16477-003,4900,1.7,1.8,-3.4,-3.36
9,BS 17569-049,4700,1.2,1.9,-3.0,-2.88
10,CS 22169-035,4700,1.2,2.2,-3.0,-3.04
11,CS 22172-002,4800,1.3,2.2,-4.0,-3.86
12,CS 22186-025,4900,1.5,2.0,-3.0,-3.00
13,CS 22189-009,4900,1.7,1.9,-3.5,-3.49
14,CS 22873-055,4550,0.7,2.2,-3.0,-2.99
15,CS 22873-166,4550,0.9,2.1,-3.0,-2.97
16,CS 22878-101,4800,1.3,2.0,-3.0,-3.25
17,CS 22885-096,5050,2.6,1.8,-4.0,-3.78
18,CS 22891-209,4700,1.0,2.1,-3.0,-3.29
19,CS 22892-052,4850,1.6,1.9,-3.0,-3.03
20,CS 22896-154,5250,2.7,1.2,-2.7,-2.69
21,CS 22897-008,4900,1.7,2.0,-3.5,-3.41
22,CS 22948-066,5100,1.8,2.0,-3.0,-3.14
23,CS 22949-037,4900,1.5,1.8,-4.0,-3.97
24,CS 22952-015,4800,1.3,2.1,-3.4,-3.43
25,CS 22953-003,5100,2.3,1.7,-3.0,-2.84
26,CS 22956-050,4900,1.7,1.8,-3.3,-3.33
27,CS 22966-057,5300,2.2,1.4,-2.6,-2.62
28,CS 22968-014,4850,1.7,1.9,-3.5,-3.56
29,CS 29491-053,4700,1.3,2.0,-3.0,-3.04
30,CS 29495-041,4800,1.5,1.8,-2.8,-2.82
31,CS 29502-042,5100,2.5,1.5,-3.0,-3.19
32,CS 29516-024,4650,1.2,1.7,-3.0,-3.06
33,CS 29518-051,5100,2.4,1.4,-2.8,-2.78
34,CS 30325-094,4950,2.0,1.5,-3.4,-3.30
35,CS 31082-001,4825,1.5,1.8,-2.9,-2.91
