wavelength, species, expot, loggf, type, filename
4030.75,  25.0,  +0.00,  -0.50, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Mn4030.moog
4033.06,  25.0,  +0.00,  -0.65, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Mn4033.moog
4034.48,  25.0,  +0.00,  -0.84, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Mn4034.moog
6707.81,   3.0,  +0.00,  +0.18, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Li6707.moog
6300.30,   8.0,  +0.00,  -9.82, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/O6300.moog
7698.97,  19.0,  +0.00,  -0.18, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/K7698.moog
5627.63,  23.0,  +1.08,  -0.35, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/V5627.moog
4111.78,  23.0,  +0.30,  +0.40, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/V4111.moog
4115.18,  23.0,  +0.29,  +0.05, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/V4115.moog
4577.17,  23.0,  +0.00,  -1.08, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/V4577.moog
4586.37,  23.0,  +0.04,  -0.79, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/V4586.moog
3750.87,  23.1,  +1.68,  -0.40, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/V3750.moog
3894.08,  27.0,  +1.05,  +0.12, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Co3894.moog
3995.31,  27.0,  +0.92,  -0.18, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Co3995.moog
5483.35,  27.0,  +1.71,  -1.50, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Co5483.moog
5476.90,  28.0,  +1.82,  -0.78, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Ni5476.moog
5105.53,  29.0,  +1.39,  -1.52, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Cu5105.moog
4810.53,  30.0,  +4.08,  -0.15, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Zn4810.moog
3950.36,  39.1,  +0.10,  -0.49, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Y3950.moog
4854.87,  39.1,  +0.99,  -0.38, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Y4854.moog
5087.42,  39.1,  +1.08,  -0.17, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Y5087.moog
5200.41,  39.1,  +0.99,  -0.57, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Y5200.moog
5205.73,  39.1,  +1.03,  -0.34, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Y5205.moog
4429.91,  57.1,  +0.23,  -0.35, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/La4429.moog
4920.98,  57.1,  +0.13,  -0.58, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/La4920.moog
4435.58,  63.1,  +0.21,  -0.11, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Eu4435.moog
4522.58,  63.1,  +0.21,  -0.67, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Eu4522.moog
4449.70,  66.1,  +0.00,  -1.03, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Dy4449.moog
4217.00, 106.0,   +nan,   +nan, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/CH4217_isotopes.moog
4225.00, 106.0,   +nan,   +nan, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/CH4225_isotopes.moog
4237.00, 106.0,   +nan,   +nan, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/CH4237_isotopes.moog
4371.00, 106.0,   +nan,   +nan, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/CH4371_isotopes.moog
