Name,RV,e_RV,MJD,MODE,t_exp,CCF,Comment
HE 0107-5240,48.049,0.034,8364.107,HR21,3300,CH (G-band),
HE 0107-5240,48.083,0.104,8473.127,-,3600,CH (G-band),HARPS
HE 0107-5240,47.833,0.010,8698.313,HR21,3400,CH (G-band),
HE 0107-5240,47.771,0.010,8721.263,HR21,3400,CH (G-band),
HE 0107-5240,47.786,0.009,8730.206,HR21,3400,CH (G-band),
HE 0107-5240,47.818,0.012,8741.250,HR21,3400,CH (G-band),
HE 0107-5240,47.846,0.012,8759.096,HR21,3400,CH (G-band),
HE 0107-5240,47.697,0.012,9190.096,HR21,3417,CH (G-band),
HE 0107-5240,47.625,0.012,9237.032,HR42,3417,CH (G-band),
HE 0107-5240,47.562,0.018,9427.332,HR21,3600,CH (G-band),
HE 0107-5240,47.533,0.012,9435.176,HR42,3600,CH (G-band),
HE 0107-5240,47.542,0.010,9435.219,HR42,3600,CH (G-band),
HE 0107-5240,47.508,0.013,9489.238,HR21,3000,CH (G-band),
HE 0107-5240,47.505,0.009,9618.061,HR42,3310,CH (G-band),
HE 0107-5240,47.497,0.011,9529.202,HR42,3200,CH (G-band),
HE 0107-5240,47.509,0.008,9545.123,HR42,3200,CH (G-band),
HE 0107-5240,47.436,0.013,9606.042,HR42,3600,CH (G-band),
SDSS J0023+0307,-195.540,0.107,8761.245,HR21,3400,Mg I,Synthetic template
SDSS J0023+0307,-195.035,0.171,8805.034,HR21,3400,Mg I,Synthetic template
SDSS J0023+0307,-195.761,0.102,8835.044,HR21,3400,Mg I,Synthetic template
HE 0233-0343,52.058,0.027,8699.288,HR21,3400,CH (G-band),
HE 0233-0343,52.127,0.021,8760.318,HR21,3400,CH (G-band),
HE 0233-0343,52.169,0.024,8783.112,HR21,3400,CH (G-band),
HE 0233-0343,51.074,0.024,8813.243,HR21,3400,CH (G-band),
SMSS 0313-6708,298.643,0.043,8701.281,HR21,3400,CH (G-band),
SMSS 0313-6708,298.677,0.042,8732.245,HR21,3400,CH (G-band),
SMSS 0313-6708,298.509,0.033,8732.343,HR21,3400,CH (G-band),
SMSS 0313-6708,298.710,0.043,8740.153,HR21,3400,CH (G-band),
SMSS 0313-6708,298.581,0.039,8740.196,HR21,3400,CH (G-band),
SMSS 0313-6708,298.632,0.046,8742.119,HR21,3400,CH (G-band),
SMSS 0313-6708,298.578,0.042,8743.268,HR21,3400,CH (G-band),
SMSS 0313-6708,298.531,0.047,8743.335,HR21,3400,CH (G-band),
SMSS 0313-6708,298.536,0.050,8780.153,HR21,3417,CH (G-band),
SMSS 0313-6708,298.650,0.036,9190.052,HR42,3417,CH (G-band),
SMSS 0313-6708,298.603,0.038,9237.078,HR42,3417,CH (G-band),
SMSS 0313-6708,298.530,0.027,9250.041,HR42,3417,CH (G-band),
SMSS 0313-6708,298.486,0.039,9264.017,HR42,3000,CH (G-band),
HE 0557-4840,212.209,0.028,8761.333,HR21,3400,Mg I,
HE 0557-4840,212.172,0.026,8762.327,HR21,3400,Mg I,
HE 0557-4840,212.199,0.027,8834.084,HR21,3400,Mg I,
HE 0557-4840,212.198,0.023,8864.083,HR21,3400,Mg I,
SDSS J1313-0019,273.984,0.054,9649.249,HR42,3444,CH (G-band),Synthetic template
HE 1327-2326,63.801,0.040,8615.137,HR21,1800,CH (G-band),
#HE 1327-2326  , 63.287  , 0.106, 8667.160, HR21,  1800, CH (G-band), Low SNR
HE 1327-2326,63.636,0.037,8688.022,HR21,2700,CH (G-band),
HE 1327-2326,63.709,0.041,8688.055,HR21,2700,CH (G-band),
HE 1327-2326,63.655,0.027,8695.996,HR21,1800,CH (G-band),
HE 1327-2326,63.639,0.037,8697.988,HR21,2400,CH (G-band),
HE 1327-2326,63.697,0.041,8841.331,HR21,1800,CH (G-band),
HE 1327-2326,63.601,0.036,9429.054,HR42,3000,CH (G-band),
HE 1327-2326,63.700,0.016,9663.072,HR42,2844,CH (G-band),
SMSS 1605-1443,-226.059,0.037,9676.277,HR42,3150,CH (G-band),
SMSS 1605-1443,-226.118,0.036,9726.189,HR42,3150,CH (G-band),
SMSS 1605-1443,-226.196,0.037,9727.060,HR42,3150,CH (G-band),
SMSS 1605-1443,-226.214,0.030,9761.059,HR42,3150,CH (G-band),
SMSS 1605-1443,-226.278,0.033,9792.055,HR42,3150,CH (G-band),
