Seq,---,SDSS,nFe1,nFe2,nNa,nMg,nCa,nTi,nDr,nBa
1,SDSS,J0002+2928,11,2,1,2,1,4,1,2
2,SDSS,J0008-0529,64,6,2,5,9,17,1,2
3,SDSS,J0018-0939,44,2,2,2,4,2,,
4,SDSS,J0020-0040,14,2,,2,1,5,1,
5,SDSS,J0021-0050,7,1,1,2,1,,,
6,SDSS,J0023-0003,26,3,2,4,3,8,2,1
7,SDSS,J0027+1404,9,1,2,2,1,,,
8,SDSS,J0027-1909,14,3,1,2,1,4,1,
9,SDSS,J0028-1015,12,,2,2,1,,1,
10,SDSS,J0029-1910,9,,,2,1,,1,
11,SDSS,J0033-1859,38,3,2,4,2,7,1,1
12,SDSS,J0041-0953,11,3,2,2,1,,,
13,SDSS,J0100+0049,13,3,2,2,1,7,1,1
14,SDSS,J0111+1442,13,3,2,2,1,4,1,
15,SDSS,J0115+2637,12,2,2,2,1,5,,
16,SDSS,J0120-1001,8,,2,2,1,,1,
17,SDSS,J0126+0607,12,3,1,2,1,,,2
18,SDSS,J0131-0908,45,3,2,3,4,11,1,
19,SDSS,J0140+2344,9,,,2,1,,1,
20,SDSS,J0209+2120,7,1,,2,1,,,
21,SDSS,J0254+3328,13,2,2,2,1,,,
22,SDSS,J0259+0057,4,,2,2,,,,
23,SDSS,J0308+0505,11,3,1,2,,5,1,
24,SDSS,J0317+0023,11,,2,2,1,,,
25,SDSS,J0320+4143,11,,2,2,1,2,1,
26,SDSS,J0351+1026,5,2,2,2,1,2,2,
27,SDSS,J0414+0552,3,,2,2,1,,,
28,SDSS,J0416+0713,3,,2,2,1,,,
29,SDSS,J0629+8303,13,4,1,4,4,4,,
30,SDSS,J0630+2552,3,,,2,,,,
31,SDSS,J0711+6702,19,4,2,3,1,6,1,1
32,SDSS,J0723+3637,19,3,1,3,,6,,
33,SDSS,J0727+1609,5,1,1,2,1,1,1,
34,SDSS,J0741+6708,48,3,2,4,5,10,1,4
35,SDSS,J0746+2831,24,2,1,2,3,4,2,
36,SDSS,J0748+1758,25,3,2,2,1,,1,
37,SDSS,J0749+1801,53,3,2,5,6,12,1,3
38,SDSS,J0804+5153,13,3,2,2,1,6,2,1
39,SDSS,J0809+0907,13,3,1,2,1,,,
40,SDSS,J0814+3337,9,1,2,2,1,,,
41,SDSS,J0817+2641,5,,,2,1,,1,1
42,SDSS,J0819+3119,14,3,2,2,1,2,2,
43,SDSS,J0821+1819,3,,,2,1,,,
44,SDSS,J0825+0403,4,,,2,1,,,
45,SDSS,J0827+1052,12,2,2,2,1,,1,1
46,SDSS,J0840+5405,11,1,,2,1,2,,
47,SDSS,J0847+0121,11,1,1,2,1,,1,1
48,SDSS,J0851+1018,12,2,1,2,1,5,,
49,SDSS,J0858+3541,107,13,2,4,10,21,2,4
50,SDSS,J0859+0402,37,4,2,3,1,9,,
51,SDSS,J0907+0246,13,3,2,2,1,4,2,
52,SDSS,J0912+0216,8,3,2,3,2,,1,2
53,SDSS,J0932+0241,12,3,2,2,1,6,2,2
54,SDSS,J1004+3442,14,3,2,2,1,6,2,
55,SDSS,J1033+4001,9,3,,2,1,1,,
56,SDSS,J1036+1212,13,2,2,2,1,5,2,1
57,SDSS,J1106+0343,15,3,2,2,1,,2,
58,SDSS,J1108+1747,5,,2,2,1,,,
59,SDSS,J1120+3027,15,1,2,2,1,4,1,
60,SDSS,J1128+3841,9,2,,2,1,2,1,
61,SDSS,J1147+1510,9,1,2,2,1,1,,
62,SDSS,J1159+5425,13,2,1,2,1,3,2,
63,SDSS,J1213+4450,9,1,1,2,1,,,
64,SDSS,J1230+0005,13,3,,2,1,2,1,
65,SDSS,J1233+3407,13,3,2,2,1,1,,
66,SDSS,J1241-0837,39,3,2,2,3,6,,1
67,SDSS,J1242-0336,52,4,2,5,4,11,1,2
68,SDSS,J1245-0738,10,3,1,2,1,2,2,2
69,SDSS,J1300+2632,8,,1,2,1,,,
70,SDSS,J1303+2515,14,3,2,2,1,5,,
71,SDSS,J1304+3239,11,3,2,2,1,3,1,1
72,SDSS,J1312+2450,11,1,1,2,1,3,1,
73,SDSS,J1316+1747,48,4,2,5,5,11,,1
74,SDSS,J1334+0022,14,3,2,2,1,6,,
75,SDSS,J1338+1204,14,3,2,2,1,5,2,1
76,SDSS,J1349-0229,6,2,2,2,1,,,2
77,SDSS,J1400+0753,7,2,,2,1,3,,
78,SDSS,J1408+6239,9,3,2,2,1,2,1,
79,SDSS,J1410+5350,8,1,,2,1,1,2,
80,SDSS,J1412+5609,8,,1,4,1,,,
81,SDSS,J1422+0031,36,4,2,4,1,7,1,1
82,SDSS,J1424+5615,12,3,2,4,1,2,1,
83,SDSS,J1425+1137,15,2,2,2,1,6,2,
84,SDSS,J1425+5742,13,2,,2,1,,1,
85,SDSS,J1434+1036,6,,1,2,1,,,
86,SDSS,J1436+0918,9,1,2,2,1,1,,
87,SDSS,J1436+0301,2,1,2,2,1,,,
88,SDSS,J1437+5231,11,3,2,2,1,1,2,
89,SDSS,J1437+5837,15,3,1,2,1,5,2,
90,SDSS,J1446+1249,14,2,2,2,1,1,1,
91,SDSS,J1502+3113,14,3,2,2,1,4,1,
92,SDSS,J1504+4623,12,1,1,2,1,2,,
93,SDSS,J1515+4503,9,1,,2,1,1,1,
94,SDSS,J1516+4333,10,3,1,2,1,,1,
95,SDSS,J1521+3437,7,,1,2,1,,2,
96,SDSS,J1522+3055,14,1,2,2,1,,,
97,SDSS,J1523+4942,11,3,,2,1,6,1,1
98,SDSS,J1528+4915,9,1,2,2,1,,2,
99,SDSS,J1551+2521,15,3,2,2,1,3,1,
100,SDSS,J1553+2511,11,1,2,2,1,,1,
101,SDSS,J1603+2917,14,2,2,2,1,,2,
102,SDSS,J1612+0421,38,2,2,3,4,10,1,2
103,SDSS,J1613+5309,9,3,2,2,1,5,1,2
104,SDSS,J1623+3913,10,1,2,2,1,,1,
105,SDSS,J1626+1458,6,2,2,2,,,1,2
106,SDSS,J1633+3907,6,1,1,2,1,,,
107,SDSS,J1640+3709,8,,1,2,1,,,
108,SDSS,J1646+2824,12,3,,2,1,1,1,2
109,SDSS,J1650+2242,5,1,2,2,1,,1,
110,SDSS,J1659+3515,12,1,2,2,1,,,
111,SDSS,J1703+2836,16,,2,,,1,,
112,SDSS,J1728+0657,8,1,,2,,1,,
113,SDSS,J1734+4316,62,7,2,3,7,7,,5
114,SDSS,J1735+4446,14,3,2,2,1,6,,
115,SDSS,J1736+4420,44,4,1,4,7,12,1,1
116,SDSS,J1746+2455,12,2,2,2,2,6,2,2
117,SDSS,J1830+4141,10,2,1,2,1,,1,
118,SDSS,J1834+2023,16,3,,3,3,4,1,
119,SDSS,J1836+6317,17,4,1,2,2,4,,3
120,SDSS,J2005-1045,3,,1,2,1,,,
121,SDSS,J2052+0109,20,4,2,2,1,,1,
122,SDSS,J2104-0104,11,2,2,2,1,6,,1
123,SDSS,J2111+0109,14,3,1,2,1,5,2,1
124,SDSS,J2118-0640,6,2,2,2,1,,,
125,SDSS,J2123-0820,8,3,2,2,1,2,1,
126,SDSS,J2128-0756,18,4,2,2,1,2,2,1
127,SDSS,J2206-0925,13,2,,2,1,7,1,2
128,SDSS,J2207+2017,21,5,2,4,3,2,2,1
129,SDSS,J2208+0613,8,2,1,2,1,2,1,
130,SDSS,J2213-0726,13,2,2,2,2,8,1,2
131,SDSS,J2300+0559,10,3,,2,1,2,,
132,SDSS,J2308-0855,12,3,2,2,1,,1,
133,SDSS,J2309+2308,2,,1,2,1,,,
134,SDSS,J2334+1538,5,1,,2,1,,,
135,SDSS,J2338+0902,15,1,2,2,1,7,1,2
136,SDSS,J2349+3832,2,,,2,,,,
137,SDSS,J2357-0052,26,,,1,,,2,4
