CS 22175-007   31 5108 100 2.46 0.26 0.36 -2.81 0.13 0.18 1.67 0.14 0.24
CS 22186-023   55 5066 100 2.19 0.24 0.34 -2.72 0.13 0.18 1.58 0.11 0.21
CS 22186-025   32 4985 100 1.70 0.26 0.36 -2.87 0.14 0.19 2.14 0.13 0.23
CS 22886-042   39 4881 100 1.85 0.25 0.35 -2.68 0.12 0.18 1.84 0.12 0.22
CS 22892-052   46 4884 100 1.81 0.26 0.36 -2.95 0.14 0.19 1.67 0.12 0.22
CS 22945-028   31 5126 100 2.55 0.26 0.36 -2.66 0.13 0.18 1.53 0.14 0.24
CS 22957-013   35 4904 100 1.96 0.25 0.35 -2.64 0.14 0.19 1.79 0.12 0.22
CS 22958-083   32 5101 100 2.40 0.26 0.36 -2.79 0.12 0.18 1.50 0.13 0.23
CS 22960-010   35 5737 100 4.85 0.25 0.35 -2.65 0.12 0.17 1.53 0.17 0.27
CS 29491-069   57 5103 100 2.45 0.24 0.34 -2.81 0.13 0.18 1.54 0.12 0.22
CS 29491-109   50 4736 100 1.50 0.24 0.34 -2.90 0.15 0.19 1.82 0.12 0.22
CS 29497-004   39 5013 100 2.23 0.24 0.34 -2.81 0.13 0.18 1.62 0.13 0.23
CS 29510-058   38 5108 100 2.32 0.24 0.34 -2.61 0.12 0.18 1.62 0.12 0.22
CS 30308-035   32 4806 100 1.78 0.27 0.37 -3.35 0.13 0.18 1.64 0.14 0.24
CS 30315-001   37 4565 100 1.14 0.25 0.35 -2.98 0.11 0.17 1.99 0.12 0.22
CS 30315-029   38 4541 100 1.07 0.25 0.35 -3.33 0.12 0.18 2.06 0.13 0.23
CS 30337-097   44 4865 100 1.81 0.24 0.34 -2.73 0.13 0.18 1.88 0.12 0.22
CS 30339-041   37 5478 100 2.10 0.26 0.36 -2.20 0.12 0.18 2.23 0.13 0.23
CS 30343-063   40 4412 100 0.83 0.25 0.35 -2.95 0.12 0.18 2.26 0.11 0.21
CS 31060-047   30 4749 100 1.55 0.26 0.36 -2.72 0.12 0.18 2.00 0.13 0.23
CS 31062-041   37 4915 100 1.83 0.26 0.36 -2.67 0.14 0.19 1.84 0.13 0.23
CS 31072-118   53 4606 100 1.25 0.24 0.34 -3.06 0.12 0.17 2.02 0.12 0.22
CS 31082-001   90 4922 100 1.90 0.23 0.33 -2.78 0.14 0.19 1.88 0.11 0.21
HD 20         113 5445 100 2.39 0.22 0.32 -1.58 0.14 0.20 2.30 0.11 0.21
HD 221170      51 4648 100 1.57 0.24 0.34 -2.14 0.15 0.20 2.22 0.11 0.21
HE 0005-0002   67 4726 100 1.58 0.25 0.35 -3.09 0.11 0.17 1.82 0.11 0.21
HE 0008-3842   67 4327 100 0.65 0.23 0.33 -3.35 0.11 0.18 2.39 0.12 0.22
HE 0017-4838   42 5149 100 2.23 0.29 0.39 -3.23 0.13 0.18 1.81 0.14 0.24
HE 0018-1349   35 5719 100 4.62 0.26 0.36 -2.26 0.12 0.18 1.73 0.20 0.30
HE 0023-4825   42 5816 100 3.63 0.26 0.36 -2.06 0.12 0.18 1.45 0.14 0.24
HE 0029-1839   70 5010 100 2.19 0.24 0.34 -2.50 0.12 0.18 1.67 0.12 0.22
HE 0037-2657   69 4982 100 2.21 0.26 0.36 -3.22 0.13 0.18 1.80 0.12 0.22
HE 0039-4154   70 4735 100 1.55 0.25 0.35 -3.38 0.11 0.17 2.01 0.12 0.22
HE 0043-2845   66 5517 100 4.42 0.25 0.35 -2.91 0.13 0.18 1.17 0.16 0.26
HE 0044-2459   62 5242 100 2.92 0.26 0.36 -3.28 0.13 0.18 1.55 0.14 0.24
