JINA_ID, Name                    , Simbad_Identifier       , System, RA_hms       , DEC_dms      , Teff  , logg, M/H  , Vmic, Reference
   7512, TYC 6613-815-1          , TYC 6613-815-1          , Atari , 09:29:49.7281, -29:05:59.044, 4737.0, 0.96, -2.32, 1.74, Sakari+2018b
   7533, UCAC4 374-062461        , UCAC4 374-062461        , Atari , 11:58:01.2775, -15:22:17.852, 4981.0, 1.47, -2.41, 1.71, Sakari+2018b
   7557, UCAC2 30544966          , UCAC2 30544966          , Atari , 14:10:15.8809, -03:43:55.307, 4931.0, 2.0 , -2.06, 1.65, Sakari+2018b
   7573, TYC 353-223-1           , TYC 353-223-1           , Atari , 15:54:27.2897, +00:21:36.870, 5210.0, 1.24, -2.18, 1.48, Sakari+2018b
   7583, BD-09 4396              , BD-09 4396              , Atari , 16:28:56.1354, -10:14:57.644, 4955.0, 1.31, -2.0 , 2.19, Sakari+2018b
    432, UCAC4 223-060458        , UCAC4 223-060458        , Atari , 11:41:08.8526, -45:35:28.354, 4592.0, 1.01, -2.32, 1.9 , Ruchti+2011a
   1485, CD-26 16470             , CD-26 16470             , Atari , 23:05:50.5487, -25:57:22.308, 4912.0, 1.76, -2.13, 2.0 , Ruchti+2011a
   1514, CD-49 506               , CD-49 506               , Atari , 01:49:07.9444, -49:11:42.923, 4936.0, 1.73, -2.65, 1.8 , Ruchti+2011a
   2526, TYC 6393-564-1          , TYC 6393-564-1          , Atari , 22:49:23.5854, -21:30:29.532, 5218.0, 2.67, -2.38, 1.4 , Ruchti+2011a
   6087, TYC 7602-1143-1         , TYC 7602-1143-1         , Atari , 05:52:15.7868, -39:53:18.441, 4875.0, 1.87, -2.05, 1.9 , Ruchti+2011a
    855, BPS CS 22960-0064       , BPS CS 22960-0064       , Atari , 22:24:00.1429, -42:35:16.026, 5060.0, 2.2 , -2.77, 1.4 , Roederer+2014a

    324, BPS CS 22186-0023       , BPS CS 22186-0023       , Atari , 04:19:45.5332, -36:51:35.980, 4820.0, 1.55, -2.89, 1.6 , Roederer+2014c, c
