BD-01 0306 38.7 45.9  34.4 24.0 14.7
BD-01 2582 15.5 17.6  31.0 20.4 11.6
BD+19 1185 28.7 33.7  25.1 13.7 11.8
BD+52 1601 65.4 69.4  78.5 62.1 50.9
G005-001   31.0 38.0  20.9 11.7  7.2
G009-036   27.7 28.6  25.0 25.0  9.2
G017-025   29.3 34.7  34.6 19.4
G023-014   32.5 38.8  29.7 26.4 19.1
G028-043   13.7 19.7  16.5  5.8
G029-025   45.0 47.6  35.9 22.3 18.1
G040-008   44.7 50.5  31.6 19.2 16.6
G058-025   17.4       19.4 10.5  6.2
G059-001   43.8 48.9  34.5 18.9 17.6
G063-046   48.0 54.4  38.0 27.9 18.7
G068-003   61.6 64.4  53.8 40.1 36.4
G074-005   36.0 43.5  25.4 15.5 11.1
G090-025   11.1 14.9   9.1  3.7
G095-057A  36.9 43.4  47.9 31.1
G095-057B  33.7 38.4       29.0
G102-020   29.7 34.6  22.3 12.6
G102-027   66.7 70.2  56.1 42.3 35.0
G113-022   40.1 44.8  47.0 33.9 25.3
G122-051   19.7 25.1  21.6  9.4
G123-009   28.5 32.6  31.4 18.3 14.0
G126-036   37.9 44.8  45.2 34.5 26.3
G126-062   10.5 16.1  12.4  5.4  3.7
G140-046   35.6 41.7  54.2 33.3
G153-021   57.6 62.1  43.3 38.4 19.0
G176-053   19.5 22.9  14.4  8.6  5.3
G179-022   38.4 47.5  47.0 32.9 25.3
G180-024   15.9 23.2  16.1  9.8  5.8
G188-022   19.7 28.2  28.2 16.2 10.3
G191-055    8.0 11.9   6.2
G192-043   14.6 17.2  13.8  7.9
G221-007   44.3 49.3  42.8 32.5 29.2
HD 2665    19.3 25.4  19.8 10.8  5.8
HD 3008    51.4 53.3  83.0 66.0 54.5
HD 6755    28.7 36.7  36.1 25.5 17.0
HD 6833    63.6 64.8  85.9 67.8
HD 21581   38.9 45.2  54.3 41.5 32.3
HD 23798   35.2 39.9  70.4 52.3 45.6
HD 25329   12.4 14.0  23.5 10.9
HD 25532   49.4 57.9  74.6 54.7 40.8
HD 26297   46.6 52.7  70.8 55.9 47.2
HD 29574   49.9 51.2  97.0 76.1 68.2
HD 37828   57.6 62.6  94.3 74.4 71.7
HD 44007   39.6 46.0  58.0 43.0 34.3
HD 63791   43.0 50.6  61.1 46.8 36.3
HD 74462   54.2 58.2  70.8 55.5 46.0
HD 82590   19.5 25.3  48.0 28.3 17.4
HD 85773   46.1 52.4  40.5 25.3
HD 88609    9.3 14.9  23.0       8.2
HD 101063  41.9 47.7  51.7 36.5 29.6
HD 103036  68.0 74.0 123.4 97.1 87.0
HD 103545  17.4 23.2  32.6 22.3 12.4
HD 105546  46.6 57.4  61.3 47.8 37.1
HD 105755  54.8 59.7  42.0 29.4 19.8
HD 106516  42.2 47.9  32.5 23.7 13.1
HD 107752  13.0 11.6  16.2 10.7
HD 108317  12.8 16.2  17.8  8.9  4.2
HD 110184  29.4 33.4  59.5 42.4 32.7
HD 115444   6.7 10.2  13.9  8.5  4.3
HD 121135  60.9 66.9  78.5 57.7 44.5
HD 122563  13.5 19.6  24.2 14.0  6.9
HD 122956  46.0 51.3  66.5 48.2 42.3
HD 124358  37.0 43.5  48.9 30.9 21.2
HD 132475  23.0 29.7  32.7 20.8 13.9
HD 135148  55.7 55.5  96.1 67.9 59.8
HD 141531  48.7 55.5  80.0 61.4 53.1
HD 166161  61.4 67.9  87.3 69.6 56.0
HD 171496  78.9 80.5  81.0 68.0 60.4
HD 184266  26.2 35.0  52.6 29.6 13.8
HD 186478  19.6 24.8  40.4 27.5 16.8
HD 187111  50.5 55.2  80.4 64.9 59.1
HD 188510  13.2 18.4   9.7  6.3
HD 193901  25.0 31.3  21.0 11.6  7.1
HD 194598  23.7 28.2  21.4 14.2  7.2
HD 201891  30.5 36.4  23.5 13.5  7.7
HD 206739  49.1 55.2  69.8 52.6 45.7
HD 210295  56.0 60.3  73.2 56.8 48.8
HD 214362  14.2 18.6  37.0 20.6  8.2
HD 218857  21.2 30.6  22.5 14.2  8.5
HD 233666  33.9 42.1  48.4 36.2 21.9
