Star,Teff,logg,Vmic,M/H
B+191185,5500,4.19,1.10,-1.09
B+521601,4911,2.10,2.05,-1.40
B-010306,5550,4.19,1.50,-1.13
B-012582,5148,2.86,1.20,-2.21
G005-001,5500,4.32,0.80,-1.24
G009-036,5625,4.57,0.65,-1.17
G017-025,4966,4.26,0.80,-1.54
G023-014,4529,4.02,3.00,1.30
G028-043,5061,4.50,0.80,-1.64
G029-025,5225,4.28,0.80,-1.09
G040-008,5133,4.08,4.08,0.50
G058-025,6001,4.21,1.00,-1.40
G059-001,5922,3.98,0.40,-0.95
G063-046,5705,4.25,1.30,-0.90
G068-003,4787,4.59,3.50,0.95
G074-005,5668,4.24,1.50,-1.05
G090-025,5303,4.46,1.20,-1.78
G095-57A,4965,4.40,0.90,-1.22
G095-57B,4540,4.57,4.57,0.60
G102-020,5254,4.44,0.90,-1.25
G102-027,5286,2.88,3.75,1.05
G113-022,5616,,4.25,1.10
G122-051,4864,4.51,1.40,-1.43
G123-009,5487,4.75,1.50,-1.25
G126-036,5487,4.50,0.60,-1.06
G126-062,5941,3.98,2.00,-1.59
G140-046,4980,4.42,0.70,-1.30
G153-021,5700,4.36,1.40,-0.70
G176-053,5593,4.50,1.20,-1.34
G179-022,5082,3.20,1.20,-1.35
G180-024,6059,4.09,0.50,-1.34
G188-022,5827,4.27,1.20,-1.52
G191-055,5770,4.50,1.00,-1.63
G192-043,6085,4.50,1.50,-1.50
G221-007,5016,3.37,0.90,-0.98
HD 002665,4990,2.34,2.00,-1.99
HD 003008,4141,1.03,0.25,2.60
HD 006755,5105,2.93,2.50,-1.68
HD 006833,4402,1.50,1.20,-0.85
HD 008724,4535,1.40,1.40,-1.91
HD 021581,4870,2.27,1.40,-1.71
HD 023798,4450,1.06,2.50,-2.26
HD 025329,4842,4.66,0.60,-1.67
HD 025532,5396,2.00,1.20,-1.34
HD 026297,4322,1.11,1.80,-1.98
HD 029574,4250,0.80,2.20,-2.00
HD 037828,4299,,1.50,1.85
HD 044007,4851,2.00,2.00,-1.72
HD 063791,4556,,2.00,2.00
HD 074462,4427,,2.00,1.90
HD 082590,6005,2.75,3.00,
HD 085773,4268,0.50,2.00,-2.62
HD 101063,5150,3.25,1.70,-1.33
HD 103036,4103,1.14,0.25,3.00
HD 103545,4666,1.64,2.00,-2.45
HD 105546,5190,2.49,1.60,-1.48
HD 105755,5701,3.82,1.20,-0.83
HD 106516,6166,4.21,1.10,-0.81
HD 107752,4649,1.63,2,-2.78
HD 108317,5234,2.68,2.00,-2.18
HD 110184,4250,0.50,2.50,-2.72
HD 115444,4721,1.74,2.00,-2.90
HD 119516,5382,2.47,2.50,-2.11
HD 121135,4934,1.91,1.60,-1.54
HD 122563,4572,1.36,2.90,-2.72
HD 122956,4508,1.55,1.60,-1.95
HD 124358,4688,1.57,2.10,-1.91
HD 128279,5290,2.95,1.50,-2.01
HD 132475,5425,3.56,2.30,-1.86
HD 135148,4183,0.25,2.90,-2.17
HD 141531,4356,1.14,2.20,-1.79
HD 165195,4237,0.78,2.30,-2.60
HD 166161,5350,2.56,2.25,-1.23
HD 171496,4952,2.37,1.40,-0.67
HD 184266,6000,2.74,3.00,-1.43
HD 186478,4598,1.43,2.00,-2.56
HD 187111,4271,1.05,1.90,-1.97
HD 188510,5564,4.51,1.00,-1.32
HD 193901,5750,4.46,1.50,-1.08
HD 194598,6044,4.19,1.00,-1.08
HD 201891,5909,4.19,1.00,-1.09
HD 204543,4672,1.49,2.00,-1.87
HD 206739,4647,1.78,1.90,-1.72
HD 210295,4574,,2.50,1.55
HD 214362,5727,2.62,2.00,-1.87
HD 218857,5103,2.44,1.90,-1.90
HD 221170,4410,1.09,1.70,-2.35
HD 232078,3628,0.93,0.50,2.10
HD 233666,5157,2.00,1.70,-1.79
