Star,Teff,logg,Vmic,[FeI/H],[FeII/H],logeps(La/Eu)
HR 0235,6301,4.24,1.50,-0.12,-0.29,0.72
HR 0458,6100,3.86,2.20,-0.12,-0.23,0.61
HR 0646,6407,3.69,1.90,-0.35,-0.45,0.69
HR 8354,6259,3.82,1.00,-0.73,-0.70,0.62
HR 8969,6200,3.87,1.60,-0.22,-0.38,0.51

# Star,Teff_Woolf,logg_Woolf,Vmic_Woolf,[FeI/H]_Woolf,[FeII/H]_Woolf,logeps(La/Eu)_Woolf
# HR 0235,6254,4.32,1.69,-0.22,-0.28,0.67
# HR 0458,6212,4.17,1.85,0.09,0.08,0.49
# HR 0646,6358,4.07,2.10,-0.29,-0.25,0.70
# HR 8354,6285,4.09,2.02,-0.62,-0.57,0.51
# HR 8969,6255,4.16,1.90,-0.20,-0.23,0.44
